run,dataset_mode,model_name,negative_sampling,deletion_rate,method,answer_group,seed_count,query_count_mean,query_count_sd,mean_answer_count_mean,mean_answer_count_sd,full_set_coverage_mean,full_set_coverage_sd,partial_answer_recall_mean,partial_answer_recall_sd,mean_size_mean,mean_size_sd
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0,kgcp_softmax_static,multi,5,13594,0,2.235912903,0,0.563763425,0.01287242268,0.7321286819,0.00836953113,865.5240106,12.33356056
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0,kgcp_softmax_static,single,5,159915,0,1,0,0.8210136635,0.001669183743,0.8210136635,0.001669183743,2114.617646,21.71703872
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0,rolling_margin,multi,5,13594,0,2.235912903,0,0.7312049434,0.004199152016,0.8432183056,0.002045508122,1930.311593,12.39868163
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0,rolling_margin,single,5,159915,0,1,0,0.9130237939,0.0004648830835,0.9130237939,0.0004648830835,4119.343467,44.92649273
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0,static_margin,multi,5,13594,0,2.235912903,0,0.5564808004,0.01410196503,0.7272539064,0.008928586836,881.5682507,17.06963941
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0,static_margin,single,5,159915,0,1,0,0.817590595,0.001389011908,0.817590595,0.001389011908,2139.820172,30.38418701
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.1,kgcp_softmax_static,multi,5,13594,0,2.235912903,0,0.5494335736,0.01435154103,0.7199201068,0.01100658627,906.3976607,22.86813564
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.1,kgcp_softmax_static,single,5,159915,0,1,0,0.8202307476,0.003274906624,0.8202307476,0.003274906624,2248.007346,35.62772228
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.1,rolling_margin,multi,5,13594,0,2.235912903,0,0.7258937767,0.005392742043,0.8395347817,0.003719276408,2022.602339,18.1367182
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.1,rolling_margin,single,5,159915,0,1,0,0.9138192165,0.0008770448626,0.9138192165,0.0008770448626,4305.961119,31.91408055
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.1,static_margin,multi,5,13594,0,2.235912903,0,0.54290128,0.01540409001,0.7144550844,0.01151432503,928.4734736,22.56744464
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.1,static_margin,single,5,159915,0,1,0,0.81701654,0.003365802031,0.81701654,0.003365802031,2279.102356,31.90152856
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.2,kgcp_softmax_static,multi,5,13594,0,2.235912903,0,0.5366632338,0.01216660774,0.7081498119,0.008315099899,970.8013094,16.8541799
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.2,kgcp_softmax_static,single,5,159915,0,1,0,0.8201832223,0.002212088268,0.8201832223,0.002212088268,2403.637289,45.1680826
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.2,rolling_margin,multi,5,13594,0,2.235912903,0,0.717625423,0.006617829195,0.8343177126,0.002813535255,2146.012344,85.75404263
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.2,rolling_margin,single,5,159915,0,1,0,0.9148485133,0.0007345324707,0.9148485133,0.0007345324707,4540.91029,140.6631817
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.2,static_margin,multi,5,13594,0,2.235912903,0,0.5315433279,0.01140486519,0.7037689687,0.007557322287,998.472635,17.76805587
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.2,static_margin,single,5,159915,0,1,0,0.8177794453,0.002166568097,0.8177794453,0.002166568097,2444.693093,44.98264806
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,kgcp_softmax_static,multi,5,13594,0,2.235912903,0,0.5356627924,0.01700643103,0.7085509024,0.01565415952,1047.566941,70.72333072
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,kgcp_softmax_static,single,5,159915,0,1,0,0.8216890223,0.002374050481,0.8216890223,0.002374050481,2570.112576,175.9018339
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,rolling_margin,multi,5,13594,0,2.235912903,0,0.7099602766,0.01062700384,0.830305001,0.008001236876,2262.770046,164.4001163
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,rolling_margin,single,5,159915,0,1,0,0.9158340368,0.001816407621,0.9158340368,0.001816407621,4713.592362,266.522254
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,static_margin,multi,5,13594,0,2.235912903,0,0.5304840371,0.01680969914,0.7046117632,0.01605684452,1080.572223,75.70804575
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,static_margin,single,5,159915,0,1,0,0.8198030204,0.002233212695,0.8198030204,0.002233212695,2615.774544,183.7034344
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,kgcp_softmax_static,multi,5,13594,0,2.235912903,0,0.5757245844,0.007554090858,0.7461400009,0.006651277304,806.059129,10.88881468
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,kgcp_softmax_static,single,5,159915,0,1,0,0.8151155301,0.001818568846,0.8151155301,0.001818568846,1961.806583,28.8076595
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,rolling_margin,multi,5,13594,0,2.235912903,0,0.7366632338,0.002438328959,0.8577503471,0.002668711818,1779.237031,26.91059647
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,rolling_margin,single,5,159915,0,1,0,0.9089003533,0.0006479419434,0.9089003533,0.0006479419434,3838.114961,72.19568526
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,static_margin,multi,5,13594,0,2.235912903,0,0.5683831102,0.00648317544,0.7405346674,0.006078213518,822.314065,13.78659011
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,static_margin,single,5,159915,0,1,0,0.8120501516,0.001922177018,0.8120501516,0.001922177018,1999.624315,33.76150735
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,kgcp_softmax_static,multi,5,13594,0,2.235912903,0,0.5364719729,0.005965635992,0.7093611725,0.00548459555,1049.591393,33.18256689
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,kgcp_softmax_static,single,5,159915,0,1,0,0.8197767564,0.002279855233,0.8197767564,0.002279855233,2576.63363,66.2935562
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,rolling_margin,multi,5,13594,0,2.235912903,0,0.7144769751,0.005411824009,0.8330025608,0.003485395631,2291.014668,34.20278085
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,rolling_margin,single,5,159915,0,1,0,0.9150361129,0.0007001068146,0.9150361129,0.0007001068146,4721.688376,83.63235935
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,static_margin,multi,5,13594,0,2.235912903,0,0.5331322642,0.006237508339,0.7063853313,0.006048650549,1080.642887,36.70005152
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,static_margin,single,5,159915,0,1,0,0.8179270237,0.002626080354,0.8179270237,0.002626080354,2617.532545,74.48674076
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,kgcp_softmax_static,multi,5,13594,0,2.235912903,0,0.5357804914,0.01548626657,0.7096268837,0.01637747951,905.7345447,156.863155
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,kgcp_softmax_static,single,5,159915,0,1,0,0.820210737,0.005979089959,0.820210737,0.005979089959,2253.10414,362.6645647
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,rolling_margin,multi,5,13594,0,2.235912903,0,0.7097837281,0.01816236352,0.8304230476,0.01306732318,1992.885906,216.3023053
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,rolling_margin,single,5,159915,0,1,0,0.9155326267,0.0031919721,0.9155326267,0.0031919721,4338.773362,414.3285854
