run,dataset_mode,model_name,negative_sampling,seed,deletion_rate,method,answer_group,query_count,mean_answer_count,full_set_coverage,partial_answer_recall,mean_size
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0,kgcp_softmax_static,multi,3439,2.34690317,0.5091596394,0.6965185754,1212.874673
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0,kgcp_softmax_static,single,30525,1,0.8614250614,0.8614250614,2969.04629
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0,rolling_margin,multi,3439,2.34690317,0.6583309101,0.7999341124,2108.043908
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0,rolling_margin,single,30525,1,0.9304176904,0.9304176904,4278.086912
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0,static_margin,multi,3439,2.34690317,0.505670253,0.6941687783,1249.14481
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0,static_margin,single,30525,1,0.862014742,0.862014742,3016.847043
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.1,kgcp_softmax_static,multi,3439,2.34690317,0.5091596394,0.6974680024,1272.325095
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.1,kgcp_softmax_static,single,30525,1,0.8642424242,0.8642424242,3080.046945
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.1,rolling_margin,multi,3439,2.34690317,0.6635649898,0.8039991784,2086.806048
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.1,rolling_margin,single,30525,1,0.9305814906,0.9305814906,4255.968452
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.1,static_margin,multi,3439,2.34690317,0.5091596394,0.6966475812,1323.429485
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.1,static_margin,single,30525,1,0.8671253071,0.8671253071,3149.998821
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.2,kgcp_softmax_static,multi,3439,2.34690317,0.4972375691,0.6881542023,1265.619657
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.2,kgcp_softmax_static,single,30525,1,0.8612612613,0.8612612613,3087.833022
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.2,rolling_margin,multi,3439,2.34690317,0.6615295144,0.8021857129,2151.411748
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.2,rolling_margin,single,30525,1,0.9302211302,0.9302211302,4328.395053
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.2,static_margin,multi,3439,2.34690317,0.4992730445,0.6907170089,1314.313754
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.2,static_margin,single,30525,1,0.8626371826,0.8626371826,3142.147912
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.3,kgcp_softmax_static,multi,3439,2.34690317,0.4986914801,0.6852334566,1347.04827
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.3,kgcp_softmax_static,single,30525,1,0.8674201474,0.8674201474,3243.234562
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.3,rolling_margin,multi,3439,2.34690317,0.6533876127,0.8002534231,2194.42367
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.3,rolling_margin,single,30525,1,0.9308108108,0.9308108108,4421.056085
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.3,static_margin,multi,3439,2.34690317,0.4992730445,0.683443069,1385.72492
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.3,static_margin,single,30525,1,0.8674529075,0.8674529075,3289.989517
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,kgcp_softmax_static,multi,3439,2.34690317,0.5015993021,0.6936578324,1164.549288
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,kgcp_softmax_static,single,30525,1,0.8581818182,0.8581818182,2896.141949
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,rolling_margin,multi,3439,2.34690317,0.6592032568,0.8033774855,2037.53533
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,rolling_margin,single,30525,1,0.9294021294,0.9294021294,4197.379984
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,static_margin,multi,3439,2.34690317,0.4963652224,0.6889492377,1197.729573
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,static_margin,single,30525,1,0.8568058968,0.8568058968,2920.336216
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,kgcp_softmax_static,multi,3439,2.34690317,0.5039255598,0.694719649,1253.38674
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,kgcp_softmax_static,single,30525,1,0.8633906634,0.8633906634,3020.140246
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,rolling_margin,multi,3439,2.34690317,0.6536783949,0.8048463972,2059.580692
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,rolling_margin,single,30525,1,0.9288452088,0.9288452088,4223.570156
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,static_margin,multi,3439,2.34690317,0.5018900843,0.6917924415,1293.500727
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,static_margin,single,30525,1,0.8627682228,0.8627682228,3052.399083
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,kgcp_softmax_static,multi,3439,2.34690317,0.4879325385,0.68936141,1095.813318
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,kgcp_softmax_static,single,30525,1,0.84999181,0.84999181,2813.385258
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,rolling_margin,multi,3439,2.34690317,0.6589124746,0.8083902205,1938.382088
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,rolling_margin,single,30525,1,0.9271089271,0.9271089271,4111.431351
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,static_margin,multi,3439,2.34690317,0.4893864495,0.6881223547,1130.135795
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,static_margin,single,30525,1,0.8493693694,0.8493693694,2847.121966
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,kgcp_softmax_static,multi,3439,2.34690317,0.4911311428,0.6909345186,1163.380634
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,kgcp_softmax_static,single,30525,1,0.8475020475,0.8475020475,2897.635774
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,rolling_margin,multi,3439,2.34690317,0.6501890084,0.8052416954,2125.809828
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,rolling_margin,single,30525,1,0.9275348075,0.9275348075,4292.33009
