run,dataset_mode,model_name,negative_sampling,deletion_rate,method,seed_count,multi_query_count_mean,multi_query_count_sd,full_set_coverage_multi_minus_single_mean,full_set_coverage_multi_minus_single_sd,partial_recall_multi_minus_single_mean,partial_recall_multi_minus_single_sd,mean_size_multi_minus_single_mean,mean_size_multi_minus_single_sd
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0,kgcp_softmax_static,5,13594,0,-0.2572502385,0.01230813531,-0.08888498162,0.007923641744,-1249.093635,10.90111126
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0,rolling_margin,5,13594,0,-0.1818188505,0.004580998265,-0.06980548828,0.002467220895,-2189.031874,39.27720108
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0,static_margin,5,13594,0,-0.2611097947,0.01410706413,-0.09033668864,0.009078854365,-1258.251921,14.83306068
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.1,kgcp_softmax_static,5,13594,0,-0.2707971739,0.01120412186,-0.1003106408,0.008358851517,-1341.609686,17.65419871
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.1,rolling_margin,5,13594,0,-0.1879254398,0.006268255446,-0.07428443475,0.00458895724,-2283.35878,33.92597209
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.1,static_margin,5,13594,0,-0.2741152601,0.01216343854,-0.1025614557,0.008904670453,-1350.628882,16.36567797
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.2,kgcp_softmax_static,5,13594,0,-0.2835199886,0.01062598792,-0.1120334105,0.006849712639,-1432.835979,29.61973034
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.2,rolling_margin,5,13594,0,-0.1972230903,0.007270506385,-0.08053080064,0.003537072522,-2394.897946,65.14113216
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.2,static_margin,5,13594,0,-0.2862361174,0.009857403196,-0.1140104766,0.006159435212,-1446.220458,29.11123147
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,kgcp_softmax_static,5,13594,0,-0.2860262299,0.01655704044,-0.1131381199,0.01543900412,-1522.545635,105.6236201
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,rolling_margin,5,13594,0,-0.2058737602,0.01243704104,-0.08552903586,0.009812927286,-2450.822317,103.4396606
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,static_margin,5,13594,0,-0.2893189833,0.01694457601,-0.1151912572,0.01640865703,-1535.202321,108.6516591
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,kgcp_softmax_static,5,13594,0,-0.2393909457,0.006165429415,-0.06897552926,0.006070280248,-1155.747454,20.77689624
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,rolling_margin,5,13594,0,-0.1722371195,0.002930917959,-0.05115000626,0.003316113286,-2058.87793,46.35747603
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,static_margin,5,13594,0,-0.2436670414,0.00525046283,-0.07151548426,0.005911110166,-1177.31025,20.76827258
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,kgcp_softmax_static,5,13594,0,-0.2833047835,0.005052002012,-0.1104155839,0.004956890432,-1527.042237,34.51350248
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,rolling_margin,5,13594,0,-0.2005591378,0.006005500911,-0.08203355218,0.004164987136,-2430.673707,52.1774744
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,static_margin,5,13594,0,-0.2847947595,0.005157941869,-0.1115416925,0.005386275778,-1536.889659,38.74473828
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,kgcp_softmax_static,5,13594,0,-0.2844302456,0.0213871077,-0.1105838532,0.02227243027,-1347.369596,205.8362727
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,rolling_margin,5,13594,0,-0.2057488986,0.02134497152,-0.08510957911,0.01625646933,-2345.887457,200.5116345
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,static_margin,5,13594,0,-0.2863384671,0.02042296029,-0.1117954205,0.02200370641,-1367.179406,209.7169139
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,kgcp_softmax_static,5,13594,0,-0.2946713073,0.01130908889,-0.1202000987,0.01220229885,-1516.784955,94.99298429
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,rolling_margin,5,13594,0,-0.2137462889,0.01131370305,-0.09175799611,0.008431955984,-2511.515584,98.34752566
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,static_margin,5,13594,0,-0.2957219813,0.01084722962,-0.1210089644,0.01245289383,-1533.079217,91.94655383
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,kgcp_softmax_static,5,3439,0,-0.3547735716,0.007258406356,-0.1637602649,0.002552262469,-1740.779707,52.79242738
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,rolling_margin,5,3439,0,-0.2701128259,0.00329718627,-0.1259136485,0.005854706866,-2138.356925,38.14803147
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,static_margin,5,3439,0,-0.3560636234,0.006468354101,-0.1658961006,0.003283691215,-1746.746835,59.09588928
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,kgcp_softmax_static,5,3439,0,-0.3565731158,0.003311060591,-0.1652858045,0.006126614184,-1759.063606,49.89337018
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,rolling_margin,5,3439,0,-0.2722654258,0.003236052554,-0.1248025413,0.002559380684,-2142.947185,41.19748996
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,static_margin,5,3439,0,-0.3580720202,0.004967350794,-0.1677550906,0.006975532278,-1759.778794,53.5372705
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,kgcp_softmax_static,5,3439,0,-0.363366352,0.00570447924,-0.1685056044,0.005463476048,-1774.532077,38.6732189
