run,dataset_mode,model_name,negative_sampling,seed,deletion_rate,method,multi_query_count,full_set_coverage_multi_minus_single,partial_recall_multi_minus_single,mean_size_multi_minus_single
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0,kgcp_softmax_static,3439,-0.352265422,-0.164906486,-1756.171617
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0,rolling_margin,3439,-0.2720867803,-0.130483578,-2170.043004
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0,static_margin,3439,-0.356344489,-0.1678459637,-1767.702234
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.1,kgcp_softmax_static,3439,-0.3550827848,-0.1667744218,-1807.721851
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.1,rolling_margin,3439,-0.2670165008,-0.1265823122,-2169.162404
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.1,static_margin,3439,-0.3579656677,-0.1704777259,-1826.569335
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.2,kgcp_softmax_static,3439,-0.3640236922,-0.173107059,-1822.213365
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.2,rolling_margin,3439,-0.2686916158,-0.1280354173,-2176.983306
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.2,static_margin,3439,-0.3633641381,-0.1719201737,-1827.834158
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.3,kgcp_softmax_static,3439,-0.3687286673,-0.1821866909,-1896.186292
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.3,rolling_margin,3439,-0.2774231981,-0.1305573877,-2226.632416
icews14_distmult_filtered,icews14,temporal_distmult,filtered,17,0.3,static_margin,3439,-0.368179863,-0.1840098385,-1904.264597
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,kgcp_softmax_static,3439,-0.3565825161,-0.1645239858,-1731.592662
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,rolling_margin,3439,-0.2701988726,-0.1260246439,-2159.844654
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,static_margin,3439,-0.3604406744,-0.1678566591,-1722.606644
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,kgcp_softmax_static,3439,-0.3594651036,-0.1686710144,-1766.753505
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,rolling_margin,3439,-0.275166814,-0.1239988116,-2163.989464
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,static_margin,3439,-0.3608781384,-0.1709757813,-1758.898356
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,kgcp_softmax_static,3439,-0.3620592715,-0.1606304,-1717.57194
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,rolling_margin,3439,-0.2681964526,-0.1187187066,-2173.049264
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,static_margin,3439,-0.3599829198,-0.1612470147,-1716.98617
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,kgcp_softmax_static,3439,-0.3563709047,-0.1565675289,-1734.25514
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,rolling_margin,3439,-0.2773457991,-0.1222931121,-2166.520262
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,static_margin,3439,-0.358230701,-0.1559861393,-1719.536861
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,kgcp_softmax_static,3439,-0.344068698,-0.1666659369,-1816.270879
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,rolling_margin,3439,-0.2656446375,-0.1226052942,-2127.503946
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,static_margin,3439,-0.3448302949,-0.1677768187,-1833.345165
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,kgcp_softmax_static,3439,-0.3551685953,-0.1680485161,-1775.091407
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,rolling_margin,3439,-0.2718534019,-0.1255612212,-2128.384268
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,static_margin,3439,-0.3553816832,-0.1704182387,-1769.646074
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,kgcp_softmax_static,3439,-0.3576380674,-0.1706490709,-1793.269377
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,rolling_margin,3439,-0.2735160474,-0.1294328883,-2159.360308
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,static_margin,3439,-0.3557663921,-0.1706169393,-1802.008183
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,kgcp_softmax_static,3439,-0.3611767415,-0.1711163004,-1802.425649
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,rolling_margin,3439,-0.2726274685,-0.1267731647,-2156.759053
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,static_margin,3439,-0.3581871671,-0.1722791419,-1801.930763
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,kgcp_softmax_static,3439,-0.3637584398,-0.1599169992,-1670.008365
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,rolling_margin,3439,-0.2684257728,-0.1180049463,-2076.318364
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,static_margin,3439,-0.3589542986,-0.1602456255,-1673.661419
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,kgcp_softmax_static,3439,-0.3526188474,-0.1544079657,-1674.633509
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,rolling_margin,3439,-0.2746304792,-0.1207486521,-2077.039975
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,static_margin,3439,-0.3516029911,-0.1553057332,-1676.974979
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,kgcp_softmax_static,3439,-0.3726738174,-0.1730060245,-1775.663373
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,rolling_margin,3439,-0.2887390602,-0.1343423641,-2189.361587
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,static_margin,3439,-0.3675829521,-0.1726985265,-1776.004564
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,kgcp_softmax_static,3439,-0.3705762894,-0.1733653753,-1808.194467
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,rolling_margin,3439,-0.2787828871,-0.1265573376,-2214.454281
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,static_margin,3439,-0.3734185913,-0.1755081846,-1815.877905
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,kgcp_softmax_static,3439,-0.3571927824,-0.1627879167,-1729.855013
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,rolling_margin,3439,-0.2742080662,-0.1324497801,-2158.074657
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,static_margin,3439,-0.3597483603,-0.165755436,-1736.418712
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,kgcp_softmax_static,3439,-0.3605302477,-0.1685271044,-1771.117756
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,rolling_margin,3439,-0.2726599332,-0.1271217092,-2176.159813
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,static_margin,3439,-0.3645316204,-0.1715979741,-1766.805225
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,kgcp_softmax_static,3439,-0.3604369116,-0.1651354674,-1763.942329
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,rolling_margin,3439,-0.2777876166,-0.1283965284,-2143.774633
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,static_margin,3439,-0.3580573081,-0.1636088251,-1765.140443
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.3,kgcp_softmax_static,3439,-0.3544035309,-0.1689127552,-1812.323937
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.3,rolling_margin,3439,-0.2804985831,-0.1337903069,-2227.99095
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.3,static_margin,3439,-0.3571350832,-0.1715764583,-1810.884598
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0,kgcp_softmax_static,3439,-0.3763185925,-0.1792944877,-1758.875786
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0,rolling_margin,3439,-0.2879365871,-0.132912863,-2161.46733
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0,static_margin,3439,-0.3738241813,-0.1792197999,-1769.979455
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.1,kgcp_softmax_static,3439,-0.388388526,-0.1850335822,-1759.743384
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.1,rolling_margin,3439,-0.2930312151,-0.1393859371,-2204.040032
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.1,static_margin,3439,-0.3886836616,-0.1835805629,-1750.659561
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.2,kgcp_softmax_static,3439,-0.3910203217,-0.1927780946,-1859.891938
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.2,rolling_margin,3439,-0.2956114369,-0.1402148884,-2214.761983
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.2,static_margin,3439,-0.3926261539,-0.1933876516,-1847.338066
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.3,kgcp_softmax_static,3439,-0.394993583,-0.190214173,-1891.40383
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.3,rolling_margin,3439,-0.2901439789,-0.1358032671,-2260.19321
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.3,static_margin,3439,-0.3948787753,-0.1913421129,-1888.105943
