statistic,family,run,comparison,dataset_mode,model_name,negative_sampling,deletion_rate,target_coverage,block_length,seed,observed,weighting
coverage_change,deletion_effect,icews05_15_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,3,17,8.932793863e-05,query_micro
coverage_change,deletion_effect,icews05_15_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,3,29,-0.0001891650465,query_micro
coverage_change,deletion_effect,icews05_15_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,3,43,-0.0003100204929,query_micro
coverage_change,deletion_effect,icews05_15_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,3,59,0.0001418737849,query_micro
coverage_change,deletion_effect,icews05_15_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,3,71,0.0003152750775,query_micro
coverage_change,deletion_effect,icews05_15_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,7,17,8.932793863e-05,query_micro
coverage_change,deletion_effect,icews05_15_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,7,29,-0.0001891650465,query_micro
coverage_change,deletion_effect,icews05_15_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,7,43,-0.0003100204929,query_micro
coverage_change,deletion_effect,icews05_15_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,7,59,0.0001418737849,query_micro
coverage_change,deletion_effect,icews05_15_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,7,71,0.0003152750775,query_micro
coverage_change,deletion_effect,icews05_15_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,14,17,8.932793863e-05,query_micro
coverage_change,deletion_effect,icews05_15_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,14,29,-0.0001891650465,query_micro
coverage_change,deletion_effect,icews05_15_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,14,43,-0.0003100204929,query_micro
