seed,deletion_rate,extra_delay_blocks,method,query_count,coverage,macro_time_coverage,positive_undercoverage,fraction_timestamps_below_target,mean_size,median_size,p90_size,pool_score_count_mean,pool_span_blocks_mean
17,0,0,static,38596,0.825759146,0.8221966634,0.07802817733,0.9863013699,2611.283345,559.9720696,7128,31419.61644,58
17,0,0,rolling,38596,0.898745984,0.8993379484,0.007808384137,0.5890410959,3646.283112,3875.489455,7128,1000,2.424657534
29,0,0,static,38596,0.8242563996,0.8201743189,0.07982568114,1,2660.431133,576.3560991,7128,31419.61644,58
29,0,0,rolling,38596,0.8988237123,0.8988753469,0.008967514429,0.5890410959,3698.816613,4007.214815,7128,1000,2.424657534
43,0,0,static,38596,0.8049279718,0.8006855751,0.09931442489,1,2049.033656,204.7024303,7126.228081,31419.61644,58
43,0,0,rolling,38596,0.8976577884,0.8968229768,0.009842408533,0.5616438356,3230.235776,1837.228702,7128,1000,2.424657534
59,0,0,static,38596,0.8188931495,0.8144968994,0.08560302977,0.9863013699,2419.567649,383.6945538,7127.977645,31419.61644,58
59,0,0,rolling,38596,0.8990309877,0.8990298789,0.008254430133,0.5342465753,3491.08177,2877.656337,7128,1000,2.424657534
71,0,0,static,38596,0.8171831278,0.8136188029,0.08641460841,0.9863013699,2447.113198,396.0128511,7127.975034,31419.61644,58
71,0,0,rolling,38596,0.8989532594,0.8990601925,0.008265139249,0.5753424658,3478.513007,2845.355037,7128,1000,2.424657534
17,0,1,static,38596,0.825759146,0.8221966634,0.07802817733,0.9863013699,2611.283345,559.9720696,7128,30895.75342,58
17,0,1,rolling,38596,0.8962845891,0.8975845429,0.008818805184,0.5479452055,3611.534485,3686.821173,7128,1000,3.424657534
29,0,1,static,38596,0.8242563996,0.8201743189,0.07982568114,1,2660.431133,576.3560991,7128,30895.75342,58
29,0,1,rolling,38596,0.8961809514,0.8968556301,0.01049338479,0.5616438356,3660.077728,3837.707457,7128,1000,3.424657534
43,0,1,static,38596,0.8049279718,0.8006855751,0.09931442489,1,2049.033656,204.7024303,7126.228081,30895.75342,58
43,0,1,rolling,38596,0.8952741217,0.8951456716,0.01114740646,0.5616438356,3189.986346,1703.128096,7128,1000,3.424657534
59,0,1,static,38596,0.8188931495,0.8144968994,0.08560302977,0.9863013699,2419.567649,383.6945538,7127.977645,30895.75342,58
59,0,1,rolling,38596,0.8964141362,0.8964929302,0.009918999198,0.5342465753,3456.172868,2738.596927,7128,1000,3.424657534
71,0,1,static,38596,0.8171831278,0.8136188029,0.08641460841,0.9863013699,2447.113198,396.0128511,7127.975034,30895.75342,58
71,0,1,rolling,38596,0.8973468753,0.8979881594,0.008533503886,0.5616438356,3453.307597,2685.315862,7128,1000,3.424657534
17,0,3,static,38596,0.825759146,0.8221966634,0.07802817733,0.9863013699,2611.283345,559.9720696,7128,29867.09589,58
17,0,3,rolling,38596,0.893693647,0.8943039798,0.01232839543,0.5616438356,3564.586071,3357.042776,7128,1000,5.342465753
29,0,3,static,38596,0.8242563996,0.8201743189,0.07982568114,1,2660.431133,576.3560991,7128,29867.09589,58
29,0,3,rolling,38596,0.8924240854,0.8931896817,0.0128562476,0.6575342466,3594.856799,3464.578739,7128,1000,5.342465753
43,0,3,static,38596,0.8049279718,0.8006855751,0.09931442489,1,2049.033656,204.7024303,7126.228081,29867.09589,58
43,0,3,rolling,38596,0.8908436107,0.8916844532,0.01427472153,0.6575342466,3118.234688,1534.650793,7128,1000,5.342465753
59,0,3,static,38596,0.8188931495,0.8144968994,0.08560302977,0.9863013699,2419.567649,383.6945538,7127.977645,29867.09589,58
