seed,deletion_rate,method,timestamp,query_count,threshold,pool_score_count,pool_span_blocks,selected_half_life,coverage,mean_size,median_size,p90_size,extra_delay_blocks
17,0,static,292,730,14.88379383,11270,22,,0.8835616438,3438.8,1730.5,7128,0
17,0,rolling,292,730,14.94489861,1000,3,,0.8863013699,3455.908219,1845.5,7128,0
17,0,static,292,730,14.88379383,11270,22,,0.8835616438,3438.8,1730.5,7128,1
17,0,rolling,292,730,14.94489861,1000,3,,0.8863013699,3455.908219,1845.5,7128,1
17,0,static,292,730,14.88379383,11270,22,,0.8835616438,3438.8,1730.5,7128,3
17,0,rolling,292,730,14.94489861,1000,3,,0.8863013699,3455.908219,1845.5,7128,3
17,0,static,292,730,14.88379383,11270,22,,0.8835616438,3438.8,1730.5,7128,7
17,0,rolling,292,730,14.94489861,1000,3,,0.8863013699,3455.908219,1845.5,7128,7
17,0,static,293,658,14.88379383,12000,23,,0.9164133739,3622.474164,4290,7128,0
17,0,rolling,293,658,15.21575308,1000,2,,0.9209726444,3731.153495,4828.5,7128,0
17,0,static,293,658,14.88379383,11270,23,,0.9164133739,3622.474164,4290,7128,1
17,0,rolling,293,658,14.94489861,1000,4,,0.9179331307,3639.047112,4412,7128,1
17,0,static,293,658,14.88379383,11270,23,,0.9164133739,3622.474164,4290,7128,3
17,0,rolling,293,658,14.94489861,1000,4,,0.9179331307,3639.047112,4412,7128,3
17,0,static,293,658,14.88379383,11270,23,,0.9164133739,3622.474164,4290,7128,7
17,0,rolling,293,658,14.94489861,1000,4,,0.9179331307,3639.047112,4412,7128,7
17,0,static,294,618,14.88379383,12658,24,,0.8446601942,3417.985437,1522,7128,0
17,0,rolling,294,618,15.27624702,1000,2,,0.857605178,3544.414239,2904,7128,0
17,0,static,294,618,14.88379383,12000,24,,0.8446601942,3417.985437,1522,7128,1
17,0,rolling,294,618,15.21575308,1000,3,,0.855987055,3522.220065,2200,7128,1
17,0,static,294,618,14.88379383,11270,24,,0.8446601942,3417.985437,1522,7128,3
17,0,rolling,294,618,14.94489861,1000,5,,0.8446601942,3437.449838,1592,7128,3
17,0,static,294,618,14.88379383,11270,24,,0.8446601942,3417.985437,1522,7128,7
17,0,rolling,294,618,14.94489861,1000,5,,0.8446601942,3437.449838,1592,7128,7
17,0,static,295,666,14.88379383,13276,25,,0.8858858859,3323.768769,1422,7128,0
17,0,rolling,295,666,16.07439041,1000,2,,0.9114114114,3790.058559,4484,7128,0
17,0,static,295,666,14.88379383,12658,25,,0.8858858859,3323.768769,1422,7128,1
17,0,rolling,295,666,15.27624702,1000,3,,0.8903903904,3484.151652,1892.5,7128,1
17,0,static,295,666,14.88379383,11270,25,,0.8858858859,3323.768769,1422,7128,3
17,0,rolling,295,666,14.94489861,1000,6,,0.8888888889,3345.563063,1453,7128,3
17,0,static,295,666,14.88379383,11270,25,,0.8858858859,3323.768769,1422,7128,7
17,0,rolling,295,666,14.94489861,1000,6,,0.8888888889,3345.563063,1453,7128,7
17,0,static,296,516,14.88379383,13942,26,,0.8410852713,3292.841085,1293.5,7128,0
17,0,rolling,296,516,16.17732906,1000,2,,0.8662790698,3723.532946,4641.5,7128,0
17,0,static,296,516,14.88379383,13276,26,,0.8410852713,3292.841085,1293.5,7128,1
17,0,rolling,296,516,16.07439041,1000,3,,0.8662790698,3688.081395,4447,7128,1
17,0,static,296,516,14.88379383,12000,26,,0.8410852713,3292.841085,1293.5,7128,3
17,0,rolling,296,516,15.21575308,1000,5,,0.8488372093,3402.195736,1629,7128,3
17,0,static,296,516,14.88379383,11270,26,,0.8410852713,3292.841085,1293.5,7128,7
17,0,rolling,296,516,14.94489861,1000,7,,0.8449612403,3309.391473,1334,7128,7
17,0,static,297,292,14.88379383,14458,27,,0.8287671233,2715.373288,474,7128,0
17,0,rolling,297,292,16.52709749,1000,2,,0.8767123288,3215.25,1230,7128,0
17,0,static,297,292,14.88379383,13942,27,,0.8287671233,2715.373288,474,7128,1
17,0,rolling,297,292,16.17732906,1000,3,,0.8732876712,3130.219178,909,7128,1
17,0,static,297,292,14.88379383,12658,27,,0.8287671233,2715.373288,474,7128,3
17,0,rolling,297,292,15.27624702,1000,5,,0.8390410959,2851.482877,566.5,7128,3
17,0,static,297,292,14.88379383,11270,27,,0.8287671233,2715.373288,474,7128,7
17,0,rolling,297,292,14.94489861,1000,8,,0.8287671233,2738.339041,487.5,7128,7
17,0,static,298,252,14.88379383,14750,28,,0.8611111111,2891.281746,635.5,7128,0
17,0,rolling,298,252,17.46262169,1000,3,,0.9404761905,3767.376984,4760,7128,0
17,0,static,298,252,14.88379383,14458,28,,0.8611111111,2891.281746,635.5,7128,1
17,0,rolling,298,252,16.52709749,1000,3,,0.9126984127,3496.444444,1791.5,7128,1
17,0,static,298,252,14.88379383,13276,28,,0.8611111111,2891.281746,635.5,7128,3
17,0,rolling,298,252,16.07439041,1000,5,,0.9007936508,3356.388889,1262.5,7128,3
17,0,static,298,252,14.88379383,11270,28,,0.8611111111,2891.281746,635.5,7128,7
17,0,rolling,298,252,14.94489861,1000,9,,0.8611111111,2909.777778,661.5,7128,7
17,0,static,299,702,14.88379383,15002,29,,0.8646723647,3159.254986,949.5,7128,0
17,0,rolling,299,702,16.71952009,1000,3,,0.8945868946,3718.659544,4939.5,7128,0
17,0,static,299,702,14.88379383,14750,29,,0.8646723647,3159.254986,949.5,7128,1
17,0,rolling,299,702,17.46262169,1000,4,,0.9017094017,3909.719373,6216,7128,1
17,0,static,299,702,14.88379383,13942,29,,0.8646723647,3159.254986,949.5,7128,3
17,0,rolling,299,702,16.17732906,1000,5,,0.8874643875,3567.915954,3928,7128,3
17,0,static,299,702,14.88379383,11270,29,,0.8646723647,3159.254986,949.5,7128,7
