deletion_rate,extra_delay_blocks,method,seed_count,coverage_mean,coverage_sd,macro_time_coverage_mean,macro_time_coverage_sd,positive_undercoverage_mean,positive_undercoverage_sd,fraction_timestamps_below_target_mean,fraction_timestamps_below_target_sd,mean_size_mean,mean_size_sd,median_size_mean,median_size_sd,p90_size_mean,p90_size_sd,pool_score_count_mean_mean,pool_score_count_mean_sd,pool_span_blocks_mean_mean,pool_span_blocks_mean_sd
0,0,static,5,0.818203959,0.00823835245,0.8142344519,0.008406824555,0.08583718431,0.008353786882,0.9917808219,0.007503048733,2437.485796,240.4261961,424.1476008,151.8221898,7127.636152,0.7872252252,31419.61644,0,58,0
0,0,rolling,5,0.8986423464,0.0005614039973,0.8986252687,0.001021221769,0.008627575296,0.0007957778841,0.5698630137,0.02292219251,3508.986056,182.9187053,3088.588869,884.9637926,7128,0,1000,0,2.424657534,0
0,1,static,5,0.818203959,0.00823835245,0.8142344519,0.008406824555,0.08583718431,0.008353786882,0.9917808219,0.007503048733,2437.485796,240.4261961,424.1476008,151.8221898,7127.636152,0.7872252252,30895.75342,4.067383957e-12,58,0
0,1,rolling,5,0.8963001347,0.0007375315814,0.8968133868,0.001102329733,0.009782419903,0.001104044588,0.5534246575,0.01225242727,3474.215805,183.6778163,2930.313903,865.7988731,7128,0,1000,0,3.424657534,0
0,3,static,5,0.818203959,0.00823835245,0.8142344519,0.008406824555,0.08583718431,0.008353786882,0.9917808219,0.007503048733,2437.485796,240.4261961,424.1476008,151.8221898,7127.636152,0.7872252252,29867.09589,4.067383957e-12,58,0
0,3,rolling,5,0.8929163644,0.001671810262,0.8936754799,0.001586270891,0.01244659975,0.001708299938,0.6219178082,0.04063670404,3411.738776,189.9578842,2625.988356,797.9402224,7128,0,1000,0,5.342465753,0
0,7,static,5,0.818203959,0.00823835245,0.8142344519,0.008406824555,0.08583718431,0.008353786882,0.9917808219,0.007503048733,2437.485796,240.4261961,424.1476008,151.8221898,7127.636152,0.7872252252,27862.76712,0,58,0
0,7,rolling,5,0.8874598404,0.002508374501,0.8872666065,0.002686525222,0.01705392718,0.002579754817,0.7095890411,0.01786082851,3323.351705,200.9462504,2176.073018,742.3360039,7128,0,1000,0,9.02739726,0
0.1,0,static,5,0.8197637061,0.002025960968,0.8154016466,0.002029198182,0.08466400583,0.002038718657,0.9890410959,0.01146109625,2499.241994,98.14409783,451.2697896,85.36760377,7127.979517,0.02419569984,31419.61644,0,58,0
0.1,0,rolling,5,0.898388434,0.0005756907692,0.8986073961,0.0006575261419,0.00843328384,0.0007594232464,0.5452054795,0.03410931397,3556.83875,118.9743303,3316.21681,726.7558028,7128,0,1000,0,2.424657534,0
0.1,1,static,5,0.8197637061,0.002025960968,0.8154016466,0.002029198182,0.08466400583,0.002038718657,0.9890410959,0.01146109625,2499.241994,98.14409783,451.2697896,85.36760377,7127.979517,0.02419569984,30895.75342,4.067383957e-12,58,0
0.1,1,rolling,5,0.8967043217,0.0003095064392,0.8974049946,0.0004139445275,0.009051669171,0.0004043714458,0.5232876712,0.01500609747,3519.748482,112.6226412,3118.014882,677.006171,7128,0,1000,0,3.424657534,0
0.1,3,static,5,0.8197637061,0.002025960968,0.8154016466,0.002029198182,0.08466400583,0.002038718657,0.9890410959,0.01146109625,2499.241994,98.14409783,451.2697896,85.36760377,7127.979517,0.02419569984,29867.09589,4.067383957e-12,58,0
0.1,3,rolling,5,0.8929422738,0.0006040285639,0.894059283,0.0004114361345,0.01218391371,0.0004679597133,0.6136986301,0.04584438502,3455.889336,109.8201629,2747.087869,546.5430563,7128,0,1000,0,5.342465753,0
0.1,7,static,5,0.8197637061,0.002025960968,0.8154016466,0.002029198182,0.08466400583,0.002038718657,0.9890410959,0.01146109625,2499.241994,98.14409783,451.2697896,85.36760377,7127.979517,0.02419569984,27862.76712,0,58,0
0.1,7,rolling,5,0.8874028397,0.001233816297,0.8874223742,0.0009560741912,0.01701964723,0.0007991371429,0.704109589,0.0490097091,3371.574997,107.9173484,2284.658405,497.4158526,7128,0,1000,0,9.02739726,0
0.2,0,static,5,0.8173696756,0.006301195609,0.8133458395,0.006662639306,0.08671078703,0.006657452325,0.9945205479,0.007503048733,2586.541569,142.8419139,553.4269147,194.8675827,7127.995145,0.01085706133,31419.61644,0,58,0
0.2,0,rolling,5,0.898346979,0.000939301371,0.8985765058,0.001048608625,0.00847099812,0.000717998465,0.5397260274,0.05530583353,3683.067924,105.6290119,4001.300912,633.9850131,7128,0,1000,0,2.424657534,0
0.2,1,static,5,0.8173696756,0.006301195609,0.8133458395,0.006662639306,0.08671078703,0.006657452325,0.9945205479,0.007503048733,2586.541569,142.8419139,553.4269147,194.8675827,7127.995145,0.01085706133,30895.75342,4.067383957e-12,58,0
0.2,1,rolling,5,0.8960462224,0.0006230124793,0.8969382929,0.00101516105,0.009793539476,0.0006991223652,0.5561643836,0.02077500122,3644.492699,100.2203655,3796.222546,575.2151895,7128,0,1000,0,3.424657534,0
0.2,3,static,5,0.8173696756,0.006301195609,0.8133458395,0.006662639306,0.08671078703,0.006657452325,0.9945205479,0.007503048733,2586.541569,142.8419139,553.4269147,194.8675827,7127.995145,0.01085706133,29867.09589,4.067383957e-12,58,0
0.2,3,rolling,5,0.892486268,0.0005504151371,0.8935666581,0.0006157201302,0.0127068528,0.0006020931875,0.6273972603,0.006126213637,3583.149072,99.23626917,3381.120023,601.8142082,7128,0,1000,0,5.342465753,0
0.2,7,static,5,0.8173696756,0.006301195609,0.8133458395,0.006662639306,0.08671078703,0.006657452325,0.9945205479,0.007503048733,2586.541569,142.8419139,553.4269147,194.8675827,7127.995145,0.01085706133,27862.76712,0,58,0
0.2,7,rolling,5,0.8875479324,0.001050594261,0.8876685573,0.001779652513,0.01705265509,0.001434524932,0.6876712329,0.03545802495,3497.126521,101.2563482,2901.420769,571.539779,7128,0,1000,0,9.02739726,0
0.3,0,static,5,0.8234842989,0.005578485396,0.8192834316,0.006102133125,0.08076486755,0.006064641158,0.9945205479,0.007503048733,2748.586506,108.1566499,748.2972951,177.5095973,7128,0,31419.61644,0,58,0
0.3,0,rolling,5,0.8997823609,0.000453969724,0.8995402856,0.0005629123435,0.008501638659,0.0007700849678,0.5178082192,0.05513592273,3802.518743,81.86499182,4653.755695,423.6198791,7128,0,1000,0,2.424657534,0
0.3,1,static,5,0.8234842989,0.005578485396,0.8192834316,0.006102133125,0.08076486755,0.006064641158,0.9945205479,0.007503048733,2748.586506,108.1566499,748.2972951,177.5095973,7128,0,30895.75342,4.067383957e-12,58,0
0.3,1,rolling,5,0.8976215152,0.0007302137114,0.8978661956,0.0003134962298,0.009697388691,0.0004396051367,0.5123287671,0.02488479743,3769.725764,79.82912889,4457.200119,413.9226791,7128,0,1000,0,3.424657534,0
0.3,3,static,5,0.8234842989,0.005578485396,0.8192834316,0.006102133125,0.08076486755,0.006064641158,0.9945205479,0.007503048733,2748.586506,108.1566499,748.2972951,177.5095973,7128,0,29867.09589,4.067383957e-12,58,0
0.3,3,rolling,5,0.8934656441,0.0005791784269,0.8939596309,0.0008184289006,0.0129456477,0.001140143356,0.6082191781,0.02488479743,3710.058457,79.43756821,4051.235729,467.9847555,7128,0,1000,0,5.342465753,0
0.3,7,static,5,0.8234842989,0.005578485396,0.8192834316,0.006102133125,0.08076486755,0.006064641158,0.9945205479,0.007503048733,2748.586506,108.1566499,748.2972951,177.5095973,7128,0,27862.76712,0,58,0
0.3,7,rolling,5,0.8884236708,0.001188957314,0.8876641302,0.001363949436,0.01709000394,0.001070966574,0.6821917808,0.02807383771,3636.478666,72.22392679,3700.634625,435.750202,7128,0,1000,0,9.02739726,0
