seed,deletion_rate,window_label,half_life,selected_half_life,selected,validation_coverage,validation_mean_size,validation_query_count
17,0,count_250,7,7,True,0.9093904448,3780.499671,6070
17,0,count_250,14,7,False,0.9093904448,3780.499671,6070
17,0,count_250,30,7,False,0.9093904448,3780.499671,6070
17,0,count_250,inf,7,False,0.9093904448,3780.499671,6070
17,0,count_500,7,7,True,0.8991762768,3567.784514,6070
17,0,count_500,14,7,False,0.8991762768,3567.784514,6070
17,0,count_500,30,7,False,0.8991762768,3567.784514,6070
17,0,count_500,inf,7,False,0.8991762768,3567.784514,6070
17,0,count_1000,7,inf,False,0.9009884679,3590.639374,6070
17,0,count_1000,14,inf,False,0.9013179572,3595.736244,6070
17,0,count_1000,30,inf,False,0.9013179572,3595.736244,6070
17,0,count_1000,inf,inf,True,0.9009884679,3587.635914,6070
17,0,count_2000,7,7,True,0.9018121911,3584.1257,6070
17,0,count_2000,14,7,False,0.902306425,3588.392751,6070
17,0,count_2000,30,7,False,0.9024711697,3591.899341,6070
17,0,count_2000,inf,7,False,0.9024711697,3587.810708,6070
17,0.1,count_250,7,7,True,0.9113673806,3859.753377,6070
17,0.1,count_250,14,7,False,0.9113673806,3859.753377,6070
17,0.1,count_250,30,7,False,0.9113673806,3859.753377,6070
17,0.1,count_250,inf,7,False,0.9113673806,3859.753377,6070
17,0.1,count_500,7,7,True,0.8998352554,3676.708896,6070
17,0.1,count_500,14,7,False,0.8998352554,3676.708896,6070
17,0.1,count_500,30,7,False,0.8998352554,3676.708896,6070
17,0.1,count_500,inf,7,False,0.8998352554,3676.708896,6070
17,0.1,count_1000,7,inf,False,0.9029654036,3708.705437,6070
17,0.1,count_1000,14,inf,False,0.9029654036,3708.705437,6070
17,0.1,count_1000,30,inf,False,0.9029654036,3708.705437,6070
17,0.1,count_1000,inf,inf,True,0.9026359143,3697.21631,6070
17,0.1,count_2000,7,inf,False,0.9003294893,3626.919605,6070
17,0.1,count_2000,14,inf,False,0.9001647446,3627.731631,6070
17,0.1,count_2000,30,inf,False,0.9001647446,3627.237727,6070
17,0.1,count_2000,inf,inf,True,0.9,3622.018122,6070
17,0.2,count_250,7,7,True,0.9087314662,3846.675124,6070
17,0.2,count_250,14,7,False,0.9087314662,3846.675124,6070
17,0.2,count_250,30,7,False,0.9087314662,3846.675124,6070
17,0.2,count_250,inf,7,False,0.9087314662,3846.675124,6070
17,0.2,count_500,7,7,True,0.8993410214,3754.580066,6070
17,0.2,count_500,14,7,False,0.8993410214,3754.580066,6070
17,0.2,count_500,30,7,False,0.8993410214,3754.580066,6070
17,0.2,count_500,inf,7,False,0.8993410214,3754.580066,6070
17,0.2,count_1000,7,inf,False,0.9018121911,3742.74827,6070
17,0.2,count_1000,14,inf,False,0.9018121911,3742.74827,6070
17,0.2,count_1000,30,inf,False,0.9018121911,3742.74827,6070
17,0.2,count_1000,inf,inf,True,0.9016474465,3741.525371,6070
17,0.2,count_2000,7,inf,False,0.9013179572,3709.157002,6070
17,0.2,count_2000,14,inf,False,0.9011532125,3712.518781,6070
17,0.2,count_2000,30,inf,False,0.9009884679,3709.855189,6070
17,0.2,count_2000,inf,inf,True,0.9008237232,3708.254201,6070
17,0.3,count_250,7,7,True,0.9110378913,3985.16804,6070
17,0.3,count_250,14,7,False,0.9110378913,3985.16804,6070
17,0.3,count_250,30,7,False,0.9110378913,3985.16804,6070
17,0.3,count_250,inf,7,False,0.9110378913,3985.16804,6070
17,0.3,count_500,7,7,True,0.9006589786,3818.586326,6070
17,0.3,count_500,14,7,False,0.9006589786,3818.586326,6070
17,0.3,count_500,30,7,False,0.9006589786,3818.586326,6070
17,0.3,count_500,inf,7,False,0.9006589786,3818.586326,6070
17,0.3,count_1000,7,inf,False,0.9034596376,3829.211038,6070
17,0.3,count_1000,14,inf,False,0.9034596376,3830.178913,6070
17,0.3,count_1000,30,inf,False,0.9034596376,3830.178913,6070
17,0.3,count_1000,inf,inf,True,0.9032948929,3823.529654,6070
17,0.3,count_2000,7,inf,False,0.9003294893,3779.012026,6070
17,0.3,count_2000,14,inf,False,0.9003294893,3781.647446,6070
17,0.3,count_2000,30,inf,False,0.9004942339,3781.58056,6070
17,0.3,count_2000,inf,inf,True,0.9004942339,3776.679077,6070
29,0,count_250,7,7,True,0.9090609555,3920.385173,6070
29,0,count_250,14,7,False,0.9090609555,3920.385173,6070
29,0,count_250,30,7,False,0.9090609555,3920.385173,6070
