seed,deletion_rate,history_mode,baseline,query_count,mrr,hits_at_1,hits_at_3,hits_at_10
17,0,train_only,frequency,38596,0.09261339151,0.04373510208,0.09529484921,0.1831018758
17,0,train_only,relation_frequency,38596,0.1419074947,0.07345320759,0.1568038139,0.2788371852
17,0,train_only,repeat,38596,0.2908521258,0.2215773655,0.3205772619,0.4203544409
17,0,prequential,frequency,38596,0.09358460908,0.04373510208,0.09547621515,0.1936211006
17,0,prequential,relation_frequency,38596,0.1523348774,0.07998238159,0.1672453104,0.2994869935
17,0,prequential,repeat,38596,0.3661224637,0.284614986,0.4070888175,0.5178515908
17,0.1,train_only,frequency,38596,0.09263799755,0.04373510208,0.09529484921,0.1831018758
17,0.1,train_only,relation_frequency,38596,0.141931736,0.07376412063,0.155456524,0.2781376308
17,0.1,train_only,repeat,38596,0.2868357859,0.2177945901,0.3147735517,0.4158202923
17,0.1,prequential,frequency,38596,0.09371396892,0.04373510208,0.09534666805,0.1935951912
17,0.1,prequential,relation_frequency,38596,0.1526006518,0.08050057001,0.1667012126,0.2991760804
17,0.1,prequential,repeat,38596,0.3650804471,0.2839413411,0.4052492486,0.5163747539
17,0.2,train_only,frequency,38596,0.09265476793,0.04373510208,0.09529484921,0.1831018758
17,0.2,train_only,relation_frequency,38596,0.1415172944,0.07389366774,0.1547569696,0.2768939787
17,0.2,train_only,repeat,38596,0.2835473825,0.2160327495,0.311405327,0.4099906726
17,0.2,prequential,frequency,38596,0.09385684192,0.04373510208,0.09529484921,0.1935951912
17,0.2,prequential,relation_frequency,38596,0.1527010176,0.08070784537,0.167219401,0.2994092652
17,0.2,prequential,repeat,38596,0.3649479944,0.2844595295,0.4048346979,0.5139910872
17,0.3,train_only,frequency,38596,0.09268656233,0.04373510208,0.09529484921,0.1827909628
17,0.3,train_only,relation_frequency,38596,0.1414947536,0.0741009431,0.1548865167,0.2776712613
17,0.3,train_only,repeat,38596,0.2792035774,0.2122499741,0.3059643486,0.4048087885
17,0.3,prequential,frequency,38596,0.09398417015,0.04373510208,0.09550212457,0.1936211006
17,0.3,prequential,relation_frequency,38596,0.1531755506,0.08130376205,0.1676339517,0.2999274536
17,0.3,prequential,repeat,38596,0.3638353849,0.2834231527,0.4041092341,0.5116851487
29,0,train_only,frequency,38596,0.09261339151,0.04373510208,0.09529484921,0.1831018758
29,0,train_only,relation_frequency,38596,0.1419074947,0.07345320759,0.1568038139,0.2788371852
