deletion_rate,history_mode,baseline,mrr,hits_at_1,hits_at_3,hits_at_10,query_count,seed_count
0,prequential,frequency,0.09358460908,0.04373510208,0.09547621515,0.1936211006,38596,5
0,prequential,relation_frequency,0.1523348774,0.07998238159,0.1672453104,0.2994869935,38596,5
0,prequential,repeat,0.3661224637,0.284614986,0.4070888175,0.5178515908,38596,5
0,train_only,frequency,0.09261339151,0.04373510208,0.09529484921,0.1831018758,38596,5
0,train_only,relation_frequency,0.1419074947,0.07345320759,0.1568038139,0.2788371852,38596,5
0,train_only,repeat,0.2908521258,0.2215773655,0.3205772619,0.4203544409,38596,5
0.1,prequential,frequency,0.09372148244,0.04373510208,0.09547621515,0.1936159187,38596,5
0.1,prequential,relation_frequency,0.152679089,0.08050575189,0.1672712198,0.2995491761,38596,5
0.1,prequential,repeat,0.3650394571,0.2837755208,0.4058814385,0.5161260234,38596,5
0.1,train_only,frequency,0.09252139442,0.04373510208,0.09315473106,0.1830915121,38596,5
0.1,train_only,relation_frequency,0.1417234658,0.07352575396,0.155409887,0.2776246243,38596,5
0.1,train_only,repeat,0.2867812683,0.2177894082,0.3154057415,0.4152140118,38596,5
0.2,prequential,frequency,0.09379101675,0.04373510208,0.09547621515,0.1936107369,38596,5
0.2,prequential,relation_frequency,0.1528395343,0.0807959374,0.1673800394,0.2996269043,38596,5
0.2,prequential,repeat,0.3640397166,0.2830656027,0.4049020624,0.5135247176,38596,5
0.2,train_only,frequency,0.09251497125,0.04373510208,0.09315473106,0.1831536947,38596,5
0.2,train_only,relation_frequency,0.1414388169,0.07360348223,0.1549020624,0.2771789823,38596,5
0.2,train_only,repeat,0.2824767616,0.214400456,0.3110166857,0.4086641103,38596,5
0.3,prequential,frequency,0.09392642071,0.04373510208,0.09555394341,0.1935848274,38596,5
0.3,prequential,relation_frequency,0.1532173473,0.08123121567,0.1675614053,0.2997616333,38596,5
0.3,prequential,repeat,0.3631357765,0.2826562338,0.4039278682,0.5113794176,38596,5
0.3,train_only,frequency,0.09253943101,0.04373510208,0.09315473106,0.1844543476,38596,5
0.3,train_only,relation_frequency,0.1402561162,0.07219919163,0.1537620479,0.2767851591,38596,5
0.3,train_only,repeat,0.2774462828,0.2100891284,0.3050005182,0.4030521298,38596,5
