seed,deletion_rate,timestamp,window_label,half_life,score_count,span_blocks,unique_timestamp_count,effective_sample_size
17,0,292,count_250,7,250,1,1,250
17,0,292,count_250,14,250,1,1,250
17,0,292,count_250,30,250,1,1,250
17,0,292,count_250,inf,250,1,1,250
17,0,292,count_500,7,500,2,2,499.0935144
17,0,292,count_500,14,500,2,2,499.7675235
17,0,292,count_500,30,500,2,2,499.9487075
17,0,292,count_500,inf,500,2,2,500
17,0,292,count_1000,7,1000,3,3,994.4373427
17,0,292,count_1000,14,1000,3,3,998.5896092
17,0,292,count_1000,30,1000,3,3,999.6909692
17,0,292,count_1000,inf,1000,3,3,1000
17,0,292,count_2000,7,2000,4,4,1976.878238
17,0,292,count_2000,14,2000,4,4,1994.258268
17,0,292,count_2000,30,2000,4,4,1998.757758
17,0,292,count_2000,inf,2000,4,4,2000
17,0,292,all_history,7,11270,22,22,8336.239596
17,0,292,all_history,14,11270,22,22,10293.83353
17,0,292,all_history,30,11270,22,22,11036.59579
17,0,292,all_history,inf,11270,22,22,11270
17,0,293,count_250,7,250,1,1,250
17,0,293,count_250,14,250,1,1,250
17,0,293,count_250,30,250,1,1,250
17,0,293,count_250,inf,250,1,1,250
17,0,293,count_500,7,500,1,1,500
17,0,293,count_500,14,500,1,1,500
17,0,293,count_500,30,500,1,1,500
17,0,293,count_500,inf,500,1,1,500
17,0,293,count_1000,7,1000,2,2,998.1588569
17,0,293,count_1000,14,1000,2,2,999.5280826
17,0,293,count_1000,30,1000,2,2,999.8959103
17,0,293,count_1000,inf,1000,2,2,1000
17,0,293,count_2000,7,2000,4,4,1972.636885
17,0,293,count_2000,14,2000,4,4,1992.979956
17,0,293,count_2000,30,2000,4,4,1998.455955
17,0,293,count_2000,inf,2000,4,4,2000
17,0,293,all_history,7,12000,23,23,8612.008984
17,0,293,all_history,14,12000,23,23,10845.45495
17,0,293,all_history,30,12000,23,23,11721.14985
17,0,293,all_history,inf,12000,23,23,12000
17,0,294,count_250,7,250,1,1,250
17,0,294,count_250,14,250,1,1,250
17,0,294,count_250,30,250,1,1,250
17,0,294,count_250,inf,250,1,1,250
17,0,294,count_500,7,500,1,1,500
17,0,294,count_500,14,500,1,1,500
17,0,294,count_500,30,500,1,1,500
17,0,294,count_500,inf,500,1,1,500
17,0,294,count_1000,7,1000,2,2,997.8689296
17,0,294,count_1000,14,1000,2,2,999.4574161
17,0,294,count_1000,30,1000,2,2,999.8807646
17,0,294,count_1000,inf,1000,2,2,1000
17,0,294,count_2000,7,2000,4,4,1981.757791
17,0,294,count_2000,14,2000,4,4,1995.281036
17,0,294,count_2000,30,2000,4,4,1998.955451
17,0,294,count_2000,inf,2000,4,4,2000
17,0,294,all_history,7,12658,24,24,8882.901933
17,0,294,all_history,14,12658,24,24,11340.67447
17,0,294,all_history,30,12658,24,24,12336.36088
17,0,294,all_history,inf,12658,24,24,12658
17,0,295,count_250,7,250,1,1,250
17,0,295,count_250,14,250,1,1,250
17,0,295,count_250,30,250,1,1,250
17,0,295,count_250,inf,250,1,1,250
17,0,295,count_500,7,500,1,1,500
17,0,295,count_500,14,500,1,1,500
17,0,295,count_500,30,500,1,1,500
17,0,295,count_500,inf,500,1,1,500
17,0,295,count_1000,7,1000,2,2,997.7471314
17,0,295,count_1000,14,1000,2,2,999.4285709
17,0,295,count_1000,30,1000,2,2,999.8746852
17,0,295,count_1000,inf,1000,2,2,1000
17,0,295,count_2000,7,2000,3,3,1986.911496
17,0,295,count_2000,14,2000,3,3,1996.718587
17,0,295,count_2000,30,2000,3,3,1999.285624
17,0,295,count_2000,inf,2000,3,3,2000
17,0,295,all_history,7,13276,25,25,9134.835815
17,0,295,all_history,14,13276,25,25,11799.23607
17,0,295,all_history,30,13276,25,25,12911.65745
17,0,295,all_history,inf,13276,25,25,13276
17,0,296,count_250,7,250,1,1,250
17,0,296,count_250,14,250,1,1,250
17,0,296,count_250,30,250,1,1,250
17,0,296,count_250,inf,250,1,1,250
17,0,296,count_500,7,500,1,1,500
17,0,296,count_500,14,500,1,1,500
17,0,296,count_500,30,500,1,1,500
17,0,296,count_500,inf,500,1,1,500
17,0,296,count_1000,7,1000,2,2,997.8966966
17,0,296,count_1000,14,1000,2,2,999.4640834
17,0,296,count_1000,30,1000,2,2,999.8821812
17,0,296,count_1000,inf,1000,2,2,1000
17,0,296,count_2000,7,2000,4,4,1985.132998
17,0,296,count_2000,14,2000,4,4,1996.233422
17,0,296,count_2000,30,2000,4,4,1999.175393
17,0,296,count_2000,inf,2000,4,4,2000
17,0,296,all_history,7,13942,26,26,9401.479775
17,0,296,all_history,14,13942,26,26,12285.96707
17,0,296,all_history,30,13942,26,26,13528.80489
17,0,296,all_history,inf,13942,26,26,13942
17,0,297,count_250,7,250,1,1,250
17,0,297,count_250,14,250,1,1,250
17,0,297,count_250,30,250,1,1,250
17,0,297,count_250,inf,250,1,1,250
17,0,297,count_500,7,500,1,1,500
17,0,297,count_500,14,500,1,1,500
17,0,297,count_500,30,500,1,1,500
17,0,297,count_500,inf,500,1,1,500
17,0,297,count_1000,7,1000,2,2,997.5688624
17,0,297,count_1000,14,1000,2,2,999.3893961
17,0,297,count_1000,30,1000,2,2,999.8668056
17,0,297,count_1000,inf,1000,2,2,1000
17,0,297,count_2000,7,2000,4,4,1982.732541
17,0,297,count_2000,14,2000,4,4,1995.615806
17,0,297,count_2000,30,2000,4,4,1999.039125
17,0,297,count_2000,inf,2000,4,4,2000
17,0,297,all_history,7,14458,27,27,9591.539726
17,0,297,all_history,14,14458,27,27,12654.03475
17,0,297,all_history,30,14458,27,27,14004.14111
17,0,297,all_history,inf,14458,27,27,14458
17,0,298,count_250,7,250,1,1,250
17,0,298,count_250,14,250,1,1,250
17,0,298,count_250,30,250,1,1,250
17,0,298,count_250,inf,250,1,1,250
17,0,298,count_500,7,500,2,2,498.833142
17,0,298,count_500,14,500,2,2,499.7049924
17,0,298,count_500,30,500,2,2,499.9354188
17,0,298,count_500,inf,500,2,2,500
17,0,298,count_1000,7,1000,3,3,995.4159374
