window_label,half_life,timestamp_rows,score_count_mean,score_count_median,span_blocks_mean,span_blocks_median,span_blocks_min,span_blocks_max,unique_timestamp_count_median,neff_mean,neff_median
all_history,14,1460,31419.61644,32034,58,58,22,94,58,18643.58685,20343.82044
all_history,30,1460,31419.61644,32034,58,58,22,94,58,26572.94027,28057.19091
all_history,7,1460,31419.61644,32034,58,58,22,94,58,10732.48357,10902.0563
all_history,inf,1460,31419.61644,32034,58,58,22,94,58,31419.61644,32034
count_1000,14,1460,1000,1000,2.424657534,2,2,4,2,999.1347226,999.4008908
count_1000,30,1460,1000,1000,2.424657534,2,2,4,2,999.8105893,999.8689974
count_1000,7,1460,1000,1000,2.424657534,2,2,4,2,996.5796519,997.6122047
count_1000,inf,1460,1000,1000,2.424657534,2,2,4,2,1000,1000
count_2000,14,1460,2000,2000,4.287671233,4,3,6,4,1993.827858,1994.799041
count_2000,30,1460,2000,2000,4.287671233,4,3,6,4,1998.648101,1998.859714
count_2000,7,1460,2000,2000,4.287671233,4,3,6,4,1975.735877,1979.222959
count_2000,inf,1460,2000,2000,4.287671233,4,3,6,4,2000,2000
count_250,14,1460,250,250,1.068493151,1,1,2,1,249.9978602,250
count_250,30,1460,250,250,1.068493151,1,1,2,1,249.9995234,250
count_250,7,1460,250,250,1.068493151,1,1,2,1,249.9917956,250
count_250,inf,1460,250,250,1.068493151,1,1,2,1,250,250
count_500,14,1460,500,500,1.397260274,1,1,3,1,499.9092411,500
count_500,30,1460,500,500,1.397260274,1,1,3,1,499.9800706,500
count_500,7,1460,500,500,1.397260274,1,1,3,1,499.6429693,500
count_500,inf,1460,500,500,1.397260274,1,1,3,1,500,500
