seed,deletion_rate,method,query_count,label_count,multi_answer_query_count,multi_answer_query_fraction,mean_answer_count,max_answer_count,full_set_coverage,partial_answer_recall,label_weighted_partial_recall,mean_size,median_size,p90_size,singleton_rate,multi_answer_full_set_coverage,multi_answer_partial_recall,multi_answer_mean_answer_count,full_vocabulary_set_rate,normalized_mean_size,normalized_p90_size
17,0,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8278471323,0.8478496139,0.825759146,2821.68237,479,7128,0.03706866094,0.5033439953,0.7008910398,2.34690317,0.2212048051,0.3958589183,1
17,0,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.8996584619,0.9156427651,0.898745984,3904.856937,5692,7128,0.01316099399,0.6490258796,0.8068888843,2.34690317,0.3326757743,0.5478194356,1
17,0,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.8990107172,0.9151159468,0.8980723391,3888.393564,5604,7128,0.01345542339,0.6461180576,0.8051753463,2.34690317,0.3307619833,0.5455097592,1
17,0,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.8992168178,0.9152869962,0.8983314333,3894.161553,5640.5,7128,0.01333765163,0.6472811864,0.8059923058,2.34690317,0.3311447415,0.5463189609,1
17,0,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2262101048,0.2421586559,0.2302052026,1,1,1,1,0,0.157509912,2.34690317,0,0.000140291807,0.000140291807
17,0.1,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8204863974,0.8412123574,0.8197481604,2750.216612,405.5,7128,0.03541985632,0.491421925,0.6961141343,2.34690317,0.2111058768,0.385832858,1
17,0.1,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.898156872,0.9142058445,0.8979168826,3908.997085,5673.5,7128,0.01304322224,0.648153533,0.80665522,2.34690317,0.3244906371,0.5484002645,1
17,0.1,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.8973913556,0.9135168797,0.8971914188,3892.623601,5592.5,7128,0.01333765163,0.6464088398,0.8056665605,2.34690317,0.3226651749,0.5461031989,1
17,0.1,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.8973913556,0.9135168797,0.8971914188,3892.686344,5595,7128,0.01333765163,0.6464088398,0.8056665605,2.34690317,0.3226651749,0.5461120012,1
17,0.1,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2224708515,0.238413584,0.227147891,1,1,1,1,0,0.1574524479,2.34690317,0,0.000140291807,0.000140291807
17,0.2,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8219879873,0.8416989955,0.8194631568,2820.668531,461.5,7128,0.0351843128,0.4975283513,0.6921967672,2.34690317,0.2199976446,0.3957166851,1
17,0.2,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.9001295489,0.9157427893,0.8987978029,3997.587151,6091,7128,0.01360263809,0.6536783949,0.807876736,2.34690317,0.3375927453,0.5608287249,1
17,0.2,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.899099046,0.914807976,0.8978132449,3980.782799,6019,7128,0.01377929572,0.6513521372,0.8064955206,2.34690317,0.3355317395,0.558471212,1
17,0.2,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.8992168178,0.9149110262,0.8979687014,3984.377311,6047.5,7128,0.01380873866,0.6519337017,0.8069316939,2.34690317,0.3361205983,0.5589754926,1
17,0.2,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2215875633,0.2379090582,0.2269406156,1,1,1,1,0,0.1611931532,2.34690317,0,0.000140291807,0.000140291807
17,0.3,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8261099988,0.8455349198,0.8222872837,2964.537275,620,7128,0.03453656813,0.4989822623,0.6908252445,2.34690317,0.2389294547,0.4159002911,1
17,0.3,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.9023966553,0.9181652099,0.9000155457,4169.369067,6653.5,7128,0.01033447179,0.6472811864,0.8030134308,2.34690317,0.3693027912,0.5849283203,1
17,0.3,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.9009539512,0.916770596,0.8985905275,4149.881669,6607.5,7128,0.01074667295,0.645245711,0.8014528997,2.34690317,0.3665645978,0.582194398,1
17,0.3,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.9010422801,0.9168245747,0.8986682558,4151.087946,6610,7128,0.01074667295,0.6458272754,0.8016952182,2.34690317,0.3667118125,0.5823636288,1
17,0.3,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2195560005,0.2357042728,0.2247642243,1,1,1,1,0,0.1594823846,2.34690317,0,0.000140291807,0.000140291807
29,0,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8281710046,0.8468992028,0.8242563996,2866.950124,520.5,7128,0.03951242492,0.5082872928,0.6932493527,2.34690317,0.2302732305,0.4022096133,1
