deletion_rate,method,seed_count,query_count_mean,query_count_sd,label_count_mean,label_count_sd,multi_answer_query_fraction_mean,multi_answer_query_fraction_sd,mean_answer_count_mean,mean_answer_count_sd,max_answer_count_mean,max_answer_count_sd,full_set_coverage_mean,full_set_coverage_sd,partial_answer_recall_mean,partial_answer_recall_sd,label_weighted_partial_recall_mean,label_weighted_partial_recall_sd,multi_answer_full_set_coverage_mean,multi_answer_full_set_coverage_sd,multi_answer_partial_recall_mean,multi_answer_partial_recall_sd,mean_size_mean,mean_size_sd,median_size_mean,median_size_sd,p90_size_mean,p90_size_sd,singleton_rate_mean,singleton_rate_sd,full_vocabulary_set_rate_mean,full_vocabulary_set_rate_sd,normalized_mean_size_mean,normalized_mean_size_sd,normalized_p90_size_mean,normalized_p90_size_sd
0,static,5,33964,0,38596,0,0.1012542692,0,1.136379696,0,17,0,0.8178129784,0.01305892123,0.8376367502,0.01269393395,0.818203959,0.00823835245,0.5050305321,0.009505954449,0.7008126154,0.01144148723,2633.809245,254.7256356,372.5,135.0564697,7128,0,0.03566128842,0.006292576844,0.2009303969,0.02767408912,0.3695018582,0.0357359197,1,0
0,rolling,5,33964,0,38596,0,0.1012542692,0,1.136379696,0,17,0,0.8978212225,0.003647159094,0.9134439061,0.003740349152,0.8986423464,0.0005614039973,0.6592614132,0.01387156077,0.8135530178,0.01183580808,3758.959728,190.9824908,4557.6,1575.537345,7128,0,0.01332587446,0.002648441105,0.300170769,0.04183572348,0.5273512525,0.02679327873,1,0
0,weighted,5,33964,0,38596,0,0.1012542692,0,1.136379696,0,17,0,0.8969026028,0.003943079111,0.9125954027,0.004042293386,0.8977251529,0.0008531638221,0.6571677813,0.0135346544,0.812151863,0.0115585105,3741.077559,194.8054112,4475,1578.058617,7128,0,0.01353197503,0.00269274959,0.2984689671,0.04187132498,0.5248425307,0.02732960314,1,0
0,adaptive,5,33964,0,38596,0,0.1012542692,0,1.136379696,0,17,0,0.8970969262,0.003815616403,0.9127696628,0.003923899092,0.8979272463,0.0007539596896,0.6577493457,0.01364509242,0.8125352801,0.01148030292,3745.077812,193.9993591,4492.3,1580.54281,7128,0,0.01346720057,0.002678385229,0.2987869509,0.04184429082,0.5254037334,0.02721652064,1,0
0,top1,5,33964,0,38596,0,0.1012542692,0,1.136379696,0,17,0,0.223507243,0.002628959399,0.239442755,0.002677624454,0.2277852627,0.002427036544,0,0,0.157381137,0.001689937141,1,0,1,0,1,0,1,0,0,0,0.000140291807,0,0.000140291807,0
0.1,static,5,33964,0,38596,0,0.1012542692,0,1.136379696,0,17,0,0.8204687316,0.00405643148,0.8405402925,0.003480338154,0.8197637061,0.002025960968,0.5004361733,0.007364888131,0.6986654536,0.006255088881,2701.212348,105.7768876,383.6,64.14573252,7128,0,0.0346013426,0.00150005926,0.2061064657,0.01167668528,0.3789579613,0.0148396307,1,0
0.1,rolling,5,33964,0,38596,0,0.1012542692,0,1.136379696,0,17,0,0.898056766,0.002284305378,0.9139248523,0.002011206885,0.898388434,0.0005756907692,0.6533876127,0.005738806152,0.8101028449,0.005022123627,3810.925804,124.6505121,5048.9,780.770725,7128,0,0.01140030621,0.00152015126,0.3084442351,0.01825933518,0.5346416672,0.01748744558,1,0
0.1,weighted,5,33964,0,38596,0,0.1012542692,0,1.136379696,0,17,0,0.8969497115,0.002326830641,0.9129073043,0.00204082419,0.8972846927,0.000542738977,0.6508868857,0.005461753711,0.8084860958,0.004691289507,3792.060611,125.6995651,4924.9,819.6980694,7128,0,0.01173595572,0.001501099123,0.3065245554,0.01822299622,0.5319950352,0.01763461912,1,0
0.1,adaptive,5,33964,0,38596,0,0.1012542692,0,1.136379696,0,17,0,0.8969909316,0.002350147905,0.9129445987,0.002057513599,0.8973261478,0.0005683560818,0.6510031986,0.005579685445,0.8085636377,0.004718780037,3792.458468,125.7334322,4928.5,820.3526681,7128,0,0.01171828995,0.001519095906,0.3065716641,0.01824743372,0.5320508513,0.01763937039,1,0
0.1,top1,5,33964,0,38596,0,0.1012542692,0,1.136379696,0,17,0,0.2226769521,0.002484049007,0.2386091553,0.002803392168,0.2271375272,0.002747473865,0,0,0.1573484586,0.003227063482,1,0,1,0,1,0,1,0,0,0,0.000140291807,0,0.000140291807,0
