seed,deletion_rate,method,prediction_side,base_relation_id,relation_label,label_count,query_count,label_coverage,mean_size,median_size,p90_size,mrr,top1_accuracy,unique_query_count,positive_undercoverage,full_vocabulary_set_rate,normalized_mean_size,query_full_set_coverage,query_partial_answer_recall,multi_answer_query_fraction,max_answer_count
17,0,static,object,0,0,3188,3188,0.851944793,2589.023212,322.5,7128,0.3639507998,0.2870138018,2893,0.04805520703,0.1750313676,0.3632187447,0.8458347736,0.8631178707,0.0891807812,5
17,0,static,object,1,1,2206,2206,0.7701722575,2636.795104,417.5,7128,0.202893639,0.1223934723,1816,0.1298277425,0.1894832276,0.3699207498,0.7588105727,0.7920888399,0.1613436123,5
17,0,static,object,2,10,513,513,0.8226120858,2291.333333,28,7128,0.5107785171,0.4230019493,479,0.07738791423,0.2261208577,0.3214552937,0.8141962422,0.8302018093,0.06680584551,3
17,0,static,object,3,100,4,4,1,7127.25,7128,7128,0.5005590315,0.5,4,0,0.75,0.9998947811,1,1,0,1
17,0,static,object,4,101,10,10,1,7128,7128,7128,0.7500281235,0.7,10,0,1,1,1,1,0,1
17,0,static,object,5,102,10,10,1,7112.8,7128,7128,0.5511322292,0.3,9,0,0.9,0.9978675645,1,1,0.1111111111,2
17,0,static,object,6,103,10,10,1,5187.9,6897,7128,0.2974669994,0.1,8,0,0.5,0.7278198653,1,1,0.25,2
17,0,static,object,7,104,4,4,1,6655,7128,7128,0.2962775529,0.25,4,0,0.75,0.9336419753,1,1,0,1
17,0,static,object,8,105,7,7,1,6325,7128,7128,0.6075963719,0.5714285714,7,0,0.5714285714,0.887345679,1,1,0,1
17,0,static,object,9,106,3,3,1,7099,7128,7128,0.5,0,3,0,0.6666666667,0.9959315376,1,1,0,1
17,0,static,object,10,107,3,3,1,4980.666667,7108,7124,1,1,3,0,0.3333333333,0.6987467265,1,1,0,1
17,0,static,object,11,108,5,5,1,7128,7128,7128,0.3184313725,0,5,0,1,1,1,1,0,1
17,0,static,object,12,109,15,15,0.9333333333,4153.733333,6593,7128,0.07245344434,0,15,0,0.4666666667,0.582734755,0.9333333333,0.9333333333,0,1
17,0,static,object,13,11,425,425,0.8776470588,1765.863529,64,7128,0.5475706293,0.4329411765,386,0.02235294118,0.1082352941,0.2477361854,0.8704663212,0.8922711572,0.08549222798,4
17,0,static,object,14,110,11,11,1,7128,7128,7128,0.1516967927,0.09090909091,10,0,1,1,1,1,0.1,2
17,0,static,object,15,111,8,8,0.875,4446,6403,7128,0.397962786,0.375,8,0.025,0.25,0.6237373737,0.875,0.875,0,1
17,0,static,object,16,112,6,6,1,5952.333333,7128,7128,0.250543064,0.1666666667,6,0,0.8333333333,0.835063599,1,1,0,1
17,0,static,object,17,113,4,4,1,7128,7128,7128,0.5104355401,0.5,4,0,1,1,1,1,0,1
17,0,static,object,18,114,2,2,1,7128,7128,7128,0.25,0,2,0,1,1,1,1,0,1
17,0,static,object,19,115,3,3,1,7127.666667,7128,7128,1,1,3,0,0.6666666667,0.9999532361,1,1,0,1
17,0,static,object,20,116,6,6,1,7090.166667,7128,7128,0.6669188372,0.6666666667,6,0,0.8333333333,0.9946922933,1,1,0,1
17,0,static,object,21,117,2,2,1,7124,7124,7127.2,1,1,2,0,0.5,0.9994388328,1,1,0,1
17,0,static,object,22,118,2,2,1,7128,7128,7128,0.08349944629,0,2,0,1,1,1,1,0,1
17,0,static,object,23,119,6,6,1,7058.5,7128,7128,0.3951447246,0.1666666667,6,0,0.6666666667,0.9902497194,1,1,0,1
17,0,static,object,24,12,378,378,0.8333333333,2453.534392,187,7128,0.2516035297,0.1481481481,343,0.06666666667,0.1798941799,0.3442107732,0.8221574344,0.8386783285,0.09037900875,3
17,0,static,object,25,120,1,1,1,7128,7128,7128,1,1,1,0,1,1,1,1,0,1
17,0,static,object,26,121,4,4,1,6329.75,7128,7128,0.7500362109,0.75,4,0,0.75,0.8880120651,1,1,0,1
17,0,static,object,27,122,8,8,1,7128,7128,7128,0.1835193358,0.125,6,0,1,1,1,1,0.1666666667,3
17,0,static,object,28,123,3,3,1,7128,7128,7128,0.4722222222,0.3333333333,3,0,1,1,1,1,0,1
17,0,static,object,29,124,1,1,1,7128,7128,7128,0.07692307692,0,1,0,1,1,1,1,0,1
17,0,static,object,30,125,3,3,1,6850.333333,7128,7128,0.5666666667,0.3333333333,3,0,0.6666666667,0.9610456416,1,1,0,1
17,0,static,object,31,126,4,4,1,7119.5,7128,7128,0.006327157327,0,3,0,0.75,0.9988075196,1,1,0.3333333333,2
17,0,static,object,32,127,7,7,1,7128,7128,7128,0.0404939792,0,7,0,1,1,1,1,0,1
17,0,static,object,33,128,2,2,1,7128,7128,7128,0.625,0.5,2,0,1,1,1,1,0,1
17,0,static,object,34,129,5,5,1,7128,7128,7128,0.7000370439,0.6,5,0,1,1,1,1,0,1
17,0,static,object,35,13,379,379,0.907651715,1912.897098,146,7128,0.4125572324,0.2664907652,350,0,0.1451187335,0.2683637904,0.9114285714,0.9166666667,0.07142857143,4
17,0,static,object,37,131,8,8,1,7128,7128,7128,0.0006138853131,0,8,0,1,1,1,1,0,1
17,0,static,object,38,132,2,2,1,7128,7128,7128,0.0156402737,0,2,0,1,1,1,1,0,1
17,0,static,object,39,133,3,3,1,7128,7128,7128,0.537037037,0.3333333333,3,0,1,1,1,1,0,1
17,0,static,object,40,134,5,5,1,7128,7128,7128,1,1,5,0,1,1,1,1,0,1
17,0,static,object,41,135,3,3,1,7128,7128,7128,0.3343166175,0,3,0,1,1,1,1,0,1
17,0,static,object,42,136,2,2,1,7128,7128,7128,0.2501001603,0,2,0,1,1,1,1,0,1
17,0,static,object,43,137,3,3,1,7128,7128,7128,0.1124636078,0,3,0,1,1,1,1,0,1
17,0,static,object,44,138,1,1,1,7128,7128,7128,0.0001586294416,0,1,0,1,1,1,1,0,1
17,0,static,object,45,139,4,4,1,7127.75,7128,7128,0.7083333333,0.5,4,0,0.75,0.999964927,1,1,0,1
