deletion_rate,method,prediction_side,base_relation_id,relation_label,seed_count,label_count_total,label_count_mean,unique_query_count_total,label_coverage_mean,label_coverage_sd,positive_undercoverage_mean,positive_undercoverage_sd,mean_size_mean,mean_size_sd,median_size_mean,median_size_sd,p90_size_mean,p90_size_sd,mrr_mean,mrr_sd,top1_accuracy_mean,top1_accuracy_sd,full_vocabulary_set_rate_mean,full_vocabulary_set_rate_sd,normalized_mean_size_mean,normalized_mean_size_sd,query_full_set_coverage_mean,query_full_set_coverage_sd,query_partial_answer_recall_mean,query_partial_answer_recall_sd,multi_answer_query_fraction_mean,multi_answer_query_fraction_sd,max_answer_count_mean,max_answer_count_sd
0,static,object,0,0,5,15940,3188,14465,0.836825596,0.01722851117,0.06317440402,0.01722851117,2274.387578,388.5755512,211.3,87.5182838,7128,0,0.365568536,0.003262637456,0.2883312422,0.003700848483,0.1552697616,0.0252854997,0.3190779431,0.05451396622,0.8307639129,0.01830475002,0.8491646503,0.01797120415,0.0891807812,0,5,0
0,static,object,1,1,5,11030,2206,9080,0.7507706256,0.0289113885,0.1492293744,0.0289113885,2417.849592,332.2656993,347.5,160.2338135,7128,0,0.2004721606,0.003984329395,0.1192203083,0.004786652784,0.1695376247,0.0315302507,0.3392044882,0.04661415535,0.7368942731,0.0321309511,0.7700550661,0.03287740172,0.1613436123,0,5,0
0,static,object,2,10,5,2565,513,2395,0.8237816764,0.003799919823,0.07621832359,0.003799919823,2138.895517,216.8986432,30.2,3.1144823,7128,0,0.5090452911,0.002121620275,0.420662768,0.003749587536,0.2019493177,0.0368467462,0.3000695169,0.03042910258,0.8158663883,0.0040157378,0.8300626305,0.00352784742,0.06680584551,0,3,0
0,static,object,3,100,5,20,4,20,1,0,0,0,6590.25,655.8623141,7128,0,7128,0,0.4308722632,0.06589716589,0.35,0.1369306394,0.75,0,0.9245580808,0.09201210916,1,0,1,0,0,0,1,0
0,static,object,4,101,5,50,10,50,1,0,0,0,7128,0,7128,0,7128,0,0.6211297273,0.1296654749,0.52,0.2387467277,1,0,1,0,1,0,1,0,0,0,1,0
0,static,object,5,102,5,50,10,45,1,0,0,0,7113.16,14.11534626,7126.4,2.302172887,7128,0,0.6328836475,0.1064979214,0.44,0.2073644135,0.62,0.31144823,0.9979180696,0.001980267432,1,0,1,0,0.1111111111,1.551583846e-17,2,0
0,static,object,6,103,5,50,10,40,1,0,0,0,5061,848.5788414,6404.8,1105.943409,7128,0,0.2672715227,0.03484614829,0.08,0.04472135955,0.5,0,0.710016835,0.119048659,1,0,1,0,0.25,0,2,0
0,static,object,7,104,5,20,4,20,1,0,0,0,6216.25,682.081236,7127.9,0.2236067977,7128,0,0.222052882,0.08146917865,0.1,0.1369306394,0.7,0.1118033989,0.872088945,0.09569040909,1,0,1,0,0,0,1,0
0,static,object,8,105,5,35,7,35,1,0,0,0,6028.314286,290.9312353,7128,0,7128,0,0.6173029896,0.01273372045,0.5714285714,0,0.5714285714,0,0.8457231041,0.0408152687,1,0,1,0,0,0,1,0
0,static,object,9,106,5,15,3,15,1,0,0,0,7118.933333,11.34411252,7127.8,0.4472135955,7127.8,0.4472135955,0.5944444444,0.1614937984,0.3333333333,0.2357022604,0.5333333333,0.298142397,0.998728021,0.001591486044,1,0,1,0,0,0,1,0
0,static,object,10,107,5,15,3,15,1,0,0,0,4613.733333,426.2934175,6394.6,1102.471224,6981.16,220.8180427,1,0,1,0,0.2666666667,0.1490711985,0.6472689862,0.05980547383,1,0,1,0,0,0,1,0
0,static,object,11,108,5,25,5,25,1,0,0,0,7128,0,7128,0,7128,0,0.306130719,0.05231064442,0.04,0.0894427191,1,0,1,0,1,0,1,0,0,0,1,0
0,static,object,12,109,5,75,15,75,0.76,0.2139574205,0.1533333333,0.2008316044,3637.72,376.539189,2838.4,2991.907385,7128,0,0.08061240932,0.02236344638,0.02666666667,0.03651483717,0.44,0.03651483717,0.510342312,0.05282536322,0.76,0.2139574205,0.76,0.2139574205,0,0,1,0
0,static,object,13,11,5,2125,425,1930,0.8677647059,0.01936000229,0.03223529412,0.01936000229,1539.252235,179.6655246,50.6,20.21880313,7117.08,23.97148306,0.5459243583,0.01622299723,0.4263529412,0.02240859944,0.1007058824,0.02216015939,0.2159444775,0.0252056011,0.8595854922,0.0213160647,0.8824265976,0.01665402171,0.08549222798,0,4,0
0,static,object,14,110,5,55,11,50,1,0,0,0,7128,0,7128,0,7128,0,0.1865879747,0.03736137581,0.09090909091,0,1,0,1,0,1,0,1,0,0.1,0,2,0
0,static,object,15,111,5,40,8,40,0.95,0.06846531969,0.01,0.01369306394,4504.05,242.1428201,6184.1,454.6045534,7128,0,0.4014987644,0.003864347168,0.375,0,0.25,0,0.6318813131,0.03397065377,0.95,0.06846531969,0.95,0.06846531969,0,0,1,0
0,static,object,16,112,5,30,6,30,1,0,0,0,5961.933333,7.8267703,7128,0,7128,0,0.2131138141,0.0608368985,0.1333333333,0.07453559925,0.8333333333,0,0.8364104003,0.001098031748,1,0,1,0,0,0,1,0
0,static,object,17,113,5,20,4,20,1,0,0,0,7125.55,3.048565236,7128,0,7128,0,0.5132548444,0.002969639578,0.5,0,0.85,0.1369306394,0.9996562851,0.0004276887256,1,0,1,0,0,0,1,0
0,static,object,18,114,5,10,2,10,1,0,0,0,7128,0,7128,0,7128,0,0.3820512821,0.3578450643,0.2,0.4472135955,1,0,1,0,1,0,1,0,0,0,1,0
0,static,object,19,115,5,15,3,15,1,0,0,0,7127,1.224744871,7128,0,7128,0,0.9333333333,0.09128709292,0.8666666667,0.1825741858,0.7333333333,0.1490711985,0.9998597082,0.0001718216711,1,0,1,0,0,0,1,0
0,static,object,20,116,5,30,6,30,1,0,0,0,6955.6,177.8757213,7128,0,7128,0,0.5318735632,0.09023732367,0.4666666667,0.1394433378,0.8333333333,0,0.9758136925,0.02495450635,1,0,1,0,0,0,1,0
0,static,object,21,117,5,10,2,10,1,0,0,0,7126,1.695582496,7126,1.695582496,7127.28,0.4324349662,1,0,1,0,0.4,0.4183300133,0.9997194164,0.0002378763322,1,0,1,0,0,0,1,0
0,static,object,22,118,5,10,2,10,1,0,0,0,7086.4,93.02042786,7086.4,93.02042786,7119.68,18.60408557,0.05513668347,0.02504948519,0,0,0.9,0.2236067977,0.9941638608,0.01305000391,1,0,1,0,0,0,1,0
0,static,object,23,119,5,30,6,30,1,0,0,0,7023.166667,189.0967933,7128,0,7128,0,0.4154235692,0.03853074271,0.1666666667,0,0.6666666667,0,0.9852927422,0.02652873082,1,0,1,0,0,0,1,0
0,static,object,24,12,5,1890,378,1715,0.8206349206,0.03215129334,0.07936507937,0.03215129334,2338.131746,135.2176794,180.1,47.37932038,7128,0,0.2530499604,0.004965486659,0.146031746,0.005421667072,0.171957672,0.02124653228,0.3280207276,0.01896993257,0.8104956268,0.03486373394,0.8250728863,0.03131378714,0.09037900875,0,3,0
0,static,object,25,120,5,5,1,5,1,0,0,0,7128,0,7128,0,7128,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,static,object,26,121,5,20,4,20,1,0,0,0,6596.85,173.707063,7128,0,7128,0,0.7000360137,0.1118034918,0.65,0.2236067977,0.75,0,0.9254840067,0.02436967776,1,0,1,0,0,0,1,0
0,static,object,27,122,5,40,8,30,1,0,0,0,7128,0,7128,0,7128,0,0.1849311894,0.02636712978,0.125,0,1,0,1,0,1,0,1,0,0.1666666667,0,3,0
0,static,object,28,123,5,15,3,15,1,0,0,0,7128,0,7128,0,7128,0,0.4981214204,0.09437275035,0.3333333333,0,1,0,1,0,1,0,1,0,0,0,1,0
0,static,object,29,124,5,5,1,5,1,0,0,0,7128,0,7128,0,7128,0,0.1732417582,0.1944701418,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,static,object,30,125,5,15,3,15,1,0,0,0,7025.2,118.3292488,7126.2,3.492849839,7127.64,0.6985699679,0.4055555556,0.1526514629,0.1333333333,0.1825741858,0.6,0.2788866755,0.9855780022,0.01660062412,1,0,1,0,0,0,1,0
0,static,object,31,126,5,20,4,15,1,0,0,0,7125.9,3.681032464,7128,0,7128,0,0.005084286398,0.0009881386132,0,0,0.9,0.1369306394,0.9997053872,0.0005164186958,1,0,1,0,0.3333333333,0,2,0
0,static,object,32,127,5,35,7,35,1,0,0,0,7128,0,7128,0,7128,0,0.1228417324,0.08359621177,0.05714285714,0.07824607964,1,0,1,0,1,0,1,0,0,0,1,0
0,static,object,33,128,5,10,2,10,1,0,0,0,7128,0,7128,0,7128,0,0.2960164835,0.2626253487,0.2,0.2738612788,1,0,1,0,1,0,1,0,0,0,1,0
0,static,object,34,129,5,25,5,25,1,0,0,0,7127.76,0.5366563146,7128,0,7128,0,0.7000438586,1.367923915e-05,0.6,0,0.96,0.0894427191,0.99996633,7.528848409e-05,1,0,1,0,0,0,1,0
0,static,object,35,13,5,1895,379,1750,0.9113456464,0.01032063705,5.277044855e-05,0.0001179983102,1857.225858,136.9288966,129.2,26.93881957,7128,0,0.4184557782,0.006591910437,0.2828496042,0.0215488306,0.1350923483,0.01783687998,0.2605535715,0.01921000233,0.9148571429,0.01167589528,0.9188095238,0.009837108695,0.07142857143,0,4,0
0,static,object,37,131,5,40,8,40,1,0,0,0,7128,0,7128,0,7128,0,0.004954231418,0.004358267906,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,static,object,38,132,5,10,2,10,1,0,0,0,7128,0,7128,0,7128,0,0.04835432456,0.06735590559,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,static,object,39,133,5,15,3,15,1,0,0,0,7128,0,7128,0,7128,0,0.5324867725,0.0205894221,0.3333333333,0,1,0,1,0,1,0,1,0,0,0,1,0
0,static,object,40,134,5,25,5,25,1,0,0,0,7127.48,1.162755348,7128,0,7128,0,0.9533333333,0.06497862897,0.92,0.1095445115,0.96,0.0894427191,0.9999270483,0.0001631250489,1,0,1,0,0,0,1,0
0,static,object,41,135,5,15,3,15,1,0,0,0,7128,0,7128,0,7128,0,0.2754148258,0.2458283911,0.1333333333,0.298142397,1,0,1,0,1,0,1,0,0,0,1,0
0,static,object,42,136,5,10,2,10,1,0,0,0,7128,0,7128,0,7128,0,0.216743899,0.04564851333,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,static,object,43,137,5,15,3,15,1,0,0,0,7128,0,7128,0,7128,0,0.1621706965,0.1053597059,0.06666666667,0.1490711985,1,0,1,0,1,0,1,0,0,0,1,0
