label,training_seconds,calibration_seconds,inference_seconds,epochs_trained,peak_cuda_gb,spread_min_row_std,spread_median_row_std,spread_max_row_std,selected_half_life,adaptive_fit_samples
seed17_delete0p00,220.46698467433453,15.877070106565952,45.84865027666092,115,1.0517277717590332,0.05964907258749008,1.2274432182312012,3.1163759231567383,inf,21
seed17_delete0p10,209.87818101793528,12.760490916669369,44.743870712816715,120,1.0517277717590332,0.029751548543572426,1.1868722438812256,2.9951508045196533,inf,21
seed17_delete0p20,195.41973405331373,13.190553523600101,45.98082669079304,120,1.0517277717590332,0.04013404622673988,1.1911088228225708,2.938810110092163,inf,21
seed17_delete0p30,184.12495375424623,12.255100160837173,44.64331442862749,120,1.0517277717590332,0.04988919571042061,1.1803498268127441,2.9169273376464844,inf,21
seed29_delete0p00,211.40126287937164,12.055016160011292,45.17031865566969,115,1.0517277717590332,0.06110253930091858,1.2588064670562744,3.0515146255493164,inf,21
seed29_delete0p10,209.59863948076963,13.144255757331848,45.22809302061796,120,1.0517277717590332,0.02856794372200966,1.2006640434265137,2.9836621284484863,inf,21
seed29_delete0p20,189.28955099731684,12.667916804552078,45.48186846077442,115,1.0517277717590332,0.08794406056404114,1.1966569423675537,2.888993501663208,inf,21
seed29_delete0p30,167.57286222279072,12.652257286012173,45.095352709293365,110,1.0517277717590332,0.11192655563354492,1.1049001216888428,2.7583844661712646,inf,21
seed43_delete0p00,246.56188189983368,13.098313495516777,45.903773322701454,135,1.0517277717590332,0.00598300714045763,1.0898406505584717,2.8974812030792236,inf,21
seed43_delete0p10,208.3519508317113,12.051942944526672,45.4968244433403,120,1.0517277717590332,0.02836853824555874,1.1932165622711182,2.985548973083496,inf,21
seed43_delete0p20,202.75779419392347,12.463371954858303,46.424936413764954,125,1.0517277717590332,0.01671886444091797,1.135238766670227,2.831915855407715,inf,21
seed43_delete0p30,175.10907413065434,12.792493917047977,44.299586698412895,115,1.0517277717590332,0.09483538568019867,1.1562668085098267,2.7659752368927,inf,21
seed59_delete0p00,219.83909130841494,12.546053804457188,46.022845797240734,120,1.0517277717590332,0.021256696432828903,1.2045812606811523,3.077087879180908,inf,21
seed59_delete0p10,218.06382132321596,16.46082128584385,46.505017302930355,125,1.0517277717590332,0.011044595390558243,1.1661698818206787,2.9861669540405273,inf,21
seed59_delete0p20,203.41850105673075,12.921123377978802,46.84079260379076,125,1.0517277717590332,0.01805906929075718,1.1503198146820068,2.9087767601013184,inf,21
seed59_delete0p30,182.06856267899275,12.712036706507206,46.15738293528557,120,1.0517277717590332,0.050944238901138306,1.1675770282745361,2.945955753326416,inf,21
seed71_delete0p00,219.28450246155262,12.497976429760456,45.826444551348686,120,1.0517277717590332,0.020163893699645996,1.2043020725250244,3.152494430541992,inf,21
seed71_delete0p10,210.5815388634801,13.183091714978218,44.45772163569927,120,1.0517277717590332,0.026319563388824463,1.1994895935058594,3.2132582664489746,inf,21
seed71_delete0p20,205.26126993447542,12.91509073972702,43.68927250057459,125,1.0517277717590332,0.013274594210088253,1.1274815797805786,3.1376333236694336,inf,21
seed71_delete0p30,192.0508984103799,12.746791362762451,44.742116287350655,125,1.0517277717590332,0.020631397143006325,1.140852928161621,2.9948346614837646,inf,21
