target_coverage,selection_tolerance,seed,deletion_rate,method,timestamp_count,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,macro_time_full_set_coverage,partial_answer_recall,positive_label_undercoverage,positive_full_set_undercoverage,fraction_timestamps_label_below_target,fraction_timestamps_full_set_below_target,mean_size,median_size,p90_size,full_vocabulary_set_rate,pool_score_count_mean,pool_span_blocks_mean
0.88,0,17,0,margin_rolling,73,38596,33964,0.8783811794,0.8798139206,0.8802295093,0.8975646015,0.008691974555,0.007851397003,0.5205479452,0.4657534247,3536.555706,3356.705394,7128,0.2913084442,1000,2.424657534
0.88,0,17,0,rank_rolling,73,38596,33964,0.8794693751,0.8661229537,0.8698751404,0.8724212191,0.0106677741,0.01937084149,0.4931506849,0.6438356164,2584.572842,2584.572842,2584.572842,0,1000,2.424657534
0.88,0,17,0,adaptive_mass_rolling,73,38596,33964,0.8795989222,0.8662112825,0.8699848423,0.8728015237,0.01081852249,0.01967619377,0.4794520548,0.6301369863,2525.072754,2454.167413,2797.045801,0,1000,2.424657534
0.88,0,29,0,margin_rolling,73,38596,33964,0.8792620997,0.8827287716,0.8824250634,0.8990713206,0.009414240439,0.007718149558,0.4931506849,0.4657534247,3617.487546,3601.611618,7128,0.3042633377,1000,2.424657534
0.88,0,29,0,rank_rolling,73,38596,33964,0.8797284693,0.8665940407,0.8695773073,0.87252469,0.01015172793,0.01798745121,0.4383561644,0.6575342466,2557.270934,2557.270934,2557.270934,0,1000,2.424657534
0.88,0,29,0,adaptive_mass_rolling,73,38596,33964,0.8797543787,0.8666823696,0.8695917377,0.8728304059,0.01019500927,0.01813956846,0.4657534247,0.6575342466,2539.585532,2502.746761,2684.204952,0,1000,2.424657534
0.88,0,43,0,margin_rolling,73,38596,33964,0.877189346,0.8704216229,0.8698997582,0.8873894488,0.01003974596,0.01409461893,0.5342465753,0.6575342466,3118.282741,1478.767607,7128,0.2139029561,1000,2.424657534
0.88,0,43,0,rank_rolling,73,38596,33964,0.8797802881,0.8666823696,0.8686949228,0.8741186513,0.009753416507,0.01766986048,0.397260274,0.6575342466,3112.207514,3112.207514,3112.207514,0,1000,2.424657534
0.88,0,43,0,adaptive_mass_rolling,73,38596,33964,0.8793916468,0.8664173831,0.8678398971,0.8755324031,0.01063714585,0.01926084989,0.4931506849,0.6712328767,2750.813803,2349.21514,4271.267047,0,1000,2.424657534
0.88,0,59,0,margin_rolling,73,38596,33964,0.8790289149,0.8794900483,0.8786029081,0.8965463782,0.009123386953,0.009359260304,0.5068493151,0.5342465753,3384.91859,2411.395095,7128,0.2640148392,1000,2.424657534
0.88,0,59,0,rank_rolling,73,38596,33964,0.8791066432,0.8659462961,0.868406483,0.8725971056,0.01048611387,0.01919418272,0.5479452055,0.6438356164,2555.632788,2555.632788,2555.632788,0,1000,2.424657534
0.88,0,59,0,adaptive_mass_rolling,73,38596,33964,0.8804280236,0.8673890001,0.8692950799,0.8745982441,0.01056921883,0.01844501111,0.4794520548,0.6164383562,2489.180868,2359.038776,2989.414686,0,1000,2.424657534
