seed,deletion_rate,method,timestamp,threshold,threshold_units,pool_score_count,pool_span_blocks,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,partial_answer_recall,mean_size,median_size,p90_size,singleton_rate,full_vocabulary_set_rate,target_coverage,selection_tolerance,selection_candidate,selection_candidate_k_reg,selection_candidate_penalty
17,0,margin_rolling,292,13.84573746,score_margin,1000,3,730,658,0.8575342466,0.867781155,0.8795339412,3255.87234,1089,7128,0.02127659574,0.2507598784,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,293,14.10050678,score_margin,1000,2,658,581,0.9027355623,0.9053356282,0.9225473322,3568.920826,3592,7128,0.01032702238,0.2977624785,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,294,14.26340911,score_margin,1000,2,618,538,0.8398058252,0.8308550186,0.8603159851,3477.057621,1717,7128,0.01858736059,0.2899628253,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,295,15.30550957,score_margin,1000,2,666,578,0.8903903904,0.8910034602,0.9135524798,3817.486159,4680.5,7128,0.01038062284,0.3079584775,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,296,15.4060955,score_margin,1000,2,516,466,0.8527131783,0.8540772532,0.8711731044,3704.712446,4414,7128,0.00643776824,0.3197424893,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,297,15.67355537,score_margin,1000,2,292,254,0.8595890411,0.8818897638,0.8940944882,3273.311024,1306.5,7128,0.01181102362,0.2637795276,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,298,16.4389081,score_margin,1000,3,252,224,0.9087301587,0.9107142857,0.9334077381,3782.90625,5276.5,7128,0.004464285714,0.3303571429,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,299,16.17939472,score_margin,1000,3,702,615,0.8874643875,0.8959349593,0.9137591947,3886.652033,5714,7128,0.0162601626,0.3073170732,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,300,15.49070406,score_margin,1000,3,664,573,0.8719879518,0.8760907504,0.9044987396,3791,5318,7128,0.02094240838,0.3158813264,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,301,16.4032073,score_margin,1000,2,616,552,0.8944805195,0.8949275362,0.909178744,4221.23913,6911,7128,0.01268115942,0.3695652174,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,302,15.6993041,score_margin,1000,2,570,490,0.8526315789,0.8489795918,0.8696112731,3594.681633,3980.5,7128,0.02244897959,0.2836734694,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,303,16.68260026,score_margin,1000,2,542,485,0.8948339483,0.8886597938,0.9019931271,3957.193814,5893,7128,0.01443298969,0.3505154639,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,304,15.29608536,score_margin,1000,2,328,281,0.8597560976,0.8540925267,0.8911625148,3328.185053,1480,7128,0.03202846975,0.2455516014,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,305,16.58886719,score_margin,1000,3,328,295,0.8993902439,0.8983050847,0.9171751412,3497.779661,3180,7128,0.01016949153,0.2644067797,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,306,15.96533883,score_margin,1000,3,582,513,0.8797250859,0.8908382066,0.909811566,3640.992203,3927,7128,0.02339181287,0.3216374269,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,307,16.11205864,score_margin,1000,3,588,510,0.8775510204,0.8882352941,0.9088562092,3913.252941,5867,7128,0.01764705882,0.3294117647,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,308,16.13393736,score_margin,1000,2,562,497,0.8754448399,0.8772635815,0.8956596723,3803.293763,5111,7128,0.02213279678,0.3561368209,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,309,16.17194748,score_margin,1000,2,626,535,0.8833865815,0.8878504673,0.9046105919,3953.992523,6298,7128,0.01682242991,0.3551401869,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,310,16.22895531,score_margin,1000,2,620,527,0.9032258065,0.8918406072,0.925711575,3454.036053,2064,7128,0.01138519924,0.2770398482,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,311,15.82430267,score_margin,1000,2,438,366,0.8789954338,0.8633879781,0.8942622951,2900.754098,687,7128,0.02732240437,0.2131147541,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,312,15.36576605,score_margin,1000,2,460,368,0.8391304348,0.8532608696,0.8832815735,2570.163043,523,7128,0.03260869565,0.2038043478,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,313,16.57356644,score_margin,1000,3,794,641,0.8803526448,0.8705148206,0.9054082163,3288.74571,1360,7128,0.02184087363,0.2808112324,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,314,16.86002016,score_margin,1000,2,678,585,0.883480826,0.8803418803,0.9030687831,3466.8,1746,7128,0.0188034188,0.2820512821,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,315,16.90311813,score_margin,1000,2,774,660,0.8785529716,0.8757575758,0.8958585859,3545.981818,2715.5,7128,0.01666666667,0.25,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,316,18.13150872,score_margin,1000,2,758,622,0.9116094987,0.9083601286,0.9282422294,4364.638264,6647.5,7128,0.01286173633,0.3311897106,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,317,16.05713797,score_margin,1000,2,630,559,0.8682539683,0.8676207513,0.8884317233,2815.851521,657,7128,0.02504472272,0.2325581395,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,318,17.60650253,score_margin,1000,2,342,308,0.8947368421,0.8896103896,0.908008658,3188.25974,1135,7128,0.01948051948,0.2662337662,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,319,17.48740053,score_margin,1000,3,324,290,0.9012345679,0.8896551724,0.8982758621,3297.458621,1576,7128,0.02068965517,0.2448275862,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,320,17.03059196,score_margin,1000,3,736,646,0.8682065217,0.8761609907,0.8885104919,3776.368421,5034.5,7128,0.02012383901,0.3173374613,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,321,17.27440754,score_margin,1000,2,680,603,0.9058823529,0.8971807629,0.912106136,3778.824212,4868,7128,0.01990049751,0.2835820896,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,322,17.11277843,score_margin,1000,2,668,595,0.8982035928,0.8974789916,0.9103641457,3792.369748,4865,7128,0.01176470588,0.3159663866,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,323,15.99229944,score_margin,1000,2,668,600,0.8502994012,0.845,0.8705555556,3357.001667,1800,7128,0.01833333333,0.2366666667,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,324,17.32408333,score_margin,1000,2,796,650,0.8618090452,0.8692307692,0.897974359,3684.649231,4257.5,7128,0.01538461538,0.2815384615,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,325,17.76805019,score_margin,1000,2,398,360,0.864321608,0.8638888889,0.8777777778,3396.330556,1343.5,7128,0.02777777778,0.3222222222,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,326,17.76196051,score_margin,1000,2,422,348,0.855450237,0.8591954023,0.8776340996,2906.810345,591.5,7128,0.02586206897,0.2126436782,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,327,18.21105576,score_margin,1000,3,738,621,0.8861788618,0.8921095008,0.9195115405,3705.117552,4398,7128,0.01610305958,0.3413848631,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,328,18.10008049,score_margin,1000,2,600,526,0.8916666667,0.897338403,0.9140956002,3896.60076,5730.5,7128,0.01520912548,0.3136882129,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,329,17.94351125,score_margin,1000,2,684,599,0.8947368421,0.8931552588,0.9074568726,3747.828047,4545,7128,0.01001669449,0.3188647746,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,330,17.44577503,score_margin,1000,2,640,580,0.8875,0.8913793103,0.903591954,3565.560345,3825.5,7128,0.01551724138,0.2913793103,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,331,17.36141849,score_margin,1000,2,506,474,0.8932806324,0.8945147679,0.8987341772,3536.097046,3587,7128,0.01476793249,0.2721518987,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,332,16.92161894,score_margin,1000,2,318,300,0.9025157233,0.9,0.9066666667,3213.35,1221.5,7128,0.04,0.27,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,333,16.57144547,score_margin,1000,3,342,312,0.8625730994,0.858974359,0.875534188,3110.855769,1077,7128,0.03846153846,0.266025641,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,334,16.67569447,score_margin,1000,3,700,633,0.88,0.8830963665,0.8951816746,3182.71406,1132,7128,0.03475513428,0.2448657188,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,335,17.28923988,score_margin,1000,2,656,587,0.8765243902,0.867120954,0.8865417376,3396.206133,1769,7128,0.01873935264,0.2844974446,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,336,17.91431236,score_margin,1000,2,632,551,0.8702531646,0.8675136116,0.8836055656,3713.130672,4764,7128,0.02722323049,0.3049001815,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,337,18.0564336,score_margin,1000,2,552,492,0.902173913,0.9085365854,0.9179539295,3577.313008,3096.5,7128,0.0162601626,0.2947154472,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,338,17.75580776,score_margin,1000,2,496,457,0.877016129,0.8949671772,0.9011670314,3588.929978,3019,7128,0.02625820569,0.2778993435,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,339,17.14106351,score_margin,1000,2,328,297,0.8719512195,0.8720538721,0.882996633,2777.639731,654,7128,0.0404040404,0.1717171717,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,340,17.85308599,score_margin,1000,3,328,303,0.8780487805,0.8778877888,0.8905390539,3230.389439,1255,7128,0.02640264026,0.2607260726,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,341,17.90487671,score_margin,1000,3,576,519,0.8697916667,0.8843930636,0.8966602441,3577.231214,3696,7128,0.01926782274,0.289017341,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,342,18.29692173,score_margin,1000,3,636,565,0.8820754717,0.8831858407,0.8982300885,3624.106195,4070,7128,0.01946902655,0.3150442478,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,343,18.67311096,score_margin,1000,2,642,567,0.8676012461,0.8677248677,0.8804232804,4075.483245,6147,7128,0.02116402116,0.3403880071,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,344,18.95844436,score_margin,1000,2,650,582,0.8630769231,0.8608247423,0.8751431844,3707.082474,4389.5,7128,0.01546391753,0.324742268,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,345,20.17609096,score_margin,1000,2,586,501,0.8907849829,0.878243513,0.8932135729,4045.580838,6649,7128,0.00998003992,0.3912175649,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,346,18.10129285,score_margin,1000,2,224,197,0.8705357143,0.8730964467,0.8959390863,2542.238579,331,7128,0.0152284264,0.2081218274,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,347,17.41852188,score_margin,1000,3,306,277,0.8888888889,0.8953068592,0.8983152828,2556.158845,270,7128,0.02527075812,0.2310469314,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,348,17.23509383,score_margin,1000,3,714,610,0.862745098,0.8573770492,0.8765027322,2980.308197,625.5,7128,0.02131147541,0.2393442623,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,349,18.02269363,score_margin,1000,2,600,545,0.8416666667,0.8403669725,0.8547400612,3172.031193,1087,7128,0.0128440367,0.2752293578,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,350,20.92131472,score_margin,1000,2,656,560,0.9024390244,0.8982142857,0.917827381,3528.435714,2082,7128,0.01607142857,0.3,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,351,20.30023366,score_margin,1000,2,522,476,0.8716475096,0.8760504202,0.8977591036,3366.067227,1428.5,7128,0.03361344538,0.2857142857,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,352,20.5473423,score_margin,1000,2,462,415,0.8636363636,0.8722891566,0.8917670683,3670.310843,4353,7128,0.02409638554,0.2746987952,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,353,20.97988892,score_margin,1000,3,242,226,0.8512396694,0.8539823009,0.8650442478,3419.929204,1470,7128,0.02654867257,0.3053097345,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,354,21.71980987,score_margin,1000,3,238,227,0.8907563025,0.8898678414,0.8979441997,3895.493392,4901,7128,0.008810572687,0.3524229075,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,355,22.03435707,score_margin,1000,4,578,506,0.8702422145,0.8853754941,0.9045266328,4165.766798,6686.5,7128,0.01383399209,0.3794466403,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,356,22.41105938,score_margin,1000,3,548,483,0.8832116788,0.884057971,0.8961352657,4046.091097,6042,7128,0.01035196687,0.3726708075,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,357,22.45291233,score_margin,1000,2,406,363,0.9088669951,0.9090909091,0.922405877,3765.559229,5085,7128,0.01652892562,0.2644628099,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,358,21.32804871,score_margin,1000,3,300,276,0.8866666667,0.8876811594,0.9009661836,3102.456522,1112.5,7128,0.01811594203,0.2391304348,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,359,20.96285868,score_margin,1000,3,330,312,0.9393939394,0.9391025641,0.9465811966,4378.61859,7064.5,7128,0.009615384615,0.391025641,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,360,18.55862999,score_margin,1000,3,228,214,0.8903508772,0.8925233645,0.9018691589,2745.990654,335,7128,0.02336448598,0.2196261682,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,361,19.42643753,score_margin,1000,4,246,226,0.8658536585,0.8628318584,0.8746312684,2739.920354,374,7128,0.05309734513,0.2079646018,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,362,18.50926173,score_margin,1000,4,620,530,0.8177419355,0.8471698113,0.874591195,2619.320755,404.5,7128,0.03018867925,0.2037735849,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,363,21.23152924,score_margin,1000,3,386,353,0.9119170984,0.9178470255,0.929414542,3215.050992,1023,7128,0.02549575071,0.2634560907,0.88,0,raps_k50_lam0p001,50,0.001
17,0,margin_rolling,364,20.74308014,score_margin,1000,2,354,329,0.8615819209,0.8601823708,0.8708206687,3133.74772,810,7128,0.03343465046,0.2370820669,0.88,0,raps_k50_lam0p001,50,0.001
29,0,margin_rolling,292,13.75598586,score_margin,1000,3,730,658,0.8657534247,0.8784194529,0.8891084093,3186.980243,868,7128,0.01519756839,0.2613981763,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,293,13.8763361,score_margin,1000,2,658,581,0.8860182371,0.8915662651,0.9073436604,3501.924269,2464,7128,0.01893287435,0.2908777969,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,294,14.77090335,score_margin,1000,2,618,538,0.8333333333,0.8345724907,0.8603159851,3482.881041,1690.5,7128,0.02416356877,0.3197026022,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,295,15.83122635,score_margin,1000,2,666,578,0.8918918919,0.892733564,0.9161476355,4008.313149,5678,7128,0.008650519031,0.3321799308,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,296,16.02397853,score_margin,1000,2,516,466,0.8740310078,0.864806867,0.8868383405,3937.405579,5308,7128,0.00643776824,0.3519313305,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,297,15.82836628,score_margin,1000,2,292,254,0.852739726,0.874015748,0.8872703412,3354.287402,1185,7128,0.01181102362,0.2677165354,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,298,16.63945106,score_margin,1000,3,252,224,0.9087301587,0.9151785714,0.9300595238,3837.299107,6169.5,7128,0.008928571429,0.3392857143,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,299,16.06201935,score_margin,1000,3,702,615,0.8803418803,0.8959349593,0.9088346883,3817.544715,5512,7128,0.0162601626,0.2926829268,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,300,15.97260714,score_margin,1000,3,664,573,0.8855421687,0.8830715532,0.9115280202,3998.354276,6116,7128,0.01570680628,0.3315881326,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,301,16.40155673,score_margin,1000,2,616,552,0.9090909091,0.9094202899,0.9203502415,4194.032609,6802.5,7128,0.009057971014,0.3731884058,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,302,15.23962593,score_margin,1000,2,570,490,0.849122807,0.8428571429,0.8624441205,3382.959184,1455.5,7128,0.02857142857,0.2857142857,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,303,16.11480618,score_margin,1000,2,542,485,0.8837638376,0.8762886598,0.8872164948,3765.71134,4653,7128,0.01649484536,0.3402061856,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,304,15.81549874,score_margin,1000,2,328,281,0.862804878,0.8612099644,0.8896797153,3499.679715,2140,7128,0.01779359431,0.2704626335,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,305,16.62169644,score_margin,1000,3,328,295,0.9146341463,0.9186440678,0.9277966102,3530.810169,2690,7128,0.01016949153,0.2711864407,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,306,16.15534782,score_margin,1000,3,582,513,0.8745704467,0.8927875244,0.9059779077,3654.752437,4181,7128,0.01754385965,0.3313840156,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,307,16.2132349,score_margin,1000,3,588,510,0.880952381,0.8960784314,0.9109477124,3928.966667,5820.5,7128,0.009803921569,0.3274509804,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,308,16.31460762,score_margin,1000,2,562,497,0.8629893238,0.861167002,0.8807128485,3904.657948,6014,7128,0.01810865191,0.370221328,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,309,17.14226961,score_margin,1000,2,626,535,0.8881789137,0.8953271028,0.9123676012,4223.560748,6790,7128,0.01869158879,0.3757009346,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,310,17.30948544,score_margin,1000,2,620,527,0.9225806452,0.9146110057,0.9382669197,3840.753321,5237,7128,0.01518026565,0.2979127135,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,311,15.81926298,score_margin,1000,2,438,366,0.8744292237,0.8661202186,0.8965391621,2925.128415,700.5,7128,0.02732240437,0.218579235,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,312,15.23493493,score_margin,1000,2,460,368,0.8173913043,0.8288043478,0.8570910973,2561.184783,404.5,7128,0.02445652174,0.1956521739,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,313,16.54771996,score_margin,1000,3,794,641,0.8702770781,0.8705148206,0.9008580343,3310.173167,1373,7128,0.02184087363,0.2823712949,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,314,17.20380688,score_margin,1000,2,678,585,0.8997050147,0.8991452991,0.9157305657,3648.261538,4449,7128,0.02051282051,0.2905982906,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,315,16.99916458,score_margin,1000,2,774,660,0.8785529716,0.8727272727,0.8937121212,3551.516667,3396,7128,0.01666666667,0.2696969697,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,316,17.86727428,score_margin,1000,2,758,622,0.901055409,0.8938906752,0.9158092176,4211.467846,6511,7128,0.01286173633,0.3295819936,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,317,16.48207092,score_margin,1000,2,630,559,0.8682539683,0.8676207513,0.8872093023,3050.423971,827,7128,0.02146690519,0.2271914132,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,318,17.03065085,score_margin,1000,2,342,308,0.8918128655,0.8896103896,0.9096320346,3051.285714,917,7128,0.01948051948,0.2564935065,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,319,16.88786125,score_margin,1000,3,324,290,0.8888888889,0.875862069,0.8862068966,3142.613793,1190,7128,0.02068965517,0.2448275862,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,320,16.89464408,score_margin,1000,3,736,646,0.8614130435,0.8746130031,0.8839697282,3707.835913,5062.5,7128,0.02476780186,0.3312693498,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,321,17.80132192,score_margin,1000,2,680,603,0.8985294118,0.8888888889,0.9046434494,3885.18408,5388,7128,0.01658374793,0.3084577114,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,322,17.91434669,score_margin,1000,2,668,595,0.9206586826,0.9260504202,0.9333333333,4002.588235,5821,7128,0.01344537815,0.3361344538,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,323,16.12373245,score_margin,1000,2,668,600,0.8652694611,0.8583333333,0.8783333333,3399.723333,1682.5,7128,0.02166666667,0.235,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,324,16.802742,score_margin,1000,2,796,650,0.8492462312,0.8569230769,0.8934358974,3552.909231,2742,7128,0.02153846154,0.2753846154,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,325,17.83661556,score_margin,1000,2,398,360,0.851758794,0.8666666667,0.8722222222,3455.369444,1702,7128,0.025,0.3194444444,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,326,18.09501934,score_margin,1000,2,422,348,0.8388625592,0.8534482759,0.8694923372,2955.086207,663,7128,0.01436781609,0.2385057471,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,327,19.29331899,score_margin,1000,3,738,621,0.8983739837,0.9082125604,0.928475577,4028.056361,5949,7128,0.01449275362,0.3768115942,0.88,0,raps_k50_lam0p002,50,0.002
