target_coverage,selection_tolerance,statistic,deletion_rate,baseline_method,candidate_method,observed,ci95_low,ci95_high,pvalue_positive,iterations,block_length,seed_count,timestamp_count,direction
0.88,0,adaptive_mass_rolling_mean_size_reduction_vs_margin_rolling,0.3,margin_rolling,adaptive_mass_rolling,1054.474891,771.6628404,1323.321729,4.999750012e-05,20000,7,5,73,positive
0.88,0,adaptive_mass_rolling_relative_mean_size_reduction_vs_margin_rolling,0.3,margin_rolling,adaptive_mass_rolling,0.2800249876,0.2023581774,0.3507860286,4.999750012e-05,20000,7,5,73,positive
0.88,0,adaptive_mass_rolling_median_size_reduction_vs_margin_rolling,0.3,margin_rolling,adaptive_mass_rolling,1945.080803,1319.126915,2525.228501,4.999750012e-05,20000,7,5,73,positive
0.88,0,adaptive_mass_rolling_p90_size_reduction_vs_margin_rolling,0.3,margin_rolling,adaptive_mass_rolling,3491.810435,3018.232162,3961.427886,4.999750012e-05,20000,7,5,73,positive
0.88,0,adaptive_mass_rolling_observed_label_coverage_delta_vs_margin_rolling,0.3,margin_rolling,adaptive_mass_rolling,-0.0006166442118,-0.005115002801,0.003593963615,0.602319884,20000,7,5,73,not_negative
0.88,0,adaptive_mass_rolling_full_set_coverage_delta_vs_margin_rolling,0.3,margin_rolling,adaptive_mass_rolling,-0.0166175951,-0.02133388987,-0.01211178779,1,20000,7,5,73,not_negative
0.88,0,adaptive_mass_rolling_mean_size_reduction_vs_rank_rolling,0.3,rank_rolling,adaptive_mass_rolling,224.5868272,114.1668774,347.319205,4.999750012e-05,20000,7,5,73,positive
0.88,0,adaptive_mass_rolling_relative_mean_size_reduction_vs_rank_rolling,0.3,rank_rolling,adaptive_mass_rolling,0.08000748059,0.04178996942,0.1227609388,4.999750012e-05,20000,7,5,73,positive
0.88,0,adaptive_mass_rolling_median_size_reduction_vs_rank_rolling,0.3,rank_rolling,adaptive_mass_rolling,512.9637911,252.7348892,792.3415577,4.999750012e-05,20000,7,5,73,positive
0.88,0,adaptive_mass_rolling_p90_size_reduction_vs_rank_rolling,0.3,rank_rolling,adaptive_mass_rolling,-728.1352255,-1118.358101,-386.8166762,1,20000,7,5,73,positive
0.88,0,adaptive_mass_rolling_observed_label_coverage_delta_vs_rank_rolling,0.3,rank_rolling,adaptive_mass_rolling,-6.21826096e-05,-0.001121566366,0.0008598118639,0.5378731063,20000,7,5,73,not_negative
0.88,0,adaptive_mass_rolling_full_set_coverage_delta_vs_rank_rolling,0.3,rank_rolling,adaptive_mass_rolling,-5.888587917e-06,-0.001131213175,0.001052663863,0.4971751412,20000,7,5,73,not_negative
0.88,0.01,adaptive_mass_rolling_mean_size_reduction_vs_margin_rolling,0.3,margin_rolling,adaptive_mass_rolling,1192.888818,899.6765191,1484.074208,4.999750012e-05,20000,7,5,73,positive
0.88,0.01,adaptive_mass_rolling_relative_mean_size_reduction_vs_margin_rolling,0.3,margin_rolling,adaptive_mass_rolling,0.3185293151,0.2396272618,0.3945994332,4.999750012e-05,20000,7,5,73,positive
0.88,0.01,adaptive_mass_rolling_median_size_reduction_vs_margin_rolling,0.3,margin_rolling,adaptive_mass_rolling,2291.599647,1656.505689,2899.763151,4.999750012e-05,20000,7,5,73,positive
