target_coverage,selection_tolerance,deletion_rate,method,seed_count,observed_label_coverage_mean,full_set_coverage_mean,partial_answer_recall_mean,mean_size_mean,median_size_mean,p90_size_mean,full_vocabulary_set_rate_mean
0.88,0,0.3,margin_rolling,5,0.8794797388,0.8822164645,0.8990611118,3737.942404,4340.171352,7128,0.3238723354
0.88,0,0.3,rank_rolling,5,0.8789252772,0.865604758,0.8716848372,2908.05434,2908.05434,2908.05434,0
0.88,0,0.3,adaptive_mass_rolling,5,0.8788630946,0.8655988694,0.8727160644,2683.467513,2395.090549,3636.189565,0
0.88,0.01,0.3,margin_rolling,5,0.8794797388,0.8822164645,0.8990611118,3737.942404,4340.171352,7128,0.3238723354
0.88,0.01,0.3,rank_rolling,5,0.8789252772,0.865604758,0.8716848372,2908.05434,2908.05434,2908.05434,0
0.88,0.01,0.3,adaptive_mass_rolling,5,0.8793968287,0.8662642798,0.8741456921,2545.053586,2048.571705,4212.531548,0
0.88,0.02,0.3,margin_rolling,5,0.8794797388,0.8822164645,0.8990611118,3737.942404,4340.171352,7128,0.3238723354
0.88,0.02,0.3,rank_rolling,5,0.8789252772,0.865604758,0.8716848372,2908.05434,2908.05434,2908.05434,0
0.88,0.02,0.3,adaptive_mass_rolling,5,0.8793968287,0.8662642798,0.8741456921,2545.053586,2048.571705,4212.531548,0
0.88,0.03,0.3,margin_rolling,5,0.8794797388,0.8822164645,0.8990611118,3737.942404,4340.171352,7128,0.3238723354
0.88,0.03,0.3,rank_rolling,5,0.8789252772,0.865604758,0.8716848372,2908.05434,2908.05434,2908.05434,0
0.88,0.03,0.3,adaptive_mass_rolling,5,0.8793968287,0.8662642798,0.8741456921,2545.053586,2048.571705,4212.531548,0
0.9,0,0.3,margin_rolling,5,0.8997823609,0.9019785655,0.9174103677,4069.435473,5746.219426,7128,0.3647096926
0.9,0,0.3,rank_rolling,5,0.8991812623,0.8880520551,0.8925682796,3668.160876,3668.160876,3668.160876,0
0.9,0,0.3,adaptive_mass_rolling,5,0.898880713,0.8876751855,0.8931447723,3424.213932,3148.85941,4337.293618,0
0.9,0.01,0.3,margin_rolling,5,0.8997823609,0.9019785655,0.9174103677,4069.435473,5746.219426,7128,0.3647096926
0.9,0.01,0.3,rank_rolling,5,0.8991812623,0.8880520551,0.8925682796,3668.160876,3668.160876,3668.160876,0
0.9,0.01,0.3,adaptive_mass_rolling,5,0.8987097109,0.887439642,0.8933689312,3318.965316,2924.649393,4646.492393,0
0.9,0.02,0.3,margin_rolling,5,0.8997823609,0.9019785655,0.9174103677,4069.435473,5746.219426,7128,0.3647096926
0.9,0.02,0.3,rank_rolling,5,0.8991812623,0.8880520551,0.8925682796,3668.160876,3668.160876,3668.160876,0
0.9,0.02,0.3,adaptive_mass_rolling,5,0.8987097109,0.887439642,0.8933689312,3318.965316,2924.649393,4646.492393,0
0.9,0.03,0.3,margin_rolling,5,0.8997823609,0.9019785655,0.9174103677,4069.435473,5746.219426,7128,0.3647096926
0.9,0.03,0.3,rank_rolling,5,0.8991812623,0.8880520551,0.8925682796,3668.160876,3668.160876,3668.160876,0
0.9,0.03,0.3,adaptive_mass_rolling,5,0.8987097109,0.887439642,0.8933689312,3318.965316,2924.649393,4646.492393,0
0.92,0,0.3,margin_rolling,5,0.9197637061,0.9211753621,0.9349411185,4428.14125,6674.561447,7128,0.4132669886
0.92,0,0.3,rank_rolling,5,0.9186288735,0.9096396184,0.9127828765,4479.510859,4479.510859,4479.510859,0
0.92,0,0.3,adaptive_mass_rolling,5,0.9187221474,0.9096749499,0.9134540774,4268.647539,4073.118502,4916.515925,0
0.92,0.01,0.3,margin_rolling,5,0.9197637061,0.9211753621,0.9349411185,4428.14125,6674.561447,7128,0.4132669886
0.92,0.01,0.3,rank_rolling,5,0.9186288735,0.9096396184,0.9127828765,4479.510859,4479.510859,4479.510859,0
0.92,0.01,0.3,adaptive_mass_rolling,5,0.9187946938,0.9096867271,0.9136784326,4198.964144,3949.188464,5038.702452,0
0.92,0.02,0.3,margin_rolling,5,0.9197637061,0.9211753621,0.9349411185,4428.14125,6674.561447,7128,0.4132669886
0.92,0.02,0.3,rank_rolling,5,0.9186288735,0.9096396184,0.9127828765,4479.510859,4479.510859,4479.510859,0
0.92,0.02,0.3,adaptive_mass_rolling,5,0.9187946938,0.9096867271,0.9136784326,4198.964144,3949.188464,5038.702452,0
0.92,0.03,0.3,margin_rolling,5,0.9197637061,0.9211753621,0.9349411185,4428.14125,6674.561447,7128,0.4132669886
0.92,0.03,0.3,rank_rolling,5,0.9186288735,0.9096396184,0.9127828765,4479.510859,4479.510859,4479.510859,0
0.92,0.03,0.3,adaptive_mass_rolling,5,0.9187946938,0.9096867271,0.9136784326,4198.964144,3949.188464,5038.702452,0
