target_coverage,selection_tolerance,candidate,k_reg,penalty,condition_count,selection_observed_label_coverage_mean,selection_full_set_coverage_mean,selection_mean_size_mean,selection_p90_size_mean,condition_fraction
0.88,0,raps_k50_lam0p0001,50,0.0001,7,0.8812191104,0.8719494461,2512.659078,4265.236303,0.35
0.88,0,raps_k50_lam0p0005,50,0.0005,7,0.8803953871,0.8709447133,2668.831892,3217.588144,0.35
0.88,0,raps_k50_lam0p002,50,0.002,4,0.8790362438,0.8691930409,2672.398436,2828.233583,0.2
0.88,0,raps_k50_lam0p001,50,0.001,2,0.8729818781,0.8641495465,2569.70285,2876.074866,0.1
0.88,0.01,raps_k50_lam0p0001,50,0.0001,19,0.8777421313,0.8684746291,2380.648188,4202.684098,0.95
0.88,0.01,raps_k50_lam0p001,50,0.001,1,0.8703459638,0.8610031464,2511.865815,2816.784638,0.05
0.88,0.02,raps_k50_lam0p0001,50,0.0001,20,0.877306425,0.8680177679,2372.270535,4196.898671,1
0.88,0.03,raps_k50_lam0p0001,50,0.0001,20,0.877306425,0.8680177679,2372.270535,4196.898671,1
0.9,0,raps_k50_lam0p0001,50,0.0001,14,0.8990350671,0.8911054705,3232.619061,4668.260324,0.7
0.9,0,raps_k50_lam0p0005,50,0.0005,2,0.8964579901,0.8883953359,3437.864427,3878.809532,0.1
0.9,0,raps_k50_lam0p001,50,0.001,2,0.897199341,0.8893207477,3510.502499,3744.502054,0.1
0.9,0,raps_k50_lam0p002,50,0.002,2,0.897446458,0.8896909125,3263.325837,3390.77407,0.1
0.9,0.01,raps_k50_lam0p0001,50,0.0001,20,0.8979571664,0.8900703313,3234.976411,4673.943148,1
0.9,0.02,raps_k50_lam0p0001,50,0.0001,20,0.8979571664,0.8900703313,3234.976411,4673.943148,1
0.9,0.03,raps_k50_lam0p0001,50,0.0001,20,0.8979571664,0.8900703313,3234.976411,4673.943148,1
0.92,0,raps_k50_lam0p0001,50,0.0001,10,0.9171004942,0.9107532852,3940.648269,5073.409262,0.5
0.92,0,raps_k50_lam0p002,50,0.002,5,0.9158484349,0.9093466593,4073.23772,4168.967011,0.25
0.92,0,raps_k50_lam0p0005,50,0.0005,3,0.9148270181,0.908384231,4036.935468,4382.95426,0.15
0.92,0,raps_k50_lam0p001,50,0.001,2,0.9184514003,0.9112530076,4287.45558,4452.884324,0.1
0.92,0.01,raps_k50_lam0p0001,50,0.0001,19,0.9158675106,0.9092317134,3904.256953,5052.759231,0.95
0.92,0.01,raps_k50_lam0p0005,50,0.0005,1,0.9156507414,0.9093096428,4285.307237,4601.925634,0.05
0.92,0.02,raps_k50_lam0p0001,50,0.0001,19,0.9158675106,0.9092317134,3904.256953,5052.759231,0.95
0.92,0.02,raps_k50_lam0p0005,50,0.0005,1,0.9156507414,0.9093096428,4285.307237,4601.925634,0.05
0.92,0.03,raps_k50_lam0p0001,50,0.0001,19,0.9158675106,0.9092317134,3904.256953,5052.759231,0.95
0.92,0.03,raps_k50_lam0p0005,50,0.0005,1,0.9156507414,0.9093096428,4285.307237,4601.925634,0.05
