target_coverage,selection_tolerance,deletion_rate,adaptive_observed_label_coverage_mean,adaptive_full_set_coverage_mean,adaptive_mean_size_mean,adaptive_median_size_mean,adaptive_p90_size_mean,label_coverage_at_least_target_minus_0p02,relative_mean_size_reduction_vs_margin_ci_low,observed_label_delta_vs_margin_ci_low,full_set_delta_vs_margin_ci_low,relative_mean_size_reduction_vs_rank_ci_low,p90_size_reduction_vs_rank_ci_low,supported_vs_margin,upgrade_over_rank_mean_supported,tail_size_not_worse_than_rank
0.88,0,0.3,0.8788630946,0.8655988694,2683.467513,2395.090549,3636.189565,True,0.2023581774,-0.005115002801,-0.02133388987,0.04178996942,-1118.358101,True,True,False
0.88,0.01,0.3,0.8793968287,0.8662642798,2545.053586,2048.571705,4212.531548,True,0.2396272618,-0.004624886668,-0.0205364679,0.1031047562,-1432.793169,True,True,False
0.88,0.02,0.3,0.8793968287,0.8662642798,2545.053586,2048.571705,4212.531548,True,0.2390281915,-0.004552535658,-0.02040950467,0.1029920623,-1433.384226,True,True,False
0.88,0.03,0.3,0.8793968287,0.8662642798,2545.053586,2048.571705,4212.531548,True,0.2389089526,-0.00466155504,-0.02045819191,0.102961241,-1435.027522,True,True,False
0.9,0,0.3,0.898880713,0.8876751855,3424.213932,3148.85941,4337.293618,True,0.07648984411,-0.00511607349,-0.01871335215,0.03092739935,-992.1495171,True,True,False
0.9,0.01,0.3,0.8987097109,0.887439642,3318.965316,2924.649393,4646.492393,True,0.1015576962,-0.005284952064,-0.01881983144,0.0667855761,-1085.98997,True,True,False
0.9,0.02,0.3,0.8987097109,0.887439642,3318.965316,2924.649393,4646.492393,True,0.102729504,-0.005291418993,-0.01877136291,0.06661407996,-1086.181146,True,True,False
0.9,0.03,0.3,0.8987097109,0.887439642,3318.965316,2924.649393,4646.492393,True,0.1027183479,-0.005359786528,-0.01881456698,0.06597760746,-1084.695203,True,True,False
0.92,0,0.3,0.9187221474,0.9096749499,4268.647539,4073.118502,4916.515925,True,-0.03668563592,-0.004271726733,-0.01492005062,0.01898978254,-678.5739767,False,False,False
0.92,0.01,0.3,0.9187946938,0.9096867271,4198.964144,3949.188464,5038.702452,True,-0.02425590723,-0.004193254585,-0.01495433895,0.0371706568,-725.9450635,False,False,False
0.92,0.02,0.3,0.9187946938,0.9096867271,4198.964144,3949.188464,5038.702452,True,-0.02488792939,-0.004235516073,-0.01491482855,0.03725718975,-728.3308106,False,False,False
0.92,0.03,0.3,0.9187946938,0.9096867271,4198.964144,3949.188464,5038.702452,True,-0.02400564829,-0.004231030187,-0.01490240056,0.03740260358,-725.1987743,False,False,False
