seed,deletion_rate,method,timestamp_count,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,macro_time_full_set_coverage,partial_answer_recall,positive_label_undercoverage,positive_full_set_undercoverage,fraction_timestamps_label_below_target,fraction_timestamps_full_set_below_target,mean_size,median_size,p90_size,full_vocabulary_set_rate,pool_score_count_mean,pool_span_blocks_mean
17,0,margin_rolling,73,38596,33964,0.898745984,0.8996584619,0.8999650582,0.9156427651,0.007808384137,0.007609165514,0.5890410959,0.4931506849,3904.85676,5143.520168,7128,0.3326757743,1000,2.424657534
17,0,rank_rolling,73,38596,33964,0.898745984,0.8872040985,0.8906687521,0.8920199118,0.009772179892,0.0177023342,0.4931506849,0.6712328767,3354.147126,3354.147126,3354.147126,0,1000,2.424657534
17,0,adaptive_mass_rolling,73,38596,33964,0.8986423464,0.8870274408,0.8896858935,0.8933134383,0.01040932046,0.01813567607,0.4520547945,0.6438356164,2951.363414,2580.243316,4362.916464,0,1000,2.424657534
17,0,aps_rolling,73,38596,33964,0.8970359623,0.9034566011,0.903159881,0.9151675654,0.01020114802,0.007013773661,0.4794520548,0.3835616438,4765.19821,6836.842186,7127,0,1000,2.424657534
29,0,margin_rolling,73,38596,33964,0.8988237123,0.9012483806,0.901110411,0.9162437282,0.008967514429,0.007758439944,0.5890410959,0.4657534247,3953.910994,5229.891856,7128,0.3430102461,1000,2.424657534
29,0,rank_rolling,73,38596,33964,0.8984091616,0.8872040985,0.8898156886,0.8915237282,0.01035267807,0.01677717554,0.4657534247,0.6575342466,3284.538865,3284.538865,3284.538865,0,1000,2.424657534
29,0,adaptive_mass_rolling,73,38596,33964,0.8993159913,0.8881168296,0.8904768035,0.8939699458,0.009155284516,0.01641889835,0.5205479452,0.6438356164,2924.718319,2550.842363,4362.541544,0,1000,2.424657534
29,0,aps_rolling,73,38596,33964,0.8989532594,0.9071664115,0.9063074393,0.9176279436,0.009750034873,0.006003328354,0.5342465753,0.3561643836,4848.345012,6892.876781,7127,0,1000,2.424657534
43,0,margin_rolling,73,38596,33964,0.8976577884,0.891797197,0.8913694705,0.9070160188,0.009842408533,0.01336696608,0.5616438356,0.6164383562,3466.84036,2934.589683,7128,0.2367212342,1000,2.424657534
43,0,rank_rolling,73,38596,33964,0.8988496217,0.8877929572,0.8895699111,0.8937659249,0.009393018322,0.0167102222,0.4931506849,0.6438356164,3812.230008,3812.230008,3812.230008,0,1000,2.424657534
43,0,adaptive_mass_rolling,73,38596,33964,0.8992641725,0.8880579437,0.8896649219,0.8951531781,0.008944913497,0.01614350681,0.5068493151,0.6301369863,3535.964492,3217.296667,4723.822118,0,1000,2.424657534
43,0,aps_rolling,73,38596,33964,0.8970100529,0.8938582028,0.8924849499,0.9071544474,0.01116322956,0.01282827967,0.5342465753,0.5479452055,4379.605229,6020.669297,7125.574579,0,1000,2.424657534
59,0,margin_rolling,73,38596,33964,0.8990309877,0.8990696031,0.8987776829,0.9148469177,0.008254430133,0.008793747851,0.5342465753,0.5205479452,3741.091391,4144.15911,7128,0.2967259451,1000,2.424657534
59,0,rank_rolling,73,38596,33964,0.9003782775,0.8892062183,0.8909463871,0.8943323743,0.009562674491,0.01683196911,0.4931506849,0.6712328767,3348.027117,3348.027117,3348.027117,0,1000,2.424657534
59,0,adaptive_mass_rolling,73,38596,33964,0.8990309877,0.8877635143,0.8893367278,0.8943996024,0.009823998454,0.01724098239,0.4931506849,0.6575342466,2971.631316,2608.601019,4367.030585,0,1000,2.424657534
59,0,aps_rolling,73,38596,33964,0.897450513,0.9042810034,0.9033862277,0.9147777268,0.009646429202,0.006245268081,0.5068493151,0.397260274,4725.627988,6707.39533,7126.975957,0,1000,2.424657534
71,0,margin_rolling,73,38596,33964,0.8989532594,0.8973324697,0.8974917564,0.9134701009,0.008265139249,0.009750494245,0.5753424658,0.5205479452,3728.098869,4249.39745,7128,0.2917206454,1000,2.424657534
71,0,rank_rolling,73,38596,33964,0.8991346253,0.8878812861,0.8903503218,0.8929461026,0.009113266836,0.01621413699,0.5068493151,0.6712328767,3462.945531,3462.945531,3462.945531,0,1000,2.424657534
71,0,adaptive_mass_rolling,73,38596,33964,0.8990309877,0.8876162996,0.8898064114,0.8942640948,0.008717383502,0.01641221562,0.5205479452,0.6849315068,3066.509098,2710.139883,4426.364191,0,1000,2.424657534
71,0,aps_rolling,73,38596,33964,0.8974764224,0.901572253,0.9002647355,0.9135553191,0.010129055,0.008352604743,0.5342465753,0.4794520548,4716.052732,6708.471676,7126.994753,0,1000,2.424657534
17,0.1,margin_rolling,73,38596,33964,0.8979168826,0.898156872,0.8982630096,0.9142058445,0.008702711884,0.008847300635,0.5205479452,0.5068493151,3908.996644,5198.88903,7128,0.3244906371,1000,2.424657534
17,0.1,rank_rolling,73,38596,33964,0.8977096072,0.8859380521,0.8888602401,0.8907700591,0.01042957928,0.0185834933,0.5479452055,0.698630137,3379.025704,3379.025704,3379.025704,0,1000,2.424657534
17,0.1,adaptive_mass_rolling,73,38596,33964,0.8987200746,0.8871746555,0.889391394,0.8934959845,0.009909209224,0.01793683603,0.5342465753,0.6712328767,2981.536391,2597.940113,4413.378041,0,1000,2.424657534
17,0.1,aps_rolling,73,38596,33964,0.8964141362,0.90154281,0.9014992437,0.9134961762,0.01054382585,0.007764544257,0.5342465753,0.4383561644,4770.268314,6801.366447,7126.969792,0,1000,2.424657534
29,0.1,margin_rolling,73,38596,33964,0.8990309877,0.9004534213,0.9003780316,0.9161645243,0.007926236048,0.007274131907,0.5205479452,0.4931506849,3895.820133,4996.637204,7128,0.3204275115,1000,2.424657534
