seed,deletion_rate,method,timestamp,threshold,threshold_units,pool_score_count,pool_span_blocks,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,partial_answer_recall,mean_size,median_size,p90_size,singleton_rate,full_vocabulary_set_rate,mass_candidate,mass_candidate_k_reg,mass_candidate_penalty,selection_feasible,selection_candidate,selection_observed_label_coverage,selection_mean_size
17,0,margin_rolling,292,14.94489861,score_margin,1000,3,730,658,0.8863013699,0.8936170213,0.9043566363,3600.414894,4028,7128,0.01367781155,0.3085106383,,,,,,,
17,0,margin_rolling,293,15.21575308,score_margin,1000,2,658,581,0.9209726444,0.9242685026,0.9388984509,3948.359725,5721,7128,0.008605851979,0.3253012048,,,,,,,
17,0,margin_rolling,294,15.27624702,score_margin,1000,2,618,538,0.857605178,0.8513011152,0.8770446097,3841.830855,5077.5,7128,0.01858736059,0.3271375465,,,,,,,
17,0,margin_rolling,295,16.07439041,score_margin,1000,2,666,578,0.9114114114,0.9134948097,0.9351787774,4119.16609,6059.5,7128,0.006920415225,0.3425605536,,,,,,,
17,0,margin_rolling,296,16.17732906,score_margin,1000,2,516,466,0.8662790698,0.8605150215,0.8806151645,3965.328326,6079.5,7128,0.00643776824,0.3519313305,,,,,,,
17,0,margin_rolling,297,16.52709749,score_margin,1000,2,292,254,0.8767123288,0.8937007874,0.9080052493,3522.188976,2011.5,7128,0.007874015748,0.2952755906,,,,,,,
17,0,margin_rolling,298,17.46262169,score_margin,1000,3,252,224,0.9404761905,0.9464285714,0.9583333333,4096.803571,6479,7128,0.004464285714,0.3616071429,,,,,,,
17,0,margin_rolling,299,16.71952009,score_margin,1000,3,702,615,0.8945868946,0.9040650407,0.9210762679,4047.84065,6389,7128,0.01138211382,0.3284552846,,,,,,,
17,0,margin_rolling,300,16.71952009,score_margin,1000,3,664,573,0.8915662651,0.8935427574,0.9185573008,4222.247818,6816,7128,0.01396160558,0.3821989529,,,,,,,
17,0,margin_rolling,301,17.78324986,score_margin,1000,2,616,552,0.9172077922,0.9166666667,0.9303140097,4569.675725,7114,7128,0.001811594203,0.4239130435,,,,,,,
17,0,margin_rolling,302,17.00041509,score_margin,1000,2,570,490,0.8789473684,0.8755102041,0.8957045675,3945.336735,6264,7128,0.01224489796,0.3489795918,,,,,,,
17,0,margin_rolling,303,17.99513578,score_margin,1000,2,542,485,0.9169741697,0.9113402062,0.9246735395,4335.082474,6867,7128,0.00618556701,0.3979381443,,,,,,,
17,0,margin_rolling,304,16.8095347,score_margin,1000,2,328,281,0.875,0.8683274021,0.90628707,3817.377224,5208,7128,0.01423487544,0.3096085409,,,,,,,
17,0,margin_rolling,305,17.95536423,score_margin,1000,3,328,295,0.9298780488,0.9288135593,0.9444067797,3961.172881,5775,7128,0.003389830508,0.3084745763,,,,,,,
17,0,margin_rolling,306,17.18708611,score_margin,1000,3,582,513,0.8934707904,0.9064327485,0.922157245,3966.233918,6123,7128,0.01169590643,0.3586744639,,,,,,,
17,0,margin_rolling,307,17.34167004,score_margin,1000,3,588,510,0.8945578231,0.9019607843,0.9183333333,4284.327451,6811.5,7128,0.005882352941,0.3666666667,,,,,,,
17,0,margin_rolling,308,17.65591836,score_margin,1000,2,562,497,0.8896797153,0.8893360161,0.9073009485,4217.444668,6923,7128,0.01006036217,0.3943661972,,,,,,,
17,0,margin_rolling,309,18.1419684,score_margin,1000,2,626,535,0.9073482428,0.9121495327,0.9282554517,4436.080374,7090,7128,0.007476635514,0.4093457944,,,,,,,
17,0,margin_rolling,310,17.70560127,score_margin,1000,2,620,527,0.9274193548,0.9184060721,0.9424414927,3988.005693,6121,7128,0.01138519924,0.3149905123,,,,,,,
17,0,margin_rolling,311,16.87587738,score_margin,1000,2,438,366,0.901826484,0.8907103825,0.9166666667,3189.248634,1313,7128,0.01639344262,0.237704918,,,,,,,
17,0,margin_rolling,312,16.40095425,score_margin,1000,2,460,368,0.8673913043,0.875,0.9024197723,2913.673913,1018.5,7128,0.02173913043,0.2309782609,,,,,,,
17,0,margin_rolling,313,17.4004364,score_margin,1000,3,794,641,0.8967254408,0.8892355694,0.9198387936,3546.393136,2191,7128,0.01716068643,0.3010920437,,,,,,,
17,0,margin_rolling,314,17.77472782,score_margin,1000,2,678,585,0.8997050147,0.8991452991,0.9177411477,3742.847863,4330,7128,0.01367521368,0.3128205128,,,,,,,
17,0,margin_rolling,315,18.27017021,score_margin,1000,2,774,660,0.8914728682,0.8878787879,0.9077272727,3951.24697,5849,7128,0.01212121212,0.3106060606,,,,,,,
17,0,margin_rolling,316,19.05775833,score_margin,1000,2,758,622,0.9182058047,0.9131832797,0.9329046088,4585.302251,6976,7128,0.004823151125,0.3665594855,,,,,,,
17,0,margin_rolling,317,17.81591392,score_margin,1000,2,630,559,0.8873015873,0.8890876565,0.9090041741,3396.966011,2053,7128,0.01610017889,0.2647584973,,,,,,,
17,0,margin_rolling,318,19.09903145,score_margin,1000,2,342,308,0.9152046784,0.9123376623,0.9285714286,3619.321429,4177,7128,0.00974025974,0.3116883117,,,,,,,
17,0,margin_rolling,319,18.77629185,score_margin,1000,3,324,290,0.9197530864,0.9103448276,0.9189655172,3712.968966,4327,7128,0.01379310345,0.2965517241,,,,,,,
17,0,margin_rolling,320,18.65745962,score_margin,1000,3,736,646,0.8967391304,0.907120743,0.9153938768,4180.125387,6763,7128,0.01393188854,0.3854489164,,,,,,,
