statistic,deletion_rate,baseline_method,candidate_method,observed,ci95_low,ci95_high,pvalue_positive,iterations,block_length,seed_count,timestamp_count,direction
aps_rolling_mean_size_reduction_vs_margin_rolling,0.3,margin_rolling,aps_rolling,-842.3769933,-914.9257081,-769.7128653,1,20000,7,5,73,positive
aps_rolling_relative_mean_size_reduction_vs_margin_rolling,0.3,margin_rolling,aps_rolling,-0.2112679179,-0.2336376744,-0.1892387884,1,20000,7,5,73,positive
aps_rolling_p90_size_reduction_vs_margin_rolling,0.3,margin_rolling,aps_rolling,1.059707926,1,1.192766328,4.999750012e-05,20000,7,5,73,positive
aps_rolling_observed_label_coverage_delta_vs_margin_rolling,0.3,margin_rolling,aps_rolling,-0.001927660898,-0.003612476962,-0.0003572309414,0.9917504125,20000,7,5,73,not_negative
aps_rolling_full_set_coverage_delta_vs_margin_rolling,0.3,margin_rolling,aps_rolling,0.002561535744,0.0007648991314,0.004108931726,0.003749812509,20000,7,5,73,not_negative
adaptive_mass_rolling_mean_size_reduction_vs_margin_rolling,0.3,margin_rolling,adaptive_mass_rolling,750.4701566,427.1328614,1072.834159,4.999750012e-05,20000,7,5,73,positive
adaptive_mass_rolling_relative_mean_size_reduction_vs_margin_rolling,0.3,margin_rolling,adaptive_mass_rolling,0.1817129867,0.1020368688,0.2590419046,4.999750012e-05,20000,7,5,73,positive
adaptive_mass_rolling_p90_size_reduction_vs_margin_rolling,0.3,margin_rolling,adaptive_mass_rolling,2481.507607,2283.414519,2667.428404,4.999750012e-05,20000,7,5,73,positive
adaptive_mass_rolling_observed_label_coverage_delta_vs_margin_rolling,0.3,margin_rolling,adaptive_mass_rolling,-0.001072650016,-0.005248115788,0.002930841759,0.6861156942,20000,7,5,73,not_negative
adaptive_mass_rolling_full_set_coverage_delta_vs_margin_rolling,0.3,margin_rolling,adaptive_mass_rolling,-0.01453892357,-0.01882511495,-0.01032854649,1,20000,7,5,73,not_negative
adaptive_mass_rolling_mean_size_reduction_vs_rank_rolling,0.3,rank_rolling,adaptive_mass_rolling,349.19556,246.0176748,464.973824,4.999750012e-05,20000,7,5,73,positive
adaptive_mass_rolling_relative_mean_size_reduction_vs_rank_rolling,0.3,rank_rolling,adaptive_mass_rolling,0.100874683,0.06648808713,0.1387270879,4.999750012e-05,20000,7,5,73,positive
adaptive_mass_rolling_p90_size_reduction_vs_rank_rolling,0.3,rank_rolling,adaptive_mass_rolling,-978.3315169,-1086.153655,-875.3578236,1,20000,7,5,73,positive
adaptive_mass_rolling_observed_label_coverage_delta_vs_rank_rolling,0.3,rank_rolling,adaptive_mass_rolling,-0.0004715514561,-0.001924756127,0.001093023971,0.7372631368,20000,7,5,73,not_negative
adaptive_mass_rolling_full_set_coverage_delta_vs_rank_rolling,0.3,rank_rolling,adaptive_mass_rolling,-0.0006124131433,-0.002402133572,0.001248949251,0.7544122794,20000,7,5,73,not_negative
