seed,deletion_rate,candidate,k_reg,penalty,threshold,observed_label_coverage,full_set_coverage,partial_answer_recall,mean_size,median_size,p90_size,full_vocabulary_set_rate,selected,selection_feasible,selection_target_coverage,selection_coverage_tolerance,selection_observed_label_coverage,selection_full_set_coverage,selection_mean_size,selection_p90_size
17,0,aps,0,0,0.9999866277,0.8728171334,0.8882102536,0.8985008329,4729.960207,6738.250231,7126.154729,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k50_lam0p0001,50,0.0001,1.249529439,0.889291598,0.8804367944,0.8876550065,3036.346474,2557.546918,4535.879845,0,True,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k50_lam0p0005,50,0.0005,2.420608489,0.8859967051,0.8769202295,0.883567771,3037.113641,2892.938182,3519.277327,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k50_lam0p001,50,0.001,3.931152208,0.8856672158,0.8769202295,0.8830279474,3058.744771,2981.68536,3318.2201,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k50_lam0p002,50,0.002,6.998854222,0.8856672158,0.8769202295,0.8829045592,3089.054044,3049.362761,3223.238608,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k100_lam0p0001,100,0.0001,1.244529439,0.889291598,0.8804367944,0.8876550065,3036.346474,2557.546918,4535.879845,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k100_lam0p0005,100,0.0005,2.395608489,0.8859967051,0.8769202295,0.883567771,3037.113641,2892.938182,3519.277327,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k100_lam0p001,100,0.001,3.881152208,0.8856672158,0.8769202295,0.8830279474,3058.744771,2981.68536,3318.2201,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k100_lam0p002,100,0.002,6.898854222,0.8856672158,0.8769202295,0.8829045592,3089.054044,3049.362761,3223.238608,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k250_lam0p0001,250,0.0001,1.229529439,0.889291598,0.8804367944,0.8876550065,3036.346474,2557.546918,4535.879845,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k250_lam0p0005,250,0.0005,2.320608489,0.8859967051,0.8769202295,0.883567771,3037.113641,2892.938182,3519.277327,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k250_lam0p001,250,0.001,3.731152208,0.8856672158,0.8769202295,0.8830279474,3058.744771,2981.68536,3318.2201,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k250_lam0p002,250,0.002,6.598854222,0.8856672158,0.8769202295,0.8829045592,3089.054044,3049.362761,3223.238608,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k500_lam0p0001,500,0.0001,1.204529439,0.889291598,0.8804367944,0.8876550065,3036.346474,2557.546918,4535.879845,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k500_lam0p0005,500,0.0005,2.195608489,0.8859967051,0.8769202295,0.883567771,3037.113641,2892.938182,3519.277327,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k500_lam0p001,500,0.001,3.481152208,0.8856672158,0.8769202295,0.8830279474,3058.744771,2981.68536,3318.2201,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k500_lam0p002,500,0.002,6.098854222,0.8856672158,0.8769202295,0.8829045592,3089.054044,3049.362761,3223.238608,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k1000_lam0p0001,1000,0.0001,1.154529439,0.889291598,0.8804367944,0.8876550065,3036.346474,2557.546918,4535.879845,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k1000_lam0p0005,1000,0.0005,1.945608489,0.8859967051,0.8769202295,0.883567771,3037.113641,2892.938182,3519.277327,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k1000_lam0p001,1000,0.001,2.981152208,0.8856672158,0.8769202295,0.8830279474,3058.744771,2981.68536,3318.2201,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k1000_lam0p002,1000,0.002,5.098854222,0.8856672158,0.8769202295,0.8829045592,3089.054044,3049.362761,3223.238608,0,False,True,0.9,0.02,0.889291598,0.8804367944,3036.346474,4535.879845
17,0.1,aps,0,0,0.9999753346,0.873476112,0.8867295947,0.8980011105,4694.7072,6665.137331,7125.346104,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k50_lam0p0001,50,0.0001,1.243616262,0.8937397035,0.8858041829,0.8924517244,3011.902832,2504.156395,4546.827096,0,True,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k50_lam0p0005,50,0.0005,2.432999903,0.8925864909,0.8835831945,0.8895521007,3069.034981,2918.646678,3552.813881,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k50_lam0p001,50,0.001,3.94233105,0.8927512356,0.8837682769,0.8896137948,3074.040718,2993.358134,3335.578827,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k50_lam0p002,50,0.002,6.935987925,0.8915980231,0.8828428651,0.8885958418,3060.263002,3018.256709,3197.480659,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k100_lam0p0001,100,0.0001,1.238616262,0.8937397035,0.8858041829,0.8924517244,3011.902832,2504.156395,4546.827096,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k100_lam0p0005,100,0.0005,2.407999903,0.8925864909,0.8835831945,0.8895521007,3069.034981,2918.646678,3552.813881,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k100_lam0p001,100,0.001,3.89233105,0.8927512356,0.8837682769,0.8896137948,3074.040718,2993.358134,3335.578827,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k100_lam0p002,100,0.002,6.835987925,0.8915980231,0.8828428651,0.8885958418,3060.263002,3018.256709,3197.480659,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k250_lam0p0001,250,0.0001,1.223616262,0.8937397035,0.8858041829,0.8924517244,3011.902832,2504.156395,4546.827096,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k250_lam0p0005,250,0.0005,2.332999903,0.8925864909,0.8835831945,0.8895521007,3069.034981,2918.646678,3552.813881,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k250_lam0p001,250,0.001,3.74233105,0.8927512356,0.8837682769,0.8896137948,3074.040718,2993.358134,3335.578827,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k250_lam0p002,250,0.002,6.535987925,0.8915980231,0.8828428651,0.8885958418,3060.263002,3018.256709,3197.480659,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k500_lam0p0001,500,0.0001,1.198616262,0.8937397035,0.8858041829,0.8924517244,3011.902832,2504.156395,4546.827096,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k500_lam0p0005,500,0.0005,2.207999903,0.8925864909,0.8835831945,0.8895521007,3069.034981,2918.646678,3552.813881,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k500_lam0p001,500,0.001,3.49233105,0.8927512356,0.8837682769,0.8896137948,3074.040718,2993.358134,3335.578827,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k500_lam0p002,500,0.002,6.035987925,0.8915980231,0.8828428651,0.8885958418,3060.263002,3018.256709,3197.480659,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k1000_lam0p0001,1000,0.0001,1.148616262,0.8937397035,0.8858041829,0.8924517244,3011.902832,2504.156395,4546.827096,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k1000_lam0p0005,1000,0.0005,1.957999903,0.8925864909,0.8835831945,0.8895521007,3069.034981,2918.646678,3552.813881,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k1000_lam0p001,1000,0.001,2.99233105,0.8927512356,0.8837682769,0.8896137948,3074.040718,2993.358134,3335.578827,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.1,raps_k1000_lam0p002,1000,0.002,5.035987925,0.8915980231,0.8828428651,0.8885958418,3060.263002,3018.256709,3197.480659,0,False,True,0.9,0.02,0.8937397035,0.8858041829,3011.902832,4546.827096
17,0.2,aps,0,0,0.9999759384,0.8736408567,0.8876550065,0.8992504164,4781.036831,6776.297057,7125.43176,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k50_lam0p0001,50,0.0001,1.270191776,0.8939044481,0.8856191005,0.8928681597,3259.525634,2775.010365,4689.115306,0,True,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k50_lam0p0005,50,0.0005,2.547856421,0.8914332784,0.8828428651,0.8898914183,3293.462151,3149.196557,3746.802221,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k50_lam0p001,50,0.001,4.178270162,0.8901153213,0.8813622062,0.8885958418,3306.933,3229.692948,3551.456931,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k50_lam0p002,50,0.002,7.421999999,0.889291598,0.8804367944,0.8877629712,3301.755321,3261.362761,3429.535443,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k100_lam0p0001,100,0.0001,1.265191776,0.8939044481,0.8856191005,0.8928681597,3259.525634,2775.010365,4689.115306,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k100_lam0p0005,100,0.0005,2.522856421,0.8914332784,0.8828428651,0.8898914183,3293.462151,3149.196557,3746.802221,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k100_lam0p001,100,0.001,4.128270162,0.8901153213,0.8813622062,0.8885958418,3306.933,3229.692948,3551.456931,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k100_lam0p002,100,0.002,7.321999999,0.889291598,0.8804367944,0.8877629712,3301.755321,3261.362761,3429.535443,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k250_lam0p0001,250,0.0001,1.250191776,0.8939044481,0.8856191005,0.8928681597,3259.525634,2775.010365,4689.115306,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k250_lam0p0005,250,0.0005,2.447856421,0.8914332784,0.8828428651,0.8898914183,3293.462151,3149.196557,3746.802221,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k250_lam0p001,250,0.001,3.978270162,0.8901153213,0.8813622062,0.8885958418,3306.933,3229.692948,3551.456931,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k250_lam0p002,250,0.002,7.021999999,0.889291598,0.8804367944,0.8877629712,3301.755321,3261.362761,3429.535443,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k500_lam0p0001,500,0.0001,1.225191776,0.8939044481,0.8856191005,0.8928681597,3259.525634,2775.010365,4689.115306,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k500_lam0p0005,500,0.0005,2.322856421,0.8914332784,0.8828428651,0.8898914183,3293.462151,3149.196557,3746.802221,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k500_lam0p001,500,0.001,3.728270162,0.8901153213,0.8813622062,0.8885958418,3306.933,3229.692948,3551.456931,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k500_lam0p002,500,0.002,6.521999999,0.889291598,0.8804367944,0.8877629712,3301.755321,3261.362761,3429.535443,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k1000_lam0p0001,1000,0.0001,1.175191776,0.8939044481,0.8856191005,0.8928681597,3259.525634,2775.010365,4689.115306,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k1000_lam0p0005,1000,0.0005,2.072856421,0.8914332784,0.8828428651,0.8898914183,3293.462151,3149.196557,3746.802221,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k1000_lam0p001,1000,0.001,3.228270162,0.8901153213,0.8813622062,0.8885958418,3306.933,3229.692948,3551.456931,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.2,raps_k1000_lam0p002,1000,0.002,5.521999999,0.889291598,0.8804367944,0.8877629712,3301.755321,3261.362761,3429.535443,0,False,True,0.9,0.02,0.8939044481,0.8856191005,3259.525634,4689.115306
17,0.3,aps,0,0,0.9999762841,0.8761120264,0.8891356654,0.9004133506,4876.510827,6846.116232,7125.846567,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k50_lam0p0001,50,0.0001,1.2663,0.9006589786,0.8935776421,0.8988833364,3256.487322,2746.238571,4690.944549,0,True,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k50_lam0p0005,50,0.0005,2.564437957,0.8978583196,0.8908014066,0.8952279598,3333.424764,3184.073293,3783.620063,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k50_lam0p001,50,0.001,4.21378826,0.8968698517,0.8898759948,0.8939786538,3345.790672,3266.027577,3588.949324,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k50_lam0p002,50,0.002,7.537406011,0.8973640857,0.8906163243,0.8944413597,3360.715713,3319.464187,3487.058486,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k100_lam0p0001,100,0.0001,1.2613,0.9006589786,0.8935776421,0.8988833364,3256.487322,2746.238571,4690.944549,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k100_lam0p0005,100,0.0005,2.539437957,0.8978583196,0.8908014066,0.8952279598,3333.424764,3184.073293,3783.620063,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k100_lam0p001,100,0.001,4.16378826,0.8968698517,0.8898759948,0.8939786538,3345.790672,3266.027577,3588.949324,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k100_lam0p002,100,0.002,7.437406011,0.8973640857,0.8906163243,0.8944413597,3360.715713,3319.464187,3487.058486,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k250_lam0p0001,250,0.0001,1.2463,0.9006589786,0.8935776421,0.8988833364,3256.487322,2746.238571,4690.944549,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k250_lam0p0005,250,0.0005,2.464437957,0.8978583196,0.8908014066,0.8952279598,3333.424764,3184.073293,3783.620063,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k250_lam0p001,250,0.001,4.01378826,0.8968698517,0.8898759948,0.8939786538,3345.790672,3266.027577,3588.949324,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
