deletion_rate,method,seed_count,observed_label_coverage_mean,observed_label_coverage_sd,full_set_coverage_mean,full_set_coverage_sd,macro_time_full_set_coverage_mean,macro_time_full_set_coverage_sd,partial_answer_recall_mean,partial_answer_recall_sd,positive_label_undercoverage_mean,positive_label_undercoverage_sd,positive_full_set_undercoverage_mean,positive_full_set_undercoverage_sd,fraction_timestamps_label_below_target_mean,fraction_timestamps_label_below_target_sd,fraction_timestamps_full_set_below_target_mean,fraction_timestamps_full_set_below_target_sd,mean_size_mean,mean_size_sd,median_size_mean,median_size_sd,p90_size_mean,p90_size_sd,full_vocabulary_set_rate_mean,full_vocabulary_set_rate_sd,pool_score_count_mean_mean,pool_score_count_mean_sd,pool_span_blocks_mean_mean,pool_span_blocks_mean_sd
0,margin_rolling,5,0.8986423464,0.0005614039973,0.8978212225,0.003647159094,0.8977428758,0.00380895559,0.9134439061,0.003740349152,0.008627575296,0.0007957778841,0.009455762727,0.002351247963,0.5698630137,0.02292219251,0.5232876712,0.05681216809,3758.959675,190.9825483,4340.311654,929.958645,7128,0,0.300170769,0.04183572348,1000,0,2.424657534,0
0,rank_rolling,5,0.899103534,0.0007583541814,0.8878577317,0.0008181747387,0.8902702121,0.0005743425361,0.8929176084,0.001169484561,0.009638763523,0.0004663155913,0.01684716761,0.0005375689694,0.4904109589,0.01500609747,0.6630136986,0.01225242727,3452.377729,211.1359321,3452.377729,211.1359321,3452.377729,211.1359321,0,0,1000,0,2.424657534,0
0,adaptive_mass_rolling,5,0.8990568971,0.0002661239323,0.8877164056,0.0004370070229,0.8897941516,0.0004194700723,0.8942200519,0.0006688430019,0.009410180085,0.0006947911519,0.01687025585,0.0008185986668,0.498630137,0.02840608405,0.6520547945,0.02077500122,3090.037328,254.94383,2733.42465,277.0631971,4448.534981,156.2393353,0,0,1000,0,2.424657534,0
0,aps_rolling,5,0.897585242,0.0007959296435,0.9020668944,0.005011634612,0.9011206467,0.00527972524,0.9136566005,0.003924275673,0.01017797933,0.0005998604802,0.008088650902,0.002803379386,0.5178082192,0.02450485455,0.4328767123,0.07904952354,4686.965834,179.5653747,6633.251054,351.8759696,7126.709058,0.634270049,0,0,1000,0,2.424657534,0
0.1,margin_rolling,5,0.898388434,0.0005756907692,0.898056766,0.002284305378,0.8981516676,0.002309928416,0.9139248523,0.002011206885,0.00843328384,0.0007594232464,0.008893606642,0.001801549139,0.5452054795,0.03410931397,0.5260273973,0.04604859264,3810.925798,124.6504226,4602.643511,655.7614565,7128,0,0.3084442351,0.01825933518,1000,0,2.424657534,0
0.1,rank_rolling,5,0.8983780703,0.0004555934219,0.8870274408,0.0007781518835,0.8896147861,0.0009650166438,0.8919065098,0.0007522783862,0.01030752163,0.0007575631326,0.01747518797,0.001198448765,0.495890411,0.03123768288,0.6465753425,0.0327050312,3417.332464,68.630231,3417.332464,68.630231,3417.332464,68.630231,0,0,1000,0,2.424657534,0
0.1,adaptive_mass_rolling,5,0.8986682558,0.0003571367176,0.8873807561,0.0002722477036,0.8893996446,0.0007113272174,0.8937264199,0.0004485191646,0.01007537303,0.0006691134274,0.01717274076,0.0008001981697,0.498630137,0.02840608405,0.6602739726,0.02634984118,3034.712178,69.83878248,2662.827164,82.59239888,4437.207766,26.87951122,0,0,1000,0,2.424657534,0
0.1,aps_rolling,5,0.8967768681,0.0008121270608,0.9014898127,0.002147458296,0.9010572029,0.002168990816,0.9135494453,0.001833226362,0.01028893187,0.000646806359,0.007862036312,0.001304845885,0.5534246575,0.03001219493,0.4657534247,0.06640657339,4743.282953,65.10653686,6742.075992,119.8249199,7126.956367,0.05168170142,0,0,1000,0,2.424657534,0
0.2,margin_rolling,5,0.898346979,0.000939301371,0.8996643505,0.002172741323,0.8997349114,0.002265303318,0.9151796929,0.001718045386,0.00847099812,0.000717998465,0.007873728729,0.001179605232,0.5397260274,0.05530583353,0.5095890411,0.06232500365,3943.020575,108.4819514,5227.643617,495.0180728,7128,0,0.3288717466,0.02743514376,1000,0,2.424657534,0
0.2,rank_rolling,5,0.8990828065,0.0005230238687,0.8878695089,0.0007456101093,0.8899143783,0.0008684558551,0.8927497159,0.0006273483148,0.01012463905,0.000472610574,0.01714820449,0.0005610751284,0.4821917808,0.01786082851,0.6273972603,0.03545802495,3502.810629,81.84731645,3502.810629,81.84731645,3502.810629,81.84731645,0,0,1000,0,2.424657534,0
