seed,deletion_rate,method,query_count,label_count,cap_size,cap_label,cap_rank,answered_count,answer_rate,abstention_rate,answered_label_count,label_answer_rate,conditional_full_set_coverage,unconditional_full_set_recall,conditional_partial_answer_recall,unconditional_partial_answer_recall,conditional_label_recall,unconditional_label_recall,candidate_load,mean_answered_set_size,top1_accuracy_on_answered,full_vocabulary_answered_rate,median_answered_set_size,p90_answered_set_size,candidate_load_saved_vs_uncapped,candidate_load_reduction_vs_uncapped,unconditional_full_set_recall_loss_vs_uncapped,conditional_full_set_coverage_delta_vs_uncapped
17,0,adaptive,33964,38596,1,1,1,453,0.01333765163,0.9866623484,622,0.01611565965,0.4701986755,0.006271346131,0.5483811626,0.007314116908,0.4758842444,0.007669188517,0.01333765163,1,0.6534216336,0,1,1,3894.148216,0.999996575,0.8929454717,-0.4290181423
17,0,adaptive,33964,38596,10,10,10,2728,0.08032033918,0.9196796608,3550,0.09197844336,0.6532258065,0.05246731834,0.708954464,0.05694346301,0.6566197183,0.06039485957,0.3437463196,4.279692082,0.6407624633,0,4,8,3893.817807,0.9999117278,0.8467494995,-0.2459910114
17,0,adaptive,33964,38596,50,50,50,5768,0.1698268755,0.8301731245,7364,0.1907969738,0.6992024965,0.1187433753,0.7477152957,0.1269821524,0.7145573058,0.1363353715,2.81380285,16.56865465,0.5138696255,0,12,41,3891.347751,0.9992774304,0.7804734425,-0.2000143213
17,0,adaptive,33964,38596,100,100,100,7576,0.2230597103,0.7769402897,9567,0.2478754275,0.7241288279,0.1615239666,0.7676764867,0.1712376947,0.7408801087,0.1836459737,6.659433518,29.85493664,0.465813094,0,20,74,3887.50212,0.9982898928,0.7376928513,-0.1750879899
17,0,adaptive,33964,38596,250,250,250,10010,0.2947238252,0.7052761748,12490,0.3236086641,0.7456543457,0.219762101,0.7857709354,0.2315854158,0.7623698959,0.2467095036,18.59462961,63.09170829,0.4182817183,0,38,176,3875.566924,0.9952249979,0.6794547168,-0.1535624722
17,0,adaptive,33964,38596,500,500,500,11970,0.3524319868,0.6475680132,15076,0.390610426,0.7520467836,0.2650453421,0.7938964806,0.279794514,0.7708278058,0.3010933776,38.98733954,110.623726,0.386299081,0,54,320,3855.174214,0.9899882583,0.6341714757,-0.1471700342
17,0,adaptive,33964,38596,1000,1000,1000,13531,0.3983924155,0.6016075845,16896,0.4377655716,0.7651319193,0.3048227535,0.8040135644,0.320312906,0.7826112689,0.3426002695,72.193499,181.2120316,0.3637572981,0,72,545,3821.968054,0.981461093,0.5943940643,-0.1340848985
17,0,adaptive,33964,38596,2000,2000,2000,15003,0.4417324226,0.5582675774,18509,0.4795574671,0.7789108845,0.344070192,0.8147464422,0.3598999197,0.7937219731,0.380635299,135.200477,306.0687196,0.3476638006,0,98,988,3758.961076,0.9652812357,0.5551466258,-0.1203059333
17,0,adaptive,33964,38596,3000,3000,3000,15352,0.4520080085,0.5479919915,18881,0.4891957716,0.781591975,0.3532858321,0.8167431522,0.3691744457,0.7958794555,0.3893408643,157.9842775,349.5165451,0.3443199583,0,105,1154,3736.177276,0.9594304768,0.5459309857,-0.1176248428
17,0,adaptive,33964,38596,4000,4000,4000,15662,0.4611353198,0.5388646802,19220,0.4979790652,0.7852126165,0.362089271,0.819806381,0.3780416776,0.7989073881,0.3978391543,191.8251089,415.9844209,0.341335717,0,113,1312.9,3702.336444,0.9507403311,0.5371275468,-0.1140042013
