deletion_rate,method,cap_label,seed_count,answer_rate_mean,conditional_full_set_coverage_mean,unconditional_full_set_recall_mean,candidate_load_mean,candidate_load_reduction_vs_uncapped_mean,mean_answered_set_size_mean,p90_answered_set_size_mean,top1_accuracy_on_answered_mean,full_vocabulary_answered_rate_mean
0.3,static,500,5,0.4837062772,0.6768923759,0.3274467083,41.92076905,0.9858221732,86.60614094,266,0.3485777487,0
0.3,static,1000,5,0.5329113179,0.6923050017,0.3689318102,77.22093982,0.9739014414,144.9042026,474.8,0.3318839007,0
0.3,static,2000,5,0.5755093629,0.7061191792,0.4063537864,137.8021081,0.9534647248,239.5777115,802.6,0.3207026906,0
0.3,static,3000,5,0.5904428218,0.7107078509,0.4196031092,173.0273702,0.9417052953,293.5101684,981.78,0.3169010673,0
0.3,static,4000,5,0.5975680132,0.713254423,0.4261924391,198.508085,0.9332314277,332.7388435,1086.32,0.3150728773,0
0.3,static,5000,5,0.6133376516,0.7196862869,0.4413791073,269.7558061,0.9089515818,440.0710988,1333.74,0.3116416195,0
0.3,static,inf,5,1,0.8266694147,0.8266694147,2965.644341,0,2965.644341,7128,0.253715699,0.2440937463
0.3,rolling,500,5,0.3277705806,0.7444366276,0.2440348604,35.22662819,0.991335782,107.4340387,314.8,0.3945886547,0
0.3,rolling,1000,5,0.3724001884,0.7567483809,0.2818631492,67.3165646,0.983435715,180.6225694,559.68,0.3721613318,0
0.3,rolling,2000,5,0.4159168531,0.7717884993,0.3210458132,129.9796196,0.9680266345,312.4703967,1033.04,0.354292279,0
0.3,rolling,3000,5,0.4310858556,0.7771585038,0.3350724296,165.8578495,0.9592149728,384.3457414,1284.48,0.3481720668,0
0.3,rolling,4000,5,0.4395948652,0.7804112182,0.3431280179,196.3614121,0.9517395815,445.7279803,1458.32,0.3451668976,0
0.3,rolling,5000,5,0.4575668355,0.7878782515,0.3605405724,277.576163,0.9317525502,606.7515278,1867.76,0.3394946984,0
0.3,rolling,inf,5,1,0.9019785655,0.9019785655,4069.435597,0,4069.435597,7128,0.253715699,0.3647096926
0.3,weighted,500,5,0.3298963609,0.7434804076,0.2453009068,35.32625132,0.9912748963,107.0439194,314.08,0.3939716351,0
0.3,weighted,1000,5,0.3745259687,0.7558040615,0.2831174184,67.36648805,0.9833542408,179.7378295,558.66,0.3714451359,0
0.3,weighted,2000,5,0.4182310682,0.7708442642,0.32243552,130.1894241,0.9678414817,311.2456906,1029.88,0.353761317,0
0.3,weighted,3000,5,0.4335472854,0.7761346448,0.3365445766,166.4109646,0.958908756,383.4742316,1284.2,0.347590202,0
0.3,weighted,4000,5,0.4420621835,0.7795802459,0.3446884937,196.9186845,0.951404383,444.5813646,1456.4,0.3447178352,0
0.3,weighted,5000,5,0.4599870451,0.7869804002,0.3620362737,278.0255447,0.931353845,604.5170587,1863.64,0.3392371705,0
0.3,weighted,inf,5,1,0.9010305029,0.9010305029,4052.500506,0,4052.500506,7128,0.253715699,0.3624543634
0.3,adaptive,500,5,0.3296961489,0.7435374631,0.2451713579,35.29959958,0.9912840041,107.0271993,313.88,0.3939945194,0
0.3,adaptive,1000,5,0.3743728654,0.7558454197,0.2830173124,67.37503828,0.9833569303,179.8337503,559,0.3714427854,0
0.3,adaptive,2000,5,0.4180897421,0.7709232496,0.3223589683,130.2364916,0.9678397789,311.4711931,1029.8,0.3538128384,0
0.3,adaptive,3000,5,0.4333882935,0.7762305251,0.3364621364,166.4153339,0.9589209213,383.6248653,1284.16,0.3476229711,0
0.3,adaptive,4000,5,0.4418855259,0.7796543736,0.3445824991,196.9116653,0.9514227683,444.7611088,1455.62,0.3447338871,0
0.3,adaptive,5000,5,0.4597691674,0.7870330605,0.361889059,277.8007361,0.9314292221,604.3106315,1861.26,0.3392969076,0
0.3,adaptive,inf,5,1,0.9010952774,0.9010952774,4053.778683,0,4053.778683,7128,0.253715699,0.3626015781
