deletion_rate,method,cap_label,cap_size,cap_rank,seed_count,query_count_mean,query_count_sd,label_count_mean,label_count_sd,answered_count_mean,answered_count_sd,answer_rate_mean,answer_rate_sd,abstention_rate_mean,abstention_rate_sd,label_answer_rate_mean,label_answer_rate_sd,conditional_full_set_coverage_mean,conditional_full_set_coverage_sd,unconditional_full_set_recall_mean,unconditional_full_set_recall_sd,conditional_partial_answer_recall_mean,conditional_partial_answer_recall_sd,unconditional_partial_answer_recall_mean,unconditional_partial_answer_recall_sd,conditional_label_recall_mean,conditional_label_recall_sd,unconditional_label_recall_mean,unconditional_label_recall_sd,candidate_load_mean,candidate_load_sd,mean_answered_set_size_mean,mean_answered_set_size_sd,median_answered_set_size_mean,median_answered_set_size_sd,p90_answered_set_size_mean,p90_answered_set_size_sd,top1_accuracy_on_answered_mean,top1_accuracy_on_answered_sd,full_vocabulary_answered_rate_mean,full_vocabulary_answered_rate_sd,candidate_load_saved_vs_uncapped_mean,candidate_load_saved_vs_uncapped_sd,candidate_load_reduction_vs_uncapped_mean,candidate_load_reduction_vs_uncapped_sd,unconditional_full_set_recall_loss_vs_uncapped_mean,unconditional_full_set_recall_loss_vs_uncapped_sd,conditional_full_set_coverage_delta_vs_uncapped_mean,conditional_full_set_coverage_delta_vs_uncapped_sd
0,static,1,1,1,5,33964,0,38596,0,1211.2,213.7210799,0.03566128842,0.006292576844,0.9643387116,0.006292576844,0.04176080423,0.009573757071,0.516929331,0.03071884159,0.01828995407,0.002479368247,0.5816542258,0.02276397059,0.02064201965,0.00312535308,0.5076018411,0.0409009104,0.02089335682,0.003661561276,0.03566128842,0.006292576844,1,0,1,0,1,0,0.6660482194,0.01073094164,0,0,2633.773584,254.7201242,0.9999865327,1.538063953e-06,0.7995230244,0.01104538056,-0.3008836474,0.04356395982
0,static,10,10,10,5,33964,0,38596,0,4745.4,726.5420153,0.1397185255,0.02139153266,0.8602814745,0.02139153266,0.1518032957,0.0273805886,0.6114685039,0.03316266151,0.08488399482,0.009484169095,0.656236453,0.02921344014,0.09120925892,0.01089746405,0.6153116935,0.03990255215,0.09255881438,0.01231131865,0.538311153,0.07269936802,3.863744637,0.09375762007,3,0,8.2,0.4472135955,0.5622608615,0.01864965465,0,0,2633.270934,254.6542835,0.9997962665,1.027679882e-05,0.7329289836,0.004059785289,-0.2063444746,0.04562719897
0,static,50,50,50,5,33964,0,38596,0,9393.4,132.3718248,0.2765693087,0.00389741564,0.7234306913,0.00389741564,0.2947559333,0.01079422971,0.6517643382,0.02428328813,0.1801907902,0.004529669707,0.6912214467,0.01951474855,0.1911170464,0.003225772707,0.6635018213,0.02962977964,0.1953259405,0.002587792157,4.276404428,0.5921067733,15.4849845,2.354183625,10.6,3.646916506,39,2.449489743,0.4419777457,0.003246446622,0,0,2629.532841,255.3027479,0.9983441724,0.0004235074039,0.6376221882,0.01734874342,-0.1660486403,0.0371946266
0,static,100,100,100,5,33964,0,38596,0,12208.4,657.3273918,0.3594511836,0.01935365068,0.6405488164,0.01935365068,0.382246865,0.01381139089,0.6647740931,0.01746880285,0.2392179955,0.01937896171,0.7025372908,0.01436821403,0.2527420905,0.01887700057,0.6786103216,0.02305972857,0.2596486683,0.01845631716,10.3485043,2.266017074,28.59690217,4.504454865,18.4,7.26636085,74.6,4.774934555,0.3978015447,0.009426979414,0,0,2623.460741,256.9447245,0.9959663664,0.001377614059,0.5785949829,0.03232964549,-0.1530388854,0.03041899802
0,static,250,250,250,5,33964,0,38596,0,16058.6,1467.507172,0.4728123896,0.043207725,0.5271876104,0.043207725,0.5035599544,0.04090214883,0.6811306334,0.0107290453,0.3224001884,0.03465865475,0.7181167762,0.008654453011,0.3398034515,0.0350146459,0.6961446129,0.01607618515,0.3510674681,0.03705690033,28.60668355,5.856748804,60.03974356,6.437825932,33.6,10.43072385,165.2,5.357238094,0.3552540875,0.01323276727,0,0,2605.202562,260.5671504,0.9888608234,0.003615916659,0.49541279,0.04759445219,-0.136682345,0.02336228426
0,static,500,500,500,5,33964,0,38596,0,18208.4,1553.190523,0.5361088211,0.04573049472,0.4638911789,0.04573049472,0.5684889626,0.04371673139,0.6935623217,0.005978822703,0.3720115416,0.03461016609,0.7286797757,0.004919577224,0.3907692827,0.03514059652,0.7082411972,0.01074865254,0.4029899471,0.03721951812,51.0675421,6.777245539,94.97269268,4.920566319,45.4,10.69111781,274.96,10.91366116,0.3360351332,0.01214516234,0,0,2582.741703,261.4188434,0.980238633,0.004816773621,0.4458014368,0.04757896319,-0.1242506568,0.01822433694
0,static,1000,1000,1000,5,33964,0,38596,0,19898.2,1417.94471,0.5858615004,0.04174846042,0.4141384996,0.04174846042,0.6161830241,0.03987492416,0.705140085,0.00274854474,0.4131433282,0.02994213055,0.7381256539,0.003255201093,0.4324180873,0.03040354317,0.7184239424,0.006747428968,0.4428852731,0.03277733008,86.53303498,4.622567664,147.9072229,5.545158267,56.8,9.257429449,452,44.55894972,0.3224519705,0.01025989359,0,0,2547.27621,258.5172423,0.9667605336,0.005018883706,0.4046696502,0.04287851117,-0.1126728934,0.01388633588
0,static,2000,2000,2000,5,33964,0,38596,0,21288,1244.364898,0.6267812978,0.03663776052,0.3732187022,0.03663776052,0.6552181573,0.03498006598,0.7155394369,0.00377109099,0.4484159699,0.02465451975,0.7469258774,0.004903852817,0.4680567047,0.02511655361,0.7276074565,0.004028787894,0.476831796,0.02766516776,144.9897244,4.549312711,232.1560276,18.30738338,68.2,7.395944835,727.74,110.8933632,0.3130733298,0.008055447306,0,0,2488.819521,251.4577104,0.9446123944,0.004462582045,0.3693970086,0.0375209656,-0.1022735416,0.01058216949
0,static,3000,3000,3000,5,33964,0,38596,0,21616.4,1301.033935,0.6364503592,0.03830626354,0.3635496408,0.03830626354,0.6643330915,0.0364098148,0.7177908865,0.003311160277,0.4567659875,0.02593050237,0.7488277482,0.004563284644,0.4764842554,0.02636761522,0.7295623358,0.003876207057,0.4847652606,0.02879960019,167.1513485,1.969009764,263.2844539,13.91046625,71,7.314369419,820.6,108.4748819,0.3115855775,0.008150327188,0,0,2466.657897,255.7799283,0.9359801973,0.007261307093,0.3610469909,0.0388625255,-0.1000220919,0.01065331722
0,static,4000,4000,4000,5,33964,0,38596,0,21830.8,1231.838139,0.6427629255,0.03626893589,0.3572370745,0.03626893589,0.6705668981,0.03435438429,0.7201141382,0.004120155199,0.4627723472,0.02404903018,0.7508628611,0.005290497709,0.4825068087,0.02450051406,0.7317132789,0.003341616911,0.4907296093,0.02684557583,190.6383995,8.479544093,297.7541952,26.72133089,72.8,6.457553716,894.48,135.1016358,0.3104677292,0.00757548413,0,0,2443.170846,248.0680874,0.9272535888,0.004992011997,0.3550406313,0.03691684168,-0.09769884021,0.009863992684
