seed,deletion_rate,method,timestamp_count,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,macro_time_full_set_coverage,partial_answer_recall,positive_label_undercoverage,positive_full_set_undercoverage,fraction_timestamps_label_below_target,fraction_timestamps_full_set_below_target,mean_size,median_size,p90_size,full_vocabulary_set_rate,pool_score_count_mean,pool_span_blocks_mean
17,0,margin_static,73,38596,33964,0.825759146,0.8278471323,0.8244397609,0.8478496139,0.07802817733,0.075845529,0.9863013699,0.9863013699,2821.682605,1027.98098,7128,0.2212048051,31419.61644,58
17,0,margin_rolling,73,38596,33964,0.898745984,0.8996584619,0.8999650582,0.9156427651,0.007808384137,0.007609165514,0.5890410959,0.4931506849,3904.85676,5143.520168,7128,0.3326757743,1000,2.424657534
17,0,rank_static,73,38596,33964,0.9040574153,0.893269344,0.8962280932,0.8974864843,0.006584997885,0.01231668371,0.4109589041,0.5890410959,3547,3547,3547,0,31419.61644,58
17,0,rank_expanding,73,38596,33964,0.9032542232,0.8923566129,0.8952552649,0.8965884746,0.00697984544,0.01284280854,0.4383561644,0.6301369863,3535.472618,3535.472618,3535.472618,0,31419.61644,58
17,0,rank_rolling,73,38596,33964,0.898745984,0.8872040985,0.8906687521,0.8920199118,0.009772179892,0.0177023342,0.4931506849,0.6712328767,3354.147126,3354.147126,3354.147126,0,1000,2.424657534
29,0,margin_static,73,38596,33964,0.8242563996,0.8281710046,0.8243734904,0.8468992028,0.07982568114,0.07579952966,1,0.9726027397,2866.949947,1064.57134,7128,0.2302732305,31419.61644,58
29,0,margin_rolling,73,38596,33964,0.8988237123,0.9012483806,0.901110411,0.9162437282,0.008967514429,0.007758439944,0.5890410959,0.4657534247,3953.910994,5229.891856,7128,0.3430102461,1000,2.424657534
29,0,rank_static,73,38596,33964,0.9056378899,0.8951831351,0.8974512055,0.8989796619,0.006563416651,0.01157923554,0.4109589041,0.5068493151,3529,3529,3529,0,31419.61644,58
29,0,rank_expanding,73,38596,33964,0.9046792414,0.8942115181,0.8964868817,0.8979442519,0.006969664856,0.01204663201,0.4109589041,0.5068493151,3476.544164,3476.544164,3476.544164,0,31419.61644,58
29,0,rank_rolling,73,38596,33964,0.8984091616,0.8872040985,0.8898156886,0.8915237282,0.01035267807,0.01677717554,0.4657534247,0.6575342466,3284.538865,3284.538865,3284.538865,0,1000,2.424657534
43,0,margin_static,73,38596,33964,0.8049279718,0.7961076434,0.7930157909,0.8164216099,0.09931442489,0.1069842091,1,1,2222.18658,278.8751619,7126.911447,0.1589624308,31419.61644,58
43,0,margin_rolling,73,38596,33964,0.8976577884,0.891797197,0.8913694705,0.9070160188,0.009842408533,0.01336696608,0.5616438356,0.6164383562,3466.84036,2934.589683,7128,0.2367212342,1000,2.424657534
43,0,rank_static,73,38596,33964,0.897631879,0.8862913673,0.8880796389,0.8924184197,0.008866655904,0.01630263475,0.5342465753,0.7397260274,3777,3777,3777,0,31419.61644,58
43,0,rank_expanding,73,38596,33964,0.8997823609,0.8886762454,0.890563905,0.8946511759,0.00769631204,0.01465991909,0.5068493151,0.7260273973,3852.286892,3852.286892,3852.286892,0,31419.61644,58
43,0,rank_rolling,73,38596,33964,0.8988496217,0.8877929572,0.8895699111,0.8937659249,0.009393018322,0.0167102222,0.4931506849,0.6438356164,3812.230008,3812.230008,3812.230008,0,1000,2.424657534
