seed,deletion_rate,method,timestamp,threshold,threshold_units,pool_score_count,pool_span_blocks,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,partial_answer_recall,mean_size,median_size,p90_size,singleton_rate,full_vocabulary_set_rate
17,0,margin_static,292,14.88379383,score_margin,11270,22,730,658,0.8835616438,0.8920972644,0.9023302938,3582.006079,3436,7128,0.01367781155,0.3054711246
17,0,margin_rolling,292,14.94489861,score_margin,1000,3,730,658,0.8863013699,0.8936170213,0.9043566363,3600.414894,4028,7128,0.01367781155,0.3085106383
17,0,rank_static,292,3547,rank,11270,22,730,658,0.9,0.8951367781,0.8981762918,3547,3547,3547,0,0
17,0,rank_expanding,292,3547,rank,11270,22,730,658,0.9,0.8951367781,0.8981762918,3547,3547,3547,0,0
17,0,rank_rolling,292,2598,rank,1000,3,730,658,0.8602739726,0.8571428571,0.8624620061,2598,2598,2598,0,0
17,0,margin_static,293,14.88379383,score_margin,12000,23,658,581,0.9164133739,0.9208261618,0.934595525,3834.69191,5213,7128,0.008605851979,0.3166953528
17,0,margin_rolling,293,15.21575308,score_margin,1000,2,658,581,0.9209726444,0.9242685026,0.9388984509,3948.359725,5721,7128,0.008605851979,0.3253012048
17,0,rank_static,293,3547,rank,12000,23,658,581,0.8799392097,0.8691910499,0.8780837636,3547,3547,3547,0,0
17,0,rank_expanding,293,3547,rank,12000,23,658,581,0.8799392097,0.8691910499,0.8780837636,3547,3547,3547,0,0
17,0,rank_rolling,293,3067,rank,1000,2,658,581,0.8556231003,0.8416523236,0.8505450373,3067,3067,3067,0,0
17,0,margin_static,294,14.88379383,score_margin,12658,24,618,538,0.8446601942,0.8364312268,0.8649628253,3704.864312,4256.5,7128,0.01858736059,0.312267658
17,0,margin_rolling,294,15.27624702,score_margin,1000,2,618,538,0.857605178,0.8513011152,0.8770446097,3841.830855,5077.5,7128,0.01858736059,0.3271375465
17,0,rank_static,294,3547,rank,12658,24,618,538,0.8689320388,0.8513011152,0.8559479554,3547,3547,3547,0,0
17,0,rank_expanding,294,3581,rank,12658,24,618,538,0.8689320388,0.8513011152,0.8559479554,3581,3581,3581,0,0
17,0,rank_rolling,294,3871,rank,1000,2,618,538,0.8737864078,0.8568773234,0.8615241636,3871,3871,3871,0,0
17,0,margin_static,295,14.88379383,score_margin,13276,25,666,578,0.8858858859,0.8875432526,0.9095155709,3645.058824,3212,7128,0.01384083045,0.2993079585
17,0,margin_rolling,295,16.07439041,score_margin,1000,2,666,578,0.9114114114,0.9134948097,0.9351787774,4119.16609,6059.5,7128,0.006920415225,0.3425605536
17,0,rank_static,295,3547,rank,13276,25,666,578,0.9084084084,0.8944636678,0.8985005767,3547,3547,3547,0,0
17,0,rank_expanding,295,3659,rank,13276,25,666,578,0.9129129129,0.8996539792,0.9025374856,3659,3659,3659,0,0
17,0,rank_rolling,295,4432,rank,1000,2,666,578,0.9249249249,0.9134948097,0.9152249135,4432,4432,4432,0,0
17,0,margin_static,296,14.88379383,score_margin,13942,26,516,466,0.8410852713,0.8412017167,0.8593705293,3522.665236,2020,7128,0.008583690987,0.3025751073
17,0,margin_rolling,296,16.17732906,score_margin,1000,2,516,466,0.8662790698,0.8605150215,0.8806151645,3965.328326,6079.5,7128,0.00643776824,0.3519313305
17,0,rank_static,296,3547,rank,13942,26,516,466,0.9205426357,0.9120171674,0.9141630901,3547,3547,3547,0,0
17,0,rank_expanding,296,3616,rank,13942,26,516,466,0.9244186047,0.9163090129,0.9184549356,3616,3616,3616,0,0
17,0,rank_rolling,296,3508,rank,1000,2,516,466,0.9205426357,0.9120171674,0.9141630901,3508,3508,3508,0,0
17,0,margin_static,297,14.88379383,score_margin,14458,27,292,254,0.8287671233,0.8503937008,0.8637795276,3006.232283,826,7128,0.01181102362,0.2401574803
17,0,margin_rolling,297,16.52709749,score_margin,1000,2,292,254,0.8767123288,0.8937007874,0.9080052493,3522.188976,2011.5,7128,0.007874015748,0.2952755906
17,0,rank_static,297,3547,rank,14458,27,292,254,0.904109589,0.8937007874,0.8989501312,3547,3547,3547,0,0
17,0,rank_expanding,297,3583,rank,14458,27,292,254,0.904109589,0.8937007874,0.8989501312,3583,3583,3583,0,0
17,0,rank_rolling,297,3104,rank,1000,2,292,254,0.8835616438,0.8700787402,0.8772965879,3104,3104,3104,0,0
17,0,margin_static,298,14.88379383,score_margin,14750,28,252,224,0.8611111111,0.8616071429,0.8854166667,3177.776786,1128,7128,0.01339285714,0.2991071429
17,0,margin_rolling,298,17.46262169,score_margin,1000,3,252,224,0.9404761905,0.9464285714,0.9583333333,4096.803571,6479,7128,0.004464285714,0.3616071429
17,0,rank_static,298,3547,rank,14750,28,252,224,0.873015873,0.8571428571,0.8638392857,3547,3547,3547,0,0
17,0,rank_expanding,298,3581,rank,14750,28,252,224,0.873015873,0.8571428571,0.8638392857,3581,3581,3581,0,0
17,0,rank_rolling,298,3330,rank,1000,3,252,224,0.8611111111,0.84375,0.8504464286,3330,3330,3330,0,0
17,0,margin_static,299,14.88379383,score_margin,15002,29,702,615,0.8646723647,0.8764227642,0.8929694154,3446.330081,2035,7128,0.0162601626,0.243902439
17,0,margin_rolling,299,16.71952009,score_margin,1000,3,702,615,0.8945868946,0.9040650407,0.9210762679,4047.84065,6389,7128,0.01138211382,0.3284552846
17,0,rank_static,299,3547,rank,15002,29,702,615,0.9387464387,0.9300813008,0.9300813008,3547,3547,3547,0,0
17,0,rank_expanding,299,3594,rank,15002,29,702,615,0.9387464387,0.9300813008,0.9300813008,3594,3594,3594,0,0
17,0,rank_rolling,299,3583,rank,1000,3,702,615,0.9387464387,0.9300813008,0.9300813008,3583,3583,3583,0,0
17,0,margin_static,300,14.88379383,score_margin,15704,30,664,573,0.8539156627,0.8638743455,0.8924762459,3606.317627,3807,7128,0.02443280977,0.2897033159
17,0,margin_rolling,300,16.71952009,score_margin,1000,3,664,573,0.8915662651,0.8935427574,0.9185573008,4222.247818,6816,7128,0.01396160558,0.3821989529
17,0,rank_static,300,3547,rank,15704,30,664,573,0.8945783133,0.8813263525,0.8880162885,3547,3547,3547,0,0
17,0,rank_expanding,300,3531,rank,15704,30,664,573,0.8945783133,0.8813263525,0.8880162885,3531,3531,3531,0,0
