deletion_rate,method,seed_count,observed_label_coverage_mean,observed_label_coverage_sd,full_set_coverage_mean,full_set_coverage_sd,macro_time_full_set_coverage_mean,macro_time_full_set_coverage_sd,partial_answer_recall_mean,partial_answer_recall_sd,positive_label_undercoverage_mean,positive_label_undercoverage_sd,positive_full_set_undercoverage_mean,positive_full_set_undercoverage_sd,fraction_timestamps_label_below_target_mean,fraction_timestamps_label_below_target_sd,fraction_timestamps_full_set_below_target_mean,fraction_timestamps_full_set_below_target_sd,mean_size_mean,mean_size_sd,median_size_mean,median_size_sd,p90_size_mean,p90_size_sd,full_vocabulary_set_rate_mean,full_vocabulary_set_rate_sd,pool_score_count_mean_mean,pool_score_count_mean_sd,pool_span_blocks_mean_mean,pool_span_blocks_mean_sd
0,margin_static,5,0.818203959,0.00823835245,0.8178129784,0.01305892123,0.8142306121,0.01283020048,0.8376367502,0.01269393395,0.08583718431,0.008353786882,0.08588981464,0.01273638992,0.9917808219,0.007503048733,0.9890410959,0.01146109625,2633.809251,254.7255377,734.0020846,323.2018247,7127.775838,0.4832819321,0.2009303969,0.02767408912,31419.61644,0,58,0
0,margin_rolling,5,0.8986423464,0.0005614039973,0.8978212225,0.003647159094,0.8977428758,0.00380895559,0.9134439061,0.003740349152,0.008627575296,0.0007957778841,0.009455762727,0.002351247963,0.5698630137,0.02292219251,0.5232876712,0.05681216809,3758.959675,190.9825483,4340.311654,929.958645,7128,0,0.300170769,0.04183572348,1000,0,2.424657534,0
0,rank_static,5,0.904964245,0.004825242681,0.8944823931,0.005413154706,0.8964469052,0.005254019892,0.8990195034,0.004709208712,0.006521468221,0.001555105981,0.01186408357,0.002904085582,0.402739726,0.08909376735,0.5671232877,0.1123788729,3670.6,121.7324936,3670.6,121.7324936,3670.6,121.7324936,0,0,31419.61644,0,58,0
0,rank_expanding,5,0.9033941341,0.002243118475,0.8927747026,0.002560130896,0.8947943847,0.002524250974,0.8973734468,0.001937650983,0.007115388801,0.0003975992293,0.01273221508,0.001248240186,0.4301369863,0.04705633983,0.597260274,0.08909376735,3610.315028,145.2487078,3610.315028,145.2487078,3610.315028,145.2487078,0,0,31419.61644,0,58,0
0,rank_rolling,5,0.899103534,0.0007583541814,0.8878577317,0.0008181747387,0.8902702121,0.0005743425361,0.8929176084,0.001169484561,0.009638763523,0.0004663155913,0.01684716761,0.0005375689694,0.4904109589,0.01500609747,0.6630136986,0.01225242727,3452.377729,211.1359321,3452.377729,211.1359321,3452.377729,211.1359321,0,0,1000,0,2.424657534,0
0.1,margin_static,5,0.8197637061,0.002025960968,0.8204687316,0.00405643148,0.8164723555,0.004006186312,0.8405402925,0.003480338154,0.08466400583,0.002038718657,0.08359554822,0.003956756582,0.9890410959,0.01146109625,0.9890410959,0.006126213637,2701.212289,105.7770494,792.8492875,196.4755273,7127.986825,0.01923379611,0.2061064657,0.01167668528,31419.61644,0,58,0
0.1,margin_rolling,5,0.898388434,0.0005756907692,0.898056766,0.002284305378,0.8981516676,0.002309928416,0.9139248523,0.002011206885,0.00843328384,0.0007594232464,0.008893606642,0.001801549139,0.5452054795,0.03410931397,0.5260273973,0.04604859264,3810.925798,124.6504226,4602.643511,655.7614565,7128,0,0.3084442351,0.01825933518,1000,0,2.424657534,0
0.1,rank_static,5,0.903264587,0.001746494836,0.8925744906,0.001826838905,0.8945413325,0.001956798751,0.8969158474,0.00170200203,0.007549188299,0.0007482990466,0.01319873715,0.0009448545086,0.4246575342,0.03874557705,0.5835616438,0.03438328876,3562.8,39.21351808,3562.8,39.21351808,3562.8,39.21351808,0,0,31419.61644,0,58,0
0.1,rank_expanding,5,0.902549487,0.001172154332,0.8917618655,0.001167255676,0.8937677965,0.001290022404,0.8962195639,0.001166666893,0.007850482187,0.0007159472532,0.01370569335,0.0008098583326,0.4301369863,0.02670354615,0.6054794521,0.02450485455,3545.607514,55.19339884,3545.607514,55.19339884,3545.607514,55.19339884,0,0,31419.61644,0,58,0
0.1,rank_rolling,5,0.8983780703,0.0004555934219,0.8870274408,0.0007781518835,0.8896147861,0.0009650166438,0.8919065098,0.0007522783862,0.01030752163,0.0007575631326,0.01747518797,0.001198448765,0.495890411,0.03123768288,0.6465753425,0.0327050312,3417.332464,68.630231,3417.332464,68.630231,3417.332464,68.630231,0,0,1000,0,2.424657534,0
0.2,margin_static,5,0.8173696756,0.006301195609,0.8194971146,0.007717493777,0.8158637066,0.007982960202,0.8395491608,0.006881350628,0.08671078703,0.006657452325,0.08423249031,0.007955200545,0.9945205479,0.007503048733,0.9890410959,0.006126213637,2793.230503,149.7758248,970.0351902,342.8171258,7127.997435,0.005735668419,0.2187433753,0.02023397984,31419.61644,0,58,0
0.2,margin_rolling,5,0.898346979,0.000939301371,0.8996643505,0.002172741323,0.8997349114,0.002265303318,0.9151796929,0.001718045386,0.00847099812,0.000717998465,0.007873728729,0.001179605232,0.5397260274,0.05530583353,0.5095890411,0.06232500365,3943.020575,108.4819514,5227.643617,495.0180728,7128,0,0.3288717466,0.02743514376,1000,0,2.424657534,0
0.2,rank_static,5,0.9047155146,0.003136142463,0.8941644094,0.003562388853,0.8957620492,0.003741686519,0.8985943216,0.003421481589,0.006831450527,0.001106570742,0.01223420061,0.00208025147,0.3726027397,0.0426641411,0.5643835616,0.09608590639,3672.6,104.5552486,3672.6,104.5552486,3672.6,104.5552486,0,0,31419.61644,0,58,0
0.2,rank_expanding,5,0.9029899471,0.001622331156,0.8922447297,0.001851443587,0.8939217213,0.002075109472,0.8967943205,0.001816334054,0.007559239992,0.0005159137897,0.01337449921,0.001133113398,0.4082191781,0.0645436657,0.6054794521,0.06526646164,3613.095266,69.79298123,3613.095266,69.79298123,3613.095266,69.79298123,0,0,31419.61644,0,58,0
0.2,rank_rolling,5,0.8990828065,0.0005230238687,0.8878695089,0.0007456101093,0.8899143783,0.0008684558551,0.8927497159,0.0006273483148,0.01012463905,0.000472610574,0.01714820449,0.0005610751284,0.4821917808,0.01786082851,0.6273972603,0.03545802495,3502.810629,81.84731645,3502.810629,81.84731645,3502.810629,81.84731645,0,0,1000,0,2.424657534,0
0.3,margin_static,5,0.8234842989,0.005578485396,0.8266694147,0.006250022496,0.8227530028,0.006722095195,0.846309213,0.005880149379,0.08076486755,0.006064641158,0.07736677183,0.006660350913,0.9945205479,0.007503048733,0.9890410959,0.006126213637,2965.644512,113.3246961,1351.16577,262.8311969,7128,0,0.2440937463,0.02475119626,31419.61644,0,58,0
0.3,margin_rolling,5,0.8997823609,0.000453969724,0.9019785655,0.001500492624,0.9016570838,0.001581539853,0.9174103677,0.001192151307,0.008501638659,0.0007700849678,0.007258464284,0.001006953384,0.5178082192,0.05513592273,0.4630136986,0.06738835001,4069.435473,84.54812469,5746.219426,282.0609918,7128,0,0.3647096926,0.02806946162,1000,0,2.424657534,0
0.3,rank_static,5,0.9024769406,0.00249626209,0.8917500883,0.002620802038,0.8933007138,0.00295607205,0.8961302864,0.002495882234,0.007677672079,0.001645218812,0.0135644712,0.001916435901,0.4301369863,0.06247536576,0.6136986301,0.06668855586,3790.2,176.5565065,3790.2,176.5565065,3790.2,176.5565065,0,0,31419.61644,0,58,0
0.3,rank_expanding,5,0.9019535703,0.00163079171,0.8911847839,0.001699727412,0.8926926542,0.001870775547,0.8955538918,0.001668400595,0.007975957347,0.001197139333,0.01396823783,0.001172366797,0.4602739726,0.04177520735,0.6136986301,0.04784725807,3773.63121,205.7825441,3773.63121,205.7825441,3773.63121,205.7825441,0,0,31419.61644,0,58,0
0.3,rank_rolling,5,0.8991812623,0.001385899731,0.8880520551,0.001604221469,0.8898856594,0.001526385351,0.8925682796,0.001641165765,0.009951104667,0.001452625917,0.01682894809,0.001776613518,0.4876712329,0.02077500122,0.6164383562,0.03212613534,3668.160876,186.0276626,3668.160876,186.0276626,3668.160876,186.0276626,0,0,1000,0,2.424657534,0
