seed,deletion_rate,method,query_count,coverage,macro_time_coverage,positive_undercoverage,fraction_timestamps_below_target,mean_size,median_size,p90_size
17,0,static,38596,0.825759146,0.8221966634,0.07802817733,0.9863013699,2611.283345,559.9720696,7128
29,0,static,38596,0.8242563996,0.8201743189,0.07982568114,1,2660.431133,576.3560991,7128
43,0,static,38596,0.8049279718,0.8006855751,0.09931442489,1,2049.033656,204.7024303,7126.228081
59,0,static,38596,0.8188931495,0.8144968994,0.08560302977,0.9863013699,2419.567649,383.6945538,7127.977645
71,0,static,38596,0.8171831278,0.8136188029,0.08641460841,0.9863013699,2447.113198,396.0128511,7127.975034
17,0,expanding,38596,0.8592600269,0.8578277208,0.04241793855,0.9726027397,3014.141025,1028.090994,7128
29,0,expanding,38596,0.8590268422,0.8574343037,0.04256569627,0.9863013699,3072.899601,1107.276739,7128
43,0,expanding,38596,0.8476266971,0.8453724886,0.05462751144,1,2462.290237,355.282335,7127.969085
59,0,expanding,38596,0.8555290704,0.8537264237,0.04685770348,0.9589041096,2821.126412,689.1886206,7128
71,0,expanding,38596,0.8555808892,0.8537535098,0.04647682873,0.9589041096,2832.730879,698.3347497,7128
17,0,rolling_count_250,38596,0.9112602342,0.9108008914,0.006426943451,0.3150684932,3899.983418,5009.668541,7128
29,0,rolling_count_250,38596,0.9133848067,0.9118789235,0.005365574498,0.301369863,3967.899368,5181.959219,7128
43,0,rolling_count_250,38596,0.9048346979,0.9037602663,0.008666070248,0.4246575342,3389.662089,2629.009016,7128
59,0,rolling_count_250,38596,0.9107420458,0.9099723275,0.007017523082,0.3424657534,3736.778397,4057.61952,7128
71,0,rolling_count_250,38596,0.9099906726,0.9095015072,0.006435851608,0.3835616438,3722.522619,3981.170795,7128
17,0,rolling_count_500,38596,0.8982796145,0.8986974031,0.01029118055,0.5342465753,3666.881853,3877.24474,7128
29,0,rolling_count_500,38596,0.9011296507,0.9009100267,0.008689186654,0.4794520548,3745.363846,4194.557856,7128
43,0,rolling_count_500,38596,0.8984609804,0.89801229,0.009740243564,0.5205479452,3250.90227,2018.457327,7128
59,0,rolling_count_500,38596,0.8994455384,0.8988377386,0.009950424767,0.4794520548,3519.25925,3064.195538,7128
