seed,deletion_rate,method,timestamp,query_count,threshold,pool_score_count,pool_span_blocks,selected_half_life,coverage,mean_size,median_size,p90_size
17,0,static,292,730,14.88379383,11270,22,,0.8835616438,3438.8,1730.5,7128
17,0,expanding,292,730,14.88379383,11270,22,,0.8835616438,3438.8,1730.5,7128
17,0,rolling_count_250,292,730,13.6179738,250,1,,0.8534246575,3056.819178,703,7128
17,0,weighted_count_250,292,730,13.37440872,250,1,7,0.8520547945,2984.121918,610.5,7128
17,0,rolling_count_500,292,730,14.68161321,500,2,,0.8767123288,3382.628767,1451.5,7128
17,0,weighted_count_500,292,730,14.64619446,500,2,7,0.8767123288,3374.436986,1423.5,7128
17,0,rolling_count_1000,292,730,14.94489861,1000,3,,0.8863013699,3455.908219,1845.5,7128
17,0,weighted_count_1000,292,730,14.89706326,1000,3,inf,0.8849315068,3442.776712,1758,7128
17,0,rolling_count_2000,292,730,14.86205244,2000,4,,0.8835616438,3431.29726,1672,7128
17,0,weighted_count_2000,292,730,14.8013392,2000,4,7,0.8808219178,3414.153425,1576.5,7128
17,0,time_window_3,292,730,14.69667792,1412,3,,0.8767123288,3386.083562,1468.5,7128
17,0,time_window_7,292,730,15.01454413,4006,7,,0.8863013699,3476.928767,1957,7128
17,0,time_window_14,292,730,14.99820423,7410,14,,0.8863013699,3472.247945,1942.5,7128
17,0,time_window_30,292,730,14.88379383,11270,22,,0.8835616438,3438.8,1730.5,7128
17,0,static,293,658,14.88379383,12000,23,,0.9164133739,3622.474164,4290,7128
17,0,expanding,293,658,14.91224957,12000,23,,0.9179331307,3630.267477,4338,7128
17,0,rolling_count_250,293,658,19.67882615,250,1,,0.9604863222,4920.244681,7127,7128
17,0,weighted_count_250,293,658,19.57999492,250,1,7,0.9604863222,4896.901216,7126,7128
17,0,rolling_count_500,293,658,17.26328087,500,1,,0.9376899696,4355.699088,6924,7128
17,0,weighted_count_500,293,658,17.10452747,500,1,7,0.9361702128,4320.731003,6886.5,7128
17,0,rolling_count_1000,293,658,15.21575308,1000,2,,0.9209726444,3731.153495,4828.5,7128
17,0,weighted_count_1000,293,658,15.17811394,1000,2,inf,0.9209726444,3718.028875,4770.5,7128
17,0,rolling_count_2000,293,658,15.01837826,2000,4,,0.9194528875,3663.6231,4536.5,7128
17,0,weighted_count_2000,293,658,15.02737683,2000,4,7,0.9209726444,3667.62766,4552,7128
17,0,time_window_3,293,658,15.27222514,1498,3,,0.9209726444,3747.092705,4913.5,7128
17,0,time_window_7,293,658,15.05601788,4144,7,,0.9209726444,3678.589666,4588.5,7128
17,0,time_window_14,293,658,14.99603462,7564,14,,0.9179331307,3654.527356,4502.5,7128
17,0,time_window_30,293,658,14.91224957,12000,23,,0.9179331307,3630.267477,4338,7128
17,0,static,294,618,14.88379383,12658,24,,0.8446601942,3417.985437,1522,7128
17,0,expanding,294,618,14.88831472,12658,24,,0.8446601942,3419.245955,1526,7128
17,0,rolling_count_250,294,618,14.99833488,250,1,,0.8462783172,3453.97411,1644,7128
17,0,weighted_count_250,294,618,14.70889091,250,1,7,0.8414239482,3359.242718,1357.5,7128
17,0,rolling_count_500,294,618,14.1512593,500,1,,0.8365695793,3163.273463,953,7128
17,0,weighted_count_500,294,618,13.93848705,500,1,7,0.8284789644,3105.731392,811.5,7128
17,0,rolling_count_1000,294,618,15.27624702,1000,2,,0.857605178,3544.414239,2904,7128
17,0,weighted_count_1000,294,618,15.17811394,1000,2,inf,0.854368932,3510.805825,2057,7128
17,0,rolling_count_2000,294,618,14.83325934,2000,4,,0.8446601942,3402.770227,1469.5,7128
17,0,weighted_count_2000,294,618,14.761374,2000,4,7,0.8430420712,3379.563107,1398.5,7128
17,0,time_window_3,294,618,14.70889091,1756,3,,0.8414239482,3359.242718,1357.5,7128
17,0,time_window_7,294,618,14.83960152,4122,7,,0.8446601942,3404.713592,1483,7128
17,0,time_window_14,294,618,14.9090271,7582,14,,0.8446601942,3425.527508,1554,7128
17,0,time_window_30,294,618,14.88831472,12658,24,,0.8446601942,3419.245955,1526,7128
17,0,static,295,666,14.88379383,13276,25,,0.8858858859,3323.768769,1422,7128
17,0,expanding,295,666,15.01454413,13276,25,,0.8888888889,3373.399399,1542.5,7128
17,0,rolling_count_250,295,666,18.24593973,250,1,,0.9339339339,4541.747748,6986,7128
17,0,weighted_count_250,295,666,17.87229586,250,1,7,0.9309309309,4421.078078,6874,7128
17,0,rolling_count_500,295,666,16.29386139,500,1,,0.9174174174,3877.336336,4857,7128
17,0,weighted_count_500,295,666,16.24258471,500,1,7,0.9174174174,3859.63964,4760,7128
17,0,rolling_count_1000,295,666,16.07439041,1000,2,,0.9114114114,3790.058559,4484,7128
17,0,weighted_count_1000,295,666,16.03531551,1000,2,inf,0.9084084084,3773.555556,4422,7128
17,0,rolling_count_2000,295,666,15.69780385,2000,3,,0.9054054054,3639.863363,3843.5,7128
17,0,weighted_count_2000,295,666,15.73753548,2000,3,7,0.9069069069,3655.671171,3903.5,7128
17,0,time_window_3,295,666,15.73753548,2006,3,,0.9069069069,3655.671171,3903.5,7128
17,0,time_window_7,295,666,15.28834105,4038,7,,0.8903903904,3489.403904,1903.5,7128
17,0,time_window_14,295,666,15.05831337,7616,14,,0.8888888889,3391.037538,1616.5,7128
17,0,time_window_30,295,666,15.01454413,13276,25,,0.8888888889,3373.399399,1542.5,7128
17,0,static,296,516,14.88379383,13942,26,,0.8410852713,3292.841085,1293.5,7128
17,0,expanding,296,516,15.03621769,13942,26,,0.8468992248,3337.300388,1401,7128
17,0,rolling_count_250,296,516,16.92406654,250,1,,0.8914728682,3929.796512,5995.5,7128
17,0,weighted_count_250,296,516,16.36480618,250,1,7,0.8759689922,3779.484496,5044.5,7128
17,0,rolling_count_500,296,516,15.56494045,500,1,,0.8546511628,3517.610465,2052,7128
17,0,weighted_count_500,296,516,15.46395755,500,1,7,0.8546511628,3488.255814,1883,7128
17,0,rolling_count_1000,296,516,16.17732906,1000,2,,0.8662790698,3723.532946,4641.5,7128
17,0,weighted_count_1000,296,516,16.17708397,1000,2,inf,0.8662790698,3723.418605,4641.5,7128
17,0,rolling_count_2000,296,516,15.62614155,2000,4,,0.8585271318,3538.414729,2149,7128
17,0,weighted_count_2000,296,516,15.62614155,2000,4,7,0.8585271318,3538.414729,2149,7128
17,0,time_window_3,296,516,15.59846044,1942,3,,0.8585271318,3529.463178,2101.5,7128
17,0,time_window_7,296,516,15.31556115,4084,7,,0.8527131783,3435.294574,1712,7128
17,0,time_window_14,296,516,15.18854952,7682,14,,0.8488372093,3392.476744,1611,7128
17,0,time_window_30,296,516,15.03621769,13942,26,,0.8468992248,3337.300388,1401,7128
17,0,static,297,292,14.88379383,14458,27,,0.8287671233,2715.373288,474,7128
17,0,expanding,297,292,15.1292944,14458,27,,0.8321917808,2802.150685,537,7128
17,0,rolling_count_250,297,292,18.40505123,250,1,,0.8938356164,3795.25,5212.5,7128
17,0,weighted_count_250,297,292,18.2221241,250,1,7,0.8938356164,3744.39726,4957,7128
17,0,rolling_count_500,297,292,17.35236239,500,1,,0.8904109589,3480.239726,2347.5,7128
17,0,weighted_count_500,297,292,17.11307061,500,1,7,0.8869863014,3399.044521,1984,7128
17,0,rolling_count_1000,297,292,16.52709749,1000,2,,0.8767123288,3215.25,1230,7128
17,0,weighted_count_1000,297,292,16.43684101,1000,2,inf,0.8732876712,3190.726027,1133,7128
17,0,rolling_count_2000,297,292,16.35953605,2000,4,,0.8732876712,3172.695205,1056,7128
17,0,weighted_count_2000,297,292,16.3646946,2000,4,7,0.8732876712,3173.863014,1063,7128
17,0,time_window_3,297,292,16.46693039,1800,3,,0.8767123288,3197.708904,1160,7128
17,0,time_window_7,297,292,15.79497194,3956,7,,0.8630136986,3008.640411,725,7128
17,0,time_window_14,297,292,15.34785795,7712,14,,0.8424657534,2871.931507,587,7128
17,0,time_window_30,297,292,15.1292944,14458,27,,0.8321917808,2802.150685,537,7128
17,0,static,298,252,14.88379383,14750,28,,0.8611111111,2891.281746,635.5,7128
17,0,expanding,298,252,15.1939106,14750,28,,0.876984127,3001.52381,730.5,7128
17,0,rolling_count_250,298,252,17.49984455,250,1,,0.9404761905,3776.555556,4841,7128
17,0,weighted_count_250,298,252,17.17044258,250,1,7,0.9365079365,3685.531746,4179.5,7128
17,0,rolling_count_500,298,252,18.66044939,500,2,,0.9484126984,4127.357143,6437,7128
17,0,weighted_count_500,298,252,18.62850475,500,2,7,0.9484126984,4116.170635,6416.5,7128
17,0,rolling_count_1000,298,252,17.46262169,1000,3,,0.9404761905,3767.376984,4760,7128
17,0,weighted_count_1000,298,252,17.42664433,1000,3,inf,0.9404761905,3758.876984,4687,7128
