deletion_rate,method,seed_count,coverage_mean,coverage_sd,macro_time_coverage_mean,macro_time_coverage_sd,positive_undercoverage_mean,positive_undercoverage_sd,fraction_timestamps_below_target_mean,fraction_timestamps_below_target_sd,mean_size_mean,mean_size_sd,median_size_mean,median_size_sd,p90_size_mean,p90_size_sd
0,static,5,0.818203959,0.00823835245,0.8142344519,0.008406824555,0.08583718431,0.008353786882,0.9917808219,0.007503048733,2437.485796,240.4261961,424.1476008,151.8221898,7127.636152,0.7872252252
0,expanding,5,0.8554047052,0.004704447362,0.8536228893,0.005007603747,0.04658913569,0.004956994466,0.9753424658,0.01786082851,2840.637631,238.5576477,775.6346875,301.6060924,7127.993817,0.0138256623
0,rolling_count_250,5,0.9100424914,0.003172819881,0.9091827832,0.003162914041,0.006782392577,0.001210096702,0.3534246575,0.05070343979,3743.369178,223.9020703,4171.885418,1018.82604,7128,0
0,rolling_count_500,5,0.8993211732,0.001130464574,0.8991464793,0.001085124033,0.00948852277,0.0007200562305,0.504109589,0.02450485455,3536.443191,189.6266552,3221.194875,854.6619862,7128,0
0,rolling_count_1000,5,0.8986423464,0.0005614039973,0.8986252687,0.001021221769,0.008627575296,0.0007957778841,0.5698630137,0.02292219251,3508.986056,182.9187053,3088.588869,884.9637926,7128,0
0,rolling_count_2000,5,0.8960047673,0.0006334310238,0.8965660679,0.001133015253,0.009494930418,0.0007389976823,0.5589041096,0.02031835202,3459.53918,179.7858957,2812.867546,850.831615,7128,0
0,weighted_count_250,5,0.9065343559,0.002715586638,0.9055915282,0.002735421683,0.008250793434,0.001278329429,0.402739726,0.05530583353,3674.657617,216.3487374,3891.815012,991.1940475,7128,0
0,weighted_count_500,5,0.8975748782,0.00138262632,0.8974625089,0.001325860871,0.01048448955,0.0008592947051,0.5342465753,0.01369863014,3505.560841,190.5524187,3068.275381,844.9125759,7128,0
0,weighted_count_1000,5,0.8977251529,0.0008531638221,0.8976993756,0.001289708577,0.009187037336,0.0009420085719,0.5890410959,0.02165943603,3491.765825,186.6564994,3008.054156,891.7035195,7128,0
0,weighted_count_2000,5,0.8956057623,0.0005985580881,0.8961771343,0.001050207504,0.009657773951,0.0007452074396,0.5671232877,0.01837864091,3454.16125,181.035385,2786.027796,855.4380095,7128,0
0,time_window_3,5,0.8956264898,0.0001353751734,0.8959983507,0.000556709124,0.01010543547,0.0006093721288,0.5671232877,0.01837864091,3457.785138,176.5040831,2842.30812,850.5662328,7128,0
0,time_window_7,5,0.8923774484,0.0008446232703,0.8928040136,0.001031910362,0.01179837324,0.001050799018,0.6575342466,0.03874557705,3399.698933,181.2291711,2450.739014,832.823636,7128,0
0,time_window_14,5,0.8863353715,0.001844488727,0.8865573014,0.001979758803,0.01625316095,0.001611605915,0.7479452055,0.06095505606,3299.356778,193.5190165,1940.070515,737.7863889,7128,0
0,time_window_30,5,0.8745154938,0.002663470802,0.8741754248,0.002995010306,0.02682884527,0.002720273983,0.9123287671,0.03701166051,3101.933879,215.3109058,1296.917992,529.6850048,7128,0
0.1,static,5,0.8197637061,0.002025960968,0.8154016466,0.002029198182,0.08466400583,0.002038718657,0.9890410959,0.01146109625,2499.241994,98.14409783,451.2697896,85.36760377,7127.979517,0.02419569984
