case,dataset_mode,model_name,negative_sampling,seed,deletion_rate,objective,score,history,method,label_count,query_count,single_query_count,multi_query_count,label_coverage,full_set_coverage,partial_answer_recall,mean_set_size,single_full_set_coverage,multi_full_set_coverage,single_mean_set_size,multi_mean_set_size,multi_minus_single_full_set_coverage
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,label,margin,expanding,label_margin_expanding,190310,173509,159915,13594,0.84707582365614,0.8471433758479388,0.8592018462358042,3280.3633183293086,0.8687427695963481,0.5930557598940709,3437.351899446581,1433.605267029572,-0.2756870097022772
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,label,margin,rolling,label_margin_rolling,190310,173509,159915,13594,0.9004413851085071,0.9008754589099125,0.910476017366582,4616.771712130207,0.9182190538723697,0.6968515521553627,4821.533808585811,2208.022951302045,-0.22136750171700703
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,label,margin,static,label_margin_static,190310,173509,159915,13594,0.8006463139088855,0.8004253381668962,0.8137661236963004,2582.0397097556897,0.8240752899978113,0.5222156833897308,2709.1224212863085,1087.0837134029719,-0.30185960660808053
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,label,minmax,expanding,label_minmax_expanding,190310,173509,159915,13594,0.8782565288213967,0.8703640733333717,0.8784372763177899,2574.3236373905675,0.8783853922396273,0.7760041194644696,2630.99160178845,1907.7017801971458,-0.10238127277515774
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,label,minmax,rolling,label_minmax_rolling,190310,173509,159915,13594,0.8989228101518575,0.8921612135393553,0.8994134490921403,3290.4435274250905,0.8996279273363975,0.8043254376930999,3351.7415189319327,2569.3556716198323,-0.09530248964329757
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,label,minmax,static,label_minmax_static,190310,173509,159915,13594,0.8517418948032158,0.8425672443504372,0.8519107647704723,1894.022079546306,0.8518025200887972,0.7339267323819332,1945.818278460432,1284.7099455642194,-0.11787578770686402
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,label,negscore,expanding,label_negscore_expanding,190310,173509,159915,13594,0.869413062897378,0.8606988686465832,0.8677069102885632,3801.186359209032,0.8659975612043899,0.7983669265852582,3838.586411531126,3361.2253935559806,-0.06763063461913166
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,label,negscore,rolling,label_negscore_rolling,190310,173509,159915,13594,0.8982922599968473,0.8914868969333003,0.8978920559838554,4590.4665291137635,0.8973767313885501,0.8222009710166249,4653.683475596411,3846.804766808886,-0.0751757603719252
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,label,negscore,static,label_negscore_static,190310,173509,159915,13594,0.8336135778466712,0.8229140851483209,0.8300847504390261,2267.212697900397,0.8266954319482225,0.7784316610269236,2255.3878310352375,2406.3162424599086,-0.048263770921298854
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,label,softmax,expanding,label_softmax_expanding,190310,173509,159915,13594,0.939446166780516,0.9394844071489087,0.9445945990450886,7220.687929732751,0.9487852921864741,0.8300720906282183,7285.096932745521,6463.003236722083,-0.11871320155825582
