case,dataset_mode,model_name,deletion_rate,family,comparison,metric,block_length,seed,observed,weighting
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,3,17,0.07876622353,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,3,29,0.08333666124,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,3,43,0.08412800168,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,3,59,0.08204403342,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,3,71,0.08383164311,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,7,17,0.07876622353,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,7,29,0.08333666124,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,7,43,0.08412800168,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,7,59,0.08204403342,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,7,71,0.08383164311,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,14,17,0.07876622353,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,14,29,0.08333666124,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,14,43,0.08412800168,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,14,59,0.08204403342,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,14,71,0.08383164311,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,21,17,0.07876622353,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,21,29,0.08333666124,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,21,43,0.08412800168,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,21,59,0.08204403342,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,21,71,0.08383164311,label_count
