case,dataset_mode,model_name,deletion_rate,family,comparison,metric,left_method,right_method,observed,ci95_low,ci95_high,pvalue_positive,pvalue_negative,block_length,iterations,seed_count,timestamp_count,excluded_timestamp_count,weighting
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.0824213126,0.07622007808,0.08884623761,4.999750012e-05,1,3,20000,5,804,0,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.0824213126,0.0735436682,0.09111064227,4.999750012e-05,1,7,20000,5,804,0,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.0824213126,0.07069325762,0.09409204421,4.999750012e-05,1,14,20000,5,804,0,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.0824213126,0.06830653887,0.09610794523,4.999750012e-05,1,21,20000,5,804,0,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.1039231394,0.09776013748,0.1101447875,4.999750012e-05,1,3,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.1039231394,0.09515367755,0.1126989169,4.999750012e-05,1,7,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.1039231394,0.09167870826,0.1158045696,4.999750012e-05,1,14,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.1039231394,0.089115371,0.1181839118,4.999750012e-05,1,21,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.1024749094,0.0964550191,0.1085547896,4.999750012e-05,1,3,20000,5,804,0,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.1024749094,0.09375595831,0.111128205,4.999750012e-05,1,7,20000,5,804,0,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.1024749094,0.09057348569,0.114152204,4.999750012e-05,1,14,20000,5,804,0,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.1024749094,0.08826361839,0.1165117783,4.999750012e-05,1,21,20000,5,804,0,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,2038.123559,1929.894802,2144.413142,4.999750012e-05,1,3,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,2038.123559,1888.450976,2181.629043,4.999750012e-05,1,7,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,2038.123559,1840.870515,2229.40053,4.999750012e-05,1,14,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,2038.123559,1805.526609,2258.411629,4.999750012e-05,1,21,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.08109232305,0.07455818584,0.08771252381,4.999750012e-05,1,3,20000,5,804,0,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.08109232305,0.07233437735,0.09015029411,4.999750012e-05,1,7,20000,5,804,0,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.08109232305,0.06900140209,0.09281300347,4.999750012e-05,1,14,20000,5,804,0,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.08109232305,0.06671269614,0.09510677374,4.999750012e-05,1,21,20000,5,804,0,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.1025687428,0.09618086557,0.1089581897,4.999750012e-05,1,3,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.1025687428,0.09355200023,0.1114949109,4.999750012e-05,1,7,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.1025687428,0.09019027545,0.1146475909,4.999750012e-05,1,14,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.1025687428,0.08806360787,0.1167044734,4.999750012e-05,1,21,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.1011454994,0.09466073025,0.1076706908,4.999750012e-05,1,3,20000,5,804,0,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.1011454994,0.09213673346,0.1101955238,4.999750012e-05,1,7,20000,5,804,0,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.1011454994,0.08903341857,0.1130517227,4.999750012e-05,1,14,20000,5,804,0,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.1011454994,0.08679232688,0.1155006175,4.999750012e-05,1,21,20000,5,804,0,label_count
