coverage,deletion_rate,frequency_mrr,mean_size,method,mrr,query_count,seed,normalized_size
0.9012851073,0,0.09261339151,4939.768085,rolling,0.132835172,38596,17,0.6930089906
0.8438698311,0,0.09261339151,4322.525858,static,0.132835172,38596,17,0.6064149632
0.0754741424,0,0.09261339151,1,top1,0.132835172,38596,17,0.000140291807
0.9006114623,0,0.09261339151,4930.758939,weighted,0.132835172,38596,17,0.6917450812
0.9021142087,0.3,0.09268656233,5100.690201,rolling,0.1245912769,38596,17,0.715585045
0.8519017515,0.3,0.09268656233,4561.157192,static,0.1245912769,38596,17,0.6398929844
0.06772722562,0.3,0.09268656233,1,top1,0.1245912769,38596,17,0.000140291807
0.9010778319,0.3,0.09268656233,5088.20642,weighted,0.1245912769,38596,17,0.7138336729
0.9008187377,0,0.09261339151,4815.196912,rolling,0.1470758987,38596,29,0.6755326756
0.8386361281,0,0.09261339151,4211.139859,static,0.1470758987,38596,29,0.5907884202
0.09322209555,0,0.09261339151,1,top1,0.1470758987,38596,29,0.000140291807
0.899730542,0,0.09261339151,4803.13947,weighted,0.1470758987,38596,29,0.6738411154
0.9006632812,0.3,0.09271801234,5250.19515,rolling,0.129569287,38596,29,0.7365593644
0.8516685667,0.3,0.09271801234,4683.617473,static,0.129569287,38596,29,0.6570731584
0.07617369676,0.3,0.09271801234,1,top1,0.129569287,38596,29,0.000140291807
0.8999378174,0.3,0.09271801234,5240.021116,weighted,0.129569287,38596,29,0.7351320309
0.9010260131,0,0.09261339151,5115.297958,rolling,0.1191719417,38596,43,0.7176343937
0.8451393927,0,0.09261339151,4508.198829,static,0.1191719417,38596,43,0.6324633598
0.06762358794,0,0.09261339151,1,top1,0.1191719417,38596,43,0.000140291807
0.9002746399,0,0.09261339151,5103.692999,weighted,0.1191719417,38596,43,0.716006313
0.8999378174,0.3,0.09191666194,5487.803011,rolling,0.1102929849,38596,43,0.7698938006
0.8517203855,0.3,0.09191666194,4996.63219,static,0.1102929849,38596,43,0.7009865586
0.06329671469,0.3,0.09191666194,1,top1,0.1102929849,38596,43,0.000140291807
0.8986164369,0.3,0.09191666194,5474.518603,weighted,0.1102929849,38596,43,0.768030107
