seed,deletion_rate,actual_deletion_rate,method,selected_half_life
17,0,0,rolling,inf
17,0,0,static,inf
17,0,0,top1,inf
17,0,0,weighted,inf
17,0.3,0.2999830166,rolling,inf
17,0.3,0.2999830166,static,inf
17,0.3,0.2999830166,top1,inf
17,0.3,0.2999830166,weighted,inf
29,0,0,rolling,inf
29,0,0,static,inf
29,0,0,top1,inf
29,0,0,weighted,inf
29,0.3,0.2999830166,rolling,7
29,0.3,0.2999830166,static,7
29,0.3,0.2999830166,top1,7
29,0.3,0.2999830166,weighted,7
43,0,0,rolling,inf
43,0,0,static,inf
43,0,0,top1,inf
43,0,0,weighted,inf
43,0.3,0.2999830166,rolling,inf
43,0.3,0.2999830166,static,inf
43,0.3,0.2999830166,top1,inf
43,0.3,0.2999830166,weighted,inf
