seed,deletion_rate,method,macro_coverage,mean_positive_undercoverage,fraction_timestamps_below_target,worst_timestamp_coverage,macro_time_mean_size
17,0,rolling,0.9011958361,0.006843899414,0.4657534247,0.8561643836,4933.088353
17,0,static,0.8417854364,0.05849855958,0.9863013699,0.7666666667,4284.243131
17,0,top1,0.07658614284,0.8234138572,1,0.036900369,1
17,0,weighted,0.9005276043,0.007228581913,0.4794520548,0.8561643836,4924.123283
17,0.3,rolling,0.9025987032,0.006276697181,0.4794520548,0.8356164384,5090.85204
17,0.3,static,0.8499582834,0.05030741589,0.9726027397,0.7733333333,4526.264089
17,0.3,top1,0.06820345446,0.8317965455,1,0.03963414634,1
17,0.3,weighted,0.9016684468,0.006698542938,0.5068493151,0.8356164384,5078.960247
29,0,rolling,0.9015333157,0.006803681722,0.4520547945,0.8390410959,4803.58554
29,0,static,0.8360989446,0.06396628695,0.9863013699,0.7662337662,4162.07718
29,0,top1,0.09481875012,0.8051812499,1,0.05166051661,1
29,0,weighted,0.9004589389,0.007285611497,0.4931506849,0.8390410959,4791.576936
29,0.3,rolling,0.9007583122,0.007640814662,0.4931506849,0.847826087,5227.871076
29,0.3,static,0.8487935249,0.0514553453,0.9589041096,0.7763157895,4636.097976
29,0.3,top1,0.07768916931,0.8223108307,1,0.04591836735,1
29,0.3,weighted,0.9000837252,0.007899694508,0.5205479452,0.847826087,5218.125246
43,0,rolling,0.9023352575,0.007607603401,0.4794520548,0.8473389356,5112.054475
43,0,static,0.8436931969,0.05667432735,0.9863013699,0.7633333333,4472.920362
43,0,top1,0.06885343617,0.8311465638,1,0.0350877193,1
43,0,weighted,0.9015148754,0.008167787307,0.5068493151,0.8473389356,5101.071145
43,0.3,rolling,0.8996397481,0.008740718099,0.4657534247,0.845890411,5471.547822
43,0.3,static,0.8496768561,0.05064890404,0.9863013699,0.78,4964.574253
43,0.3,top1,0.06484450603,0.835155494,1,0.03136531365,1
43,0.3,weighted,0.8982609131,0.0093792775,0.5068493151,0.8456521739,5458.754301
