seed,deletion_rate,actual_deletion_rate,method,query_count,coverage,macro_time_coverage,positive_undercoverage,worst_timestamp_coverage,fraction_timestamps_below_target,mean_size,macro_time_mean_size,normalized_mean_size,mrr,frequency_mrr,selected_half_life
17,0,0,rolling,38596,0.9012851073,0.9011958361,0.006843899414,0.8561643836,0.4657534247,4939.768085,4933.088353,0.6930089906,0.132835172,0.09261339151,inf
17,0,0,static,38596,0.8438698311,0.8417854364,0.05849855958,0.7666666667,0.9863013699,4322.525858,4284.243131,0.6064149632,0.132835172,0.09261339151,inf
17,0,0,top1,38596,0.0754741424,0.07658614284,0.8234138572,0.036900369,1,1,1,0.000140291807,0.132835172,0.09261339151,inf
17,0,0,weighted,38596,0.9006114623,0.9005276043,0.007228581913,0.8561643836,0.4794520548,4930.758939,4924.123283,0.6917450812,0.132835172,0.09261339151,inf
17,0.3,0.2999830166,rolling,38596,0.9021142087,0.9025987032,0.006276697181,0.8356164384,0.4794520548,5100.690201,5090.85204,0.715585045,0.1245912769,0.09268656233,inf
17,0.3,0.2999830166,static,38596,0.8519017515,0.8499582834,0.05030741589,0.7733333333,0.9726027397,4561.157192,4526.264089,0.6398929844,0.1245912769,0.09268656233,inf
17,0.3,0.2999830166,top1,38596,0.06772722562,0.06820345446,0.8317965455,0.03963414634,1,1,1,0.000140291807,0.1245912769,0.09268656233,inf
17,0.3,0.2999830166,weighted,38596,0.9010778319,0.9016684468,0.006698542938,0.8356164384,0.5068493151,5088.20642,5078.960247,0.7138336729,0.1245912769,0.09268656233,inf
29,0,0,rolling,38596,0.9008187377,0.9015333157,0.006803681722,0.8390410959,0.4520547945,4815.196912,4803.58554,0.6755326756,0.1470758987,0.09261339151,inf
29,0,0,static,38596,0.8386361281,0.8360989446,0.06396628695,0.7662337662,0.9863013699,4211.139859,4162.07718,0.5907884202,0.1470758987,0.09261339151,inf
29,0,0,top1,38596,0.09322209555,0.09481875012,0.8051812499,0.05166051661,1,1,1,0.000140291807,0.1470758987,0.09261339151,inf
29,0,0,weighted,38596,0.899730542,0.9004589389,0.007285611497,0.8390410959,0.4931506849,4803.13947,4791.576936,0.6738411154,0.1470758987,0.09261339151,inf
29,0.3,0.2999830166,rolling,38596,0.9006632812,0.9007583122,0.007640814662,0.847826087,0.4931506849,5250.19515,5227.871076,0.7365593644,0.129569287,0.09271801234,7
29,0.3,0.2999830166,static,38596,0.8516685667,0.8487935249,0.0514553453,0.7763157895,0.9589041096,4683.617473,4636.097976,0.6570731584,0.129569287,0.09271801234,7
29,0.3,0.2999830166,top1,38596,0.07617369676,0.07768916931,0.8223108307,0.04591836735,1,1,1,0.000140291807,0.129569287,0.09271801234,7
29,0.3,0.2999830166,weighted,38596,0.8999378174,0.9000837252,0.007899694508,0.847826087,0.5205479452,5240.021116,5218.125246,0.7351320309,0.129569287,0.09271801234,7
43,0,0,rolling,38596,0.9010260131,0.9023352575,0.007607603401,0.8473389356,0.4794520548,5115.297958,5112.054475,0.7176343937,0.1191719417,0.09261339151,inf
43,0,0,static,38596,0.8451393927,0.8436931969,0.05667432735,0.7633333333,0.9863013699,4508.198829,4472.920362,0.6324633598,0.1191719417,0.09261339151,inf
43,0,0,top1,38596,0.06762358794,0.06885343617,0.8311465638,0.0350877193,1,1,1,0.000140291807,0.1191719417,0.09261339151,inf
43,0,0,weighted,38596,0.9002746399,0.9015148754,0.008167787307,0.8473389356,0.5068493151,5103.692999,5101.071145,0.716006313,0.1191719417,0.09261339151,inf
43,0.3,0.2999830166,rolling,38596,0.8999378174,0.8996397481,0.008740718099,0.845890411,0.4657534247,5487.803011,5471.547822,0.7698938006,0.1102929849,0.09191666194,inf
43,0.3,0.2999830166,static,38596,0.8517203855,0.8496768561,0.05064890404,0.78,0.9863013699,4996.63219,4964.574253,0.7009865586,0.1102929849,0.09191666194,inf
43,0.3,0.2999830166,top1,38596,0.06329671469,0.06484450603,0.835155494,0.03136531365,1,1,1,0.000140291807,0.1102929849,0.09191666194,inf
43,0.3,0.2999830166,weighted,38596,0.8986164369,0.8982609131,0.0093792775,0.8456521739,0.5068493151,5474.518603,5458.754301,0.768030107,0.1102929849,0.09191666194,inf
